Date / Title,Alfred Eisenbeisser,Étienne Mattler,Casiano Chavarría,José Miracca,Julio Lores,Alfredo Viejo Sánchez,Arturo Torres Carrasco,Jimmy Gallagher,Ángel Bossio,Dragutin Najdanović,Eusebio Díaz,Jorge Pardon,Carlos Peucelle,Luis Monti,André Maschinot,Carlos Spadaro,Juan Carreño,Roberto Gayón,Rudolf Wetzer,Ulises Poirier,Jorge Valderrama,Héctor Castro,Preguinho,Álvaro Gestido,Efraín Amézcua,Bernard Voorhoof,Nicolas Hoydonckx,Luis de Souza Ferreira,Segundo Durandal,René Fernández,George Moorhouse,Guillermo Riveros,Ivan Bek,Héctor Scarone,Rafael Méndez,Francisco Varallo,Đorđe Vujadinović,Roberto Cherro,Osvaldo Velloso de Barros,Luis Pérez,Louis Versyp,Delfín Benítez Cáceres,Alejandro Villanueva,Benedicto de Moraes Menezes,Roberto Cortés,Marcel Langiller,Hermógenes Fonseca,Branislav Sekulić,Domingo Tejera,Francisco Garza Gutiérrez,Manuel Rosas,Enrique Ballestrero,Salvador Flóres,László Raffinsky,Víctor Morales,Oscar Bonfiglio,Fernando Giudicelli,Romildo Etcheverry,Casimiro Torres,Santos Urdinarán,Renato Sáinz,Aurelio González,Nilo Murtinho Braga,Ljubiša Stevanović,Dionisio Mejía,Mario Alborta,Guillermo Stábile,Corneliu Robe,Diógenes Lara,Luiz Gervazoni,Alfredo Brilhante da Costa,Ernesto Chaparro,Carlos Schneeberger,Marcel Capelle,Jim Brown,Felipe Rosas,Raphael Tracey,Aleksandar Tirnanić,Araken Patusca,Mario Evaristo,Mario de las Casas,Joel,Natalio Perinetti,Hilario López,Arnold Badjou,Gerardo Romero,José Luiz de Oliveira,Tranquilino Garcete,Domingo García,Guillermo Saavedra,Blagoje Marjanović,Alberto Chividini,José María Lavalle,José Nasazzi,Luis Vargas Peña,Humberto Elgueta,Attilio Demaría,Teóphilo Bettencourt Pereira,Alex Thépot,Edmond Delfour,Demetrio Neyra,Gumercindo Gómez,Adalbert Steiner,Milorad Arsenijević,Rodolfo Orlandini,Juan Valdivieso,Fernando Paternoster,Tomás Ojeda,José Bustamante,Pedro Arico Suárez,Juan Evaristo,Ion Lăpușneanu,Alberto Denegri,Guillermo Arellano,Henri De Deken,Pedro Petrone,Dragoslav Mihajlović,Lorenzo Fernández,Juan Aguilera,Bart McGhee,Carlos Vidal,Santos Iriarte,Felipe Olivares,Quiterio Olmedo,Carvalho Leite,Momčilo Đokić,Fausto dos Santos,Juan Botasso,Augustin Chantrel,Isidoro Sota,Nicolae Kovács,Célestin Delmer,Jean De Clercq,Santiago Benítez,José Della Torre,Milovan Jakšić,José Ruíz,August Hellemans,Moderato Wisintainer,Antonio Maquilón,Ernest Libérati,Ramón Muttis,Émile Veinante,Ernesto Mascheroni,Lucien Laurent,Rafael Garza Gutiérrez,Pablo Dorado,Plácido Galindo,Ferdinand Adams,Eduardo Reyes Ortíz,Alexandre Villaplane,Guillermo Subiabre,José Leandro Andrade,Manuel Ferreira,Pierre Braine,Bert Patenaude,Jesús Bermúdez,Eberardo Villalobos,Raymundo Rodríguez,Jacques Moeschal,Gérard Delbeke,Théodore Nouwens,Milutin Ivković,Peregrino Anselmo,Jimmy Douglas,Billy Gonsalves,Modesto Denis,Rudolf Bürger,Diógenes Domínguez,Jan Diddens,Adolfo Zumelzú,Policarpo Ribeiro de Oliveira,Alberto Soria,Marcel Pinel,Adalbert Deșu,Juan Argote,Pedro Benítez,Alejandro Scopelli,Andy Auld,Iosif Czako,Russinho,Francisco Aguirre,Tom Florie,Lino Nessi,Eduardo Astengo,Pedro Cea,Ștefan Barbu,Alexander Wood,Constantin Stanciu,Emerich Vogl
Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar Color,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b,#0086F9,#FF4131,#FEBD00,#c71cda,#15004b
1930-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1930-07-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1930-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1930-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1930-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1930-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1930-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1930-07-20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
