Date,Name,Goal
19300713,Marcel Capelle (France),0
19300713,Augustin Chantrel (France),0
19300713,Edmond Delfour (France),0
19300713,Marcel Langiller (France),1
19300713,Lucien Laurent (France),1
19300713,Ernest Libérati (France),0
19300713,André Maschinot (France),2
19300713,Étienne Mattler (France),0
19300713,Marcel Pinel (France),0
19300713,Alex Thépot (France),0
19300713,Alexandre Villaplane (France),0
19300713,Efraín Amézcua (Mexico),0
19300713,Oscar Bonfiglio (Mexico),0
19300713,Juan Carreño (Mexico),1
19300713,Rafael Garza Gutiérrez (Mexico),0
19300713,Hilario López (Mexico),0
19300713,Dionisio Mejía (Mexico),0
19300713,Luis Pérez (Mexico),0
19300713,Felipe Rosas (Mexico),0
19300713,Manuel Rosas (Mexico),0
19300713,José Ruíz (Mexico),0
19300713,Alfredo Viejo Sánchez (Mexico),0
19300713,Andy Auld (United States),0
19300713,Jim Brown (United States),0
19300713,Jimmy Douglas (United States),0
19300713,Tom Florie (United States),1
19300713,Jimmy Gallagher (United States),0
19300713,Billy Gonsalves (United States),0
19300713,Bart McGhee (United States),1
19300713,George Moorhouse (United States),0
19300713,Bert Patenaude (United States),1
19300713,Raphael Tracey (United States),0
19300713,Alexander Wood (United States),0
19300713,Ferdinand Adams (Belgium),0
19300713,Arnold Badjou (Belgium),0
19300713,Pierre Braine (Belgium),0
19300713,Jean De Clercq (Belgium),0
19300713,Jan Diddens (Belgium),0
19300713,August Hellemans (Belgium),0
19300713,Nicolas Hoydonckx (Belgium),0
19300713,Jacques Moeschal (Belgium),0
19300713,Théodore Nouwens (Belgium),0
19300713,Louis Versyp (Belgium),0
19300713,Bernard Voorhoof (Belgium),0
19300714,Ștefan Barbu (Romania),0
19300714,Rudolf Bürger (Romania),0
19300714,Adalbert Deșu (Romania),1
19300714,Alfred Eisenbeisser (Romania),0
19300714,Nicolae Kovács (Romania),1
19300714,Ion Lăpușneanu (Romania),0
19300714,László Raffinsky (Romania),0
19300714,Constantin Stanciu (Romania),1
19300714,Adalbert Steiner (Romania),0
19300714,Emerich Vogl (Romania),0
19300714,Rudolf Wetzer (Romania),0
19300714,Alberto Denegri (Peru),0
19300714,Plácido Galindo (Peru),0
19300714,Domingo García (Peru),0
19300714,Mario de las Casas (Peru),0
19300714,Julio Lores (Peru),0
