Date,Name,H
20230330,Alex Verdugo,2
20230330,Rafael Devers,2
20230330,Justin Turner,2
20230330,Rob Refsnyder,0
20230330,Masataka Yoshida,2
20230330,Adam Duvall,1
20230330,Triston Casas,0
20230330,Christian Arroyo,1
20230330,Reese McGuire,1
20230330,Connor Wong,0
20230330,Enrique Hernández,0
20230330,Raimel Tapia,0
20230330,Cedric Mullins,1
20230330,Adley Rutschman,5
20230330,Anthony Santander,2
20230330,Ryan McKenna,0
20230330,Ryan Mountcastle,1
20230330,Gunnar Henderson,0
20230330,Ramón Urías,2
20230330,Austin Hays,0
20230330,Adam Frazier,2
20230330,Jorge Mateo,2
20230330,Nico Hoerner,1
20230330,Dansby Swanson,3
20230330,Ian Happ,1
20230330,Cody Bellinger,0
20230330,Trey Mancini,1
20230330,Yan Gomes,0
20230330,Eric Hosmer,0
20230330,Patrick Wisdom,0
20230330,Miles Mastrobuoni,0
20230330,Christian Yelich,0
20230330,Jesse Winker,0
20230330,Willy Adames,1
20230330,Rowdy Tellez,0
20230330,William Contreras,1
20230330,Luis Urías,0
20230330,Garrett Mitchell,0
20230330,Brian Anderson,1
20230330,Brice Turang,1
20230330,Jonathan India,2
20230330,TJ Friedl,0
20230330,Jake Fraley,2
20230330,Tyler Stephenson,0
20230330,Jason Vosler,1
20230330,Wil Myers,1
20230330,Spencer Steer,1
20230330,Stuart Fairchild,0
20230330,Will Benson,0
20230330,Jose Barrero,0
20230330,Oneil Cruz,1
20230330,Bryan Reynolds,1
20230330,Andrew McCutchen,1
20230330,Carlos Santana,0
20230330,Canaan Smith-Njigba,1
20230330,Rodolfo Castro,0
20230330,Ke'Bryan Hayes,0
20230330,Jack Suwinski,0
20230330,Ji Hwan Bae,2
20230330,Austin Hedges,0
20230330,Jeremy Peña,1
20230330,Alex Bregman,0
20230330,Yordan Alvarez,1
20230330,José Abreu,1
20230330,Kyle Tucker,0
20230330,Yainer Diaz,0
20230330,Jake Meyers,0
20230330,Martín Maldonado,1
20230330,Mauricio Dubón,0
20230330,Tim Anderson,2
20230330,Luis Robert Jr.,2
20230330,Andrew Vaughn,1
20230330,Eloy Jiménez,0
20230330,Yoán Moncada,1
20230330,Andrew Benintendi,1
20230330,Yasmani Grandal,1
20230330,Elvis Andrus,1
20230330,Romy Gonzalez,1
20230330,Oscar Colás,1
20230330,Bobby Witt,0
20230330,MJ Melendez,0
20230330,Salvador Perez,1
20230330,Vinnie Pasquantino,0
20230330,Franmil Reyes,0
20230330,Michael Massey,0
20230330,Hunter Dozier,0
20230330,Kyle Isbel,1
20230330,Edward Olivares,0
20230330,Max Kepler,0
20230330,Carlos Correa,1
20230330,Byron Buxton,2
20230330,Trevor Larnach,2
20230330,Jose Miranda,0
20230330,Nick Gordon,0
20230330,Kyle Farmer,1
20230330,Joey Gallo,1
20230330,Donovan Solano,1
20230330,Christian Vázquez,2
20230330,Michael A. Taylor,1
20230330,Mookie Betts,0
20230330,Freddie Freeman,2
20230330,Will Smith,3
20230330,Max Muncy,0
20230330,J.D. Martinez,1
20230330,David Peralta,2
20230330,Miguel Vargas,0
20230330,James Outman,2
20230330,Miguel Rojas,2
20230330,Kyle Lewis,0
20230330,Ketel Marte,1
20230330,Lourdes Gurriel Jr.,1
20230330,Christian Walker,1
20230330,Evan Longoria,0
20230330,Nick Ahmed,1
20230330,Corbin Carroll,0
20230330,Gabriel Moreno,0
20230330,Jake McCarthy,0
20230330,Luis Arraez,2
20230330,Jean Segura,0
20230330,Garrett Cooper,1
20230330,Jazz Chisholm Jr.,0
20230330,Jorge Soler,1
20230330,Avisaíl García,0
20230330,Bryan De La Cruz,0
20230330,Jacob Stallings,1
20230330,Joey Wendle,0
20230330,Jon Berti,0
20230330,Brandon Nimmo,1
20230330,Starling Marte,2
20230330,Francisco Lindor,1
20230330,Pete Alonso,0
20230330,Jeff McNeil,2
20230330,Mark Canha,0
20230330,Daniel Vogelbach,0
20230330,Tommy Pham,0
20230330,Eduardo Escobar,1
20230330,Omar Narváez,1
20230330,DJ LeMahieu,1
20230330,Aaron Judge,2
20230330,Anthony Rizzo,1
20230330,Giancarlo Stanton,1
20230330,Estevan Florial,0
20230330,Josh Donaldson,1
20230330,Gleyber Torres,1
20230330,Oswaldo Cabrera,0
20230330,Jose Trevino,1
20230330,Anthony Volpe,0
20230330,LaMonte Wade Jr.,0
20230330,Michael Conforto,1
20230330,Wilmer Flores,0
20230330,Joc Pederson,0
20230330,Mike Yastrzemski,0
20230330,J.D. Davis,0
20230330,Thairo Estrada,2
20230330,Brandon Crawford,0
20230330,Blake Sabol,0
20230330,David Villar,0
20230330,Brett Wisely,0
20230330,Roberto Pérez,1
20230330,Matt Beaty,0
20230330,Joey Bart,0
20230330,Tony Kemp,1
20230330,Conner Capel,0
20230330,Brent Rooker,0
20230330,Aledmys Díaz,2
20230330,Nick Allen,0
20230330,Seth Brown,2
20230330,Jesús Aguilar,0
20230330,Ryan Noda,0
20230330,Ramón Laureano,0
20230330,Jace Peterson,0
20230330,Shea Langeliers,0
20230330,Esteury Ruiz,1
20230330,Taylor Ward,1
20230330,Mike Trout,0
20230330,Shohei Ohtani,1
20230330,Anthony Rendon,0
20230330,Hunter Renfroe,0
20230330,Luis Rengifo,0
20230330,Brett Phillips,0
20230330,Brandon Drury,0
20230330,Gio Urshela,2
20230330,Logan O'Hoppe,1
20230330,Trent Grisham,1
20230330,Juan Soto,0
20230330,Manny Machado,1
20230330,Xander Bogaerts,3
20230330,Jake Cronenworth,0
20230330,Matt Carpenter,0
20230330,Austin Nola,1
20230330,Ha-Seong Kim,1
20230330,David Dahl,0
20230330,Yonathan Daza,1
20230330,Kris Bryant,3
20230330,Charlie Blackmon,3
20230330,C.J. Cron,4
20230330,Elehuris Montero,2
20230330,Alan Trejo,0
20230330,Ryan McMahon,1
20230330,Elias Díaz,1
20230330,Harold Castro,1
20230330,Ezequiel Tovar,1
20230330,Julio Rodríguez,0
20230330,Kolten Wong,0
20230330,Ty France,3
20230330,Teoscar Hernández,0
20230330,Cal Raleigh,1
20230330,Eugenio Suárez,1
20230330,Jarred Kelenic,1
20230330,Tommy La Stella,0
20230330,J.P. Crawford,1
20230330,Steven Kwan,0
20230330,Amed Rosario,1
20230330,José Ramírez,1
