Date,Name,SO
20230330,Corey Kluber,4
20230330,Zack Kelly,2
20230330,Ryan Brasier,0
20230330,Kaleb Ort,1
20230330,Josh Winckowski,1
20230330,Chris Martin,0
20230330,Kyle Gibson,3
20230330,Keegan Akin,2
20230330,Cionel Pérez,0
20230330,Bryan Baker,1
20230330,Logan Gillaspie,1
20230330,Félix Bautista,2
20230330,Marcus Stroman,8
20230330,Keegan Thompson,1
20230330,Brad Boxberger,1
20230330,Michael Fulmer,2
20230330,Corbin Burnes,3
20230330,Peter Strzelecki,0
20230330,Gus Varland,1
20230330,Javy Guerra,1
20230330,Hunter Greene,8
20230330,Fernando Cruz,0
20230330,Alex Young,1
20230330,Derek Law,1
20230330,Buck Farmer,1
20230330,Ian Gibaut,0
20230330,Mitch Keller,8
20230330,Dauri Moreta,3
20230330,Rob Zastryzny,1
20230330,Colin Holderman,1
20230330,David Bednar,2
20230330,Framber Valdez,4
20230330,Bryan Abreu,1
20230330,Hector Neris,2
20230330,Rafael Montero,1
20230330,Ryan Pressly,1
20230330,Dylan Cease,10
20230330,Aaron Bummer,2
20230330,Kendall Graveman,0
20230330,Reynaldo López,1
20230330,Zack Greinke,4
20230330,Amir Garrett,1
20230330,Dylan Coleman,0
20230330,Jose Cuas,3
20230330,Carlos Hernández,1
20230330,Pablo López,8
20230330,Caleb Thielbar,1
20230330,Jorge López,1
20230330,Griffin Jax,0
20230330,Jhoan Duran,1
20230330,Julio Urías,6
20230330,Phil Bickford,1
20230330,Shelby Miller,1
20230330,Yency Almonte,0
20230330,Zac Gallen,7
20230330,Cole Sulser,0
20230330,Kyle Nelson,2
20230330,Carlos Vargas,2
20230330,Kevin Ginkel,1
20230330,Sandy Alcantara,2
20230330,Andrew Nardi,0
20230330,Tanner Scott,0
20230330,JT Chargois,0
20230330,Huascar Brazoban,3
20230330,Max Scherzer,6
20230330,Drew Smith,2
20230330,Brooks Raley,2
20230330,David Robertson,2
20230330,Gerrit Cole,11
20230330,Wandy Peralta,2
20230330,Jonathan Loáisiga,0
20230330,Ron Marinaccio,3
20230330,Logan Webb,12
20230330,John Brebbia,3
20230330,Tyler Rogers,1
20230330,Kyle Muller,3
20230330,Zach Jackson,1
20230330,Domingo Acevedo,2
20230330,Trevor May,1
20230330,Dany Jiménez,1
20230330,Shohei Ohtani,10
20230330,Jimmy Herget,1
20230330,Aaron Loup,1
20230330,Ryan Tepera,0
20230330,Blake Snell,9
20230330,Nabil Crismatt,2
20230330,Domingo Tapia,4
20230330,Steven Wilson,2
20230330,Germán Márquez,5
20230330,Dinelson Lamet,2
20230330,Justin Lawrence,3
20230330,Jake Bird,0
20230330,Luis Castillo,6
20230330,Matt Brash,2
20230330,Paul Sewald,1
20230330,Andrés Muñoz,0
20230330,Shane Bieber,3
20230330,Trevor Stephan,1
20230330,James Karinchak,0
20230330,Enyel De Los Santos,1
20230330,Miles Mikolas,6
20230330,Zack Thompson,3
20230330,Drew VerHagen,1
20230330,Andre Pallante,0
20230330,Jordan Hicks,1
20230330,Ryan Helsley,0
20230330,Alek Manoah,3
20230330,Zach Pop,1
20230330,Erik Swanson,2
20230330,Tim Mayza,0
20230330,Anthony Bass,0
20230330,Adam Cimber,0
20230330,Yimi García,0
20230330,Jordan Romano,2
20230330,Shane McClanahan,6
20230330,Colin Poche,0
20230330,Jason Adam,0
20230330,Pete Fairbanks,0
20230330,Eduardo Rodriguez,5
20230330,Jason Foley,0
20230330,Chasen Shreve,2
20230330,Mason Englert,0
20230330,Jacob deGrom,7
20230330,Cole Ragans,0
20230330,Brock Burke,3
20230330,Jonathan Hernández,2
20230330,José Leclerc,1
20230330,Aaron Nola,4
20230330,Gregory Soto,0
20230330,Connor Brogdon,1
20230330,Andrew Vasquez,0
20230330,Andrew Bellatti,2
20230330,Matt Strahm,1
20230330,Patrick Corbin,3
20230330,Erasmo Ramírez,1
20230330,Mason Thompson,3
20230330,Hunter Harvey,0
20230330,Kyle Finnegan,0
20230330,Max Fried,2
20230330,Lucas Luetge,0
20230330,Jesse Chavez,1
20230330,Dylan Lee,0
20230330,Collin McHugh,1
20230330,A.J. Minter,1
20230331,Cristian Javier,6
20230331,Phil Maton,1
20230331,Seth Martinez,0
20230331,Bryan Abreu,3
20230331,Rafael Montero,1
20230331,Lance Lynn,6
20230331,Jimmy Lambert,0
20230331,Kendall Graveman,0
20230331,Jake Diekman,0
20230331,José Ruiz,2
20230331,Dustin May,4
20230331,Alex Vesia,0
20230331,Evan Phillips,0
20230331,Caleb Ferguson,1
20230331,Merrill Kelly,4
20230331,Drey Jameson,5
20230331,Scott McGough,0
20230331,Andrew Chafin,0
20230331,Jesús Luzardo,5
20230331,JT Chargois,1
20230331,Dylan Floro,0
20230331,A.J. Puk,2
20230331,David Peterson,5
20230331,Tommy Hunter,0
20230331,John Curtiss,0
20230331,Nick Martinez,5
20230331,Tim Hill,1
20230331,Luis García,2
20230331,Kyle Freeland,1
20230331,Brent Suter,1
20230331,Brad Hand,1
20230331,Pierce Johnson,2
20230331,Robbie Ray,3
20230331,Trevor Gott,0
20230331,Penn Murfee,0
20230331,Chris Flexen,1
20230331,Hunter Gaddis,4
20230331,Nick Sandlin,1
20230331,Eli Morgan,3
20230331,Enyel De Los Santos,1
20230331,Trevor Stephan,2
20230331,Emmanuel Clase,2
20230401,Chris Sale,6
20230401,Zack Kelly,0
20230401,Josh Winckowski,2
20230401,John Schreiber,0
