Date,Name,HR
20230401,Alex Verdugo,1
20230401,Adam Duvall,2
20230401,Enrique Hernández,1
20230401,Ryan Mountcastle,1
20230401,Austin Hays,1
20230401,Cedric Mullins,1
20230401,Ian Happ,1
20230401,Jonathan India,1
20230401,Kevin Newman,1
20230401,Jake Fraley,1
20230401,Yoán Moncada,1
20230401,Seby Zavala,1
20230401,J.D. Martinez,1
20230401,Trayce Thompson,3
20230401,Christian Walker,1
20230401,Nick Fortes,1
20230401,Mark Canha,1
20230401,Giancarlo Stanton,1
20230401,Josh Donaldson,1
20230401,Joc Pederson,1
20230401,Brandon Crawford,1
20230401,Ramón Laureano,1
20230401,Taylor Ward,1
20230401,Xander Bogaerts,1
20230401,C.J. Cron,1
20230401,Josh Naylor,1
20230401,Andrés Giménez,1
20230401,Yandy Díaz,1
20230401,Marcus Semien,1
20230401,Mitch Garver,2
20230401,Keibert Ruiz,1
20230401,Ronald Acuna Jr.,1
20230401,Matt Olson,2
20230401,Marcell Ozuna,1
20230402,Enrique Hernández,1
20230402,Cedric Mullins,1
20230402,Adam Frazier,1
20230402,Patrick Wisdom,2
20230402,TJ Friedl,1
20230402,Jason Vosler,1
20230402,Bryan Reynolds,1
20230402,Luis Robert Jr.,1
20230402,Yoán Moncada,1
20230402,Edward Olivares,1
20230402,Matt Duffy,1
20230402,Joey Gallo,2
20230402,Will Smith,1
20230402,Tommy Pham,1
20230402,Aaron Judge,1
20230402,Giancarlo Stanton,1
20230402,Kyle Higashioka,1
20230402,Mike Trout,1
20230402,Shohei Ohtani,1
20230402,Logan O'Hoppe,1
20230402,Xander Bogaerts,1
20230402,Trent Grisham,1
20230402,Ryan McMahon,1
20230402,Julio Rodríguez,1
20230402,Mike Zunino,1
20230402,Brendan Donovan,1
20230402,Alec Burleson,1
20230402,Nolan Gorman,2
20230402,Randy Arozarena,1
20230402,Jake Rogers,1
20230402,Josh Jung,1
20230403,Rafael Devers,1
20230403,Masataka Yoshida,1
20230403,Triston Casas,1
20230403,Bryan Reynolds,2
20230403,Jason Delay,1
20230403,Luis Robert Jr.,1
20230403,Michael Conforto,1
20230403,Thairo Estrada,1
20230403,Joc Pederson,1
20230403,Mike Yastrzemski,1
20230403,David Villar,2
20230403,Bryce Johnson,1
20230403,Jason Vosler,1
20230403,Cody Bellinger,1
20230403,Yordan Alvarez,1
20230403,Riley Greene,1
20230403,Matt Vierling,1
20230403,MJ Melendez,1
20230403,Bo Bichette,1
20230403,Will Smith,1
20230403,Jason Heyward,1
20230403,Chris Taylor,1
20230403,Max Kepler,1
20230403,Ryan Jeffers,1
20230403,Trevor Larnach,1
20230403,Joey Gallo,1
20230403,Brian Anderson,1
20230403,Brice Turang,1
20230403,Anthony Rizzo,1
20230403,Gleyber Torres,1
20230403,Jace Peterson,1
20230403,Seth Brown,1
20230403,Ramón Laureano,1
20230403,Josh Naylor,1
20230403,Juan Soto,1
20230403,David Dahl,1
20230403,Ha-Seong Kim,1
20230403,Evan Longoria,1
20230403,Corbin Carroll,1
20230403,Taylor Ward,1
20230403,Shohei Ohtani,1
20230403,Paul Goldschmidt,1
20230403,Ronald Acuna Jr.,1
20230403,Austin Riley,1
20230403,Ozzie Albies,1
20230403,Gunnar Henderson,1
20230403,Jorge Mateo,1
20230403,Jeimer Candelario,1
20230403,Luke Raley,2
20230403,Isaac Paredes,1
20230404,Bryan Reynolds,1
