Date,AJ Pollock,Aaron Judge,Adam Duvall,Adam Frazier,Adley Rutschman,Adolis García,Alec Bohm,Alec Burleson,Aledmys Díaz,Alejandro Kirk,Alek Thomas,Alex Bregman,Alex Call,Alex Verdugo,Amed Rosario,Andrew McCutchen,Andrew Vaughn,Andrés Giménez,Anthony Rizzo,Anthony Santander,Anthony Volpe,Austin Hays,Austin Nola,Austin Riley,Avisaíl García,Blake Sabol,Bo Bichette,Bobby Witt,Brandon Belt,Brandon Crawford,Brandon Drury,Brandon Lowe,Brandon Marsh,Brandon Nimmo,Brendan Donovan,Brent Rooker,Brett Baty,Brian Anderson,Brice Turang,Bryan De La Cruz,Bryan Reynolds,Bryce Johnson,Bryson Stott,Byron Buxton,C.J. Cron,CJ Abrams,Cal Raleigh,Carlos Correa,Carlos Pérez,Carlos Santana,Cavan Biggio,Cedric Mullins,Chad Wallach,Charlie Blackmon,Chas McCormick,Chris Taylor,Christian Bethancourt,Christian Walker,Christian Yelich,Cody Bellinger,Connor Joe,Connor Wong,Corbin Carroll,Corey Julks,Corey Seager,Cristian Pache,DJ LeMahieu,Daniel Vogelbach,Danny Jansen,Dansby Swanson,Daulton Varsho,David Dahl,David Peralta,David Villar,Dominic Smith,Eddie Rosario,Edmundo Sosa,Edouard Julien,Eduardo Escobar,Edward Olivares,Edwin Rios,Elias Díaz,Eloy Jiménez,Enrique Hernández,Eric Hosmer,Eugenio Suárez,Evan Longoria,Ezequiel Duran,Fernando Tatis Jr.,Franchy Cordero,Francisco Alvarez,Francisco Lindor,Francisco Mejía,Franmil Reyes,Freddie Freeman,Gabriel Arias,Gabriel Moreno,Garrett Cooper,Garrett Hampson,Garrett Mitchell,Gavin Sheets,George Springer,Geraldo Perdomo,Giancarlo Stanton,Gio Urshela,Gleyber Torres,Gunnar Henderson,Ha-Seong Kim,Hanser Alberto,Harold Ramírez,Hunter Dozier,Hunter Renfroe,Ian Happ,Isaac Paredes,J.D. Davis,J.D. Martinez,J.P. Crawford,J.T. Realmuto,Jace Peterson,Jack Suwinski,Jake Burger,Jake Cave,Jake Cronenworth,Jake Fraley,Jake Lamb,Jake McCarthy,Jake Meyers,Jake Rogers,James McCann,James Outman,Jarred Kelenic,Jarren Duran,Jason Delay,Jason Heyward,Jason Vosler,Jazz Chisholm Jr.,Jeff McNeil,Jeimer Candelario,Jeremy Peña,Jesús Aguilar,Jesús Sánchez,Ji Hwan Bae,Ji Man Choi,Joc Pederson,Joey Gallo,Joey Meneses,Joey Wiemer,Jon Berti,Jonah Heim,Jonathan India,Jordan Diaz,Jordan Walker,Jorge Mateo,Jorge Polanco,Jorge Soler,Jose Barrero,Jose Miranda,Jose Siri,Jose Trevino,Josh Bell,Josh Donaldson,Josh H. Smith,Josh Harrison,Josh Jung,Josh Lowe,Josh Naylor,José Ramírez,Juan Soto,Juan Yepez,Julio Rodríguez,Jurickson Profar,Justin Turner,Ke'Bryan Hayes,Keibert Ruiz,Kerry Carpenter,Ketel Marte,Kevin Kiermaier,Kevin Newman,Kevin Pillar,Kevin Smith,Kody Clemens,Kris Bryant,Kyle Farmer,Kyle Garlick,Kyle Higashioka,Kyle Schwarber,Kyle Tucker,LaMonte Wade Jr.,Lars Nootbaar,Lenyn Sosa,Logan O'Hoppe,Lourdes Gurriel Jr.,Luis Arraez,Luis Campusano,Luis García,Luis Rengifo,Luis Robert Jr.,Luke Maile,Luke Raley,MJ Melendez,Manny Machado,Manuel Margot,Marcell Ozuna,Marcus Semien,Mark Canha,Martín Maldonado,Masataka Yoshida,Matt Carpenter,Matt Chapman,Matt Duffy,Matt Olson,Matt Thaiss,Matt Vierling,Max Kepler,Max Muncy,Michael A. Taylor,Michael Conforto,Miguel Andujar,Miguel Vargas,Mike Brosseau,Mike Moustakas,Mike Trout,Mike Yastrzemski,Mike Zunino,Mitch Garver,Mitch Haniger,Mookie Betts,Nathaniel Lowe,Nelson Cruz,Nelson Velázquez,Nick Ahmed,Nick Castellanos,Nick Fortes,Nick Maton,Nick Senzel,Nico Hoerner,Nolan Arenado,Nolan Gorman,Orlando Arcia,Oscar Colás,Oscar Gonzalez,Oswaldo Cabrera,Ozzie Albies,Patrick Wisdom,Paul DeJong,Paul Goldschmidt,Pavin Smith,Pete Alonso,Rafael Devers,Raimel Tapia,Ramón Laureano,Randy Arozarena,Riley Greene,Rob Refsnyder,Robbie Grossman,Rodolfo Castro,Ronald Acuna Jr.,Rowdy Tellez,Ryan Jeffers,Ryan McKenna,Ryan McMahon,Ryan Mountcastle,Ryan Noda,Salvador Perez,Sam Hilliard,Santiago Espinal,Sean Murphy,Seby Zavala,Seiya Suzuki,Seth Brown,Shea Langeliers,Shohei Ohtani,Spencer Steer,Spencer Torkelson,Starling Marte,Stone Garrett,Stuart Fairchild,TJ Friedl,Taylor Trammell,Taylor Walls,Taylor Ward,Teoscar Hernández,Thairo Estrada,Tommy Edman,Tommy Pham,Tony Kemp,Trayce Thompson,Trea Turner,Trent Grisham,Trevor Larnach,Trey Mancini,Triston Casas,Tyler Nevin,Tyler O'Neill,Victor Caratini,Vinnie Pasquantino,Vladimir Guerrero Jr.,Wander Franco,Wil Myers,Will Brennan,Will Smith,Willi Castro,William Contreras,Willson Contreras,Willy Adames,Wilmer Flores,Xander Bogaerts,Yan Gomes,Yandy Díaz,Yasmani Grandal,Yordan Alvarez,Yoán Moncada,Yu Chang,Yuli Gurriel,Zach McKinstry,Zack Short
20230401,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
20230402,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
20230403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20230404,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
20230405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230406,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20230407,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20230408,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
20230409,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20230410,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
