Date,Name,HR
20230701,Anthony Rendon,1
20230701,Ronald Acuna Jr.,1
20230701,Ozzie Albies,1
20230701,Joey Gallo,1
20230701,Jonathan India,1
20230701,Juan Soto,1
20230701,Manny Machado,2
20230701,Zach McKinstry,1
20230701,Brandon Nimmo,1
20230701,Francisco Lindor,1
20230701,Francisco Alvarez,1
20230701,Seth Brown,1
20230701,Eloy Jiménez,1
20230701,Kyle Schwarber,1
20230701,Nick Castellanos,1
20230701,Alec Bohm,2
20230701,Dominic Smith,1
20230701,Jack Suwinski,1
20230701,Christian Yelich,1
20230701,Raimel Tapia,1
20230701,J.P. Crawford,1
20230701,Luke Raley,1
20230701,Paul Goldschmidt,1
20230701,Nolan Gorman,1
20230701,Jake Bauers,1
20230701,Lars Nootbaar,1
20230701,Kyle Tucker,1
20230701,George Springer,1
20230701,Bo Bichette,1
20230701,Matt Chapman,1
20230701,Justin Turner,1
20230701,Rafael Devers,1
20230702,Mickey Moniak,1
20230702,Mike Trout,1
20230702,Shohei Ohtani,1
20230702,Carson Kelly,1
20230702,Ozzie Albies,1
20230702,Travis d'Arnaud,1
20230702,Orlando Arcia,1
20230702,Christopher Morel,1
20230702,Andrés Giménez,1
20230702,Tyler Stephenson,1
20230702,Spencer Steer,1
20230702,Ha-Seong Kim,1
20230702,Fernando Tatis Jr.,1
20230702,Ryan McMahon,1
20230702,Randal Grichuk,1
20230702,Spencer Torkelson,1
20230702,Kerry Carpenter,1
20230702,Javier Báez,1
20230702,Jake Rogers,1
20230702,Jake Marisnick,1
20230702,Pete Alonso,1
20230702,Mark Canha,1
20230702,Blake Sabol,1
20230702,Brent Rooker,1
20230702,Jake Burger,1
20230702,Nick Castellanos,1
20230702,J.T. Realmuto,1
20230702,Jeimer Candelario,1
20230702,Stone Garrett,1
20230702,Nick Gonzales,1
20230702,William Contreras,1
20230702,Eugenio Suárez,1
20230702,Tom Murphy,1
20230702,Randy Arozarena,1
20230702,Isaac Paredes,1
20230702,Brendan Donovan,1
20230702,Nathaniel Lowe,1
20230702,Jose Altuve,1
20230702,Brandon Belt,2
20230702,Alex Verdugo,1
20230703,Marcell Ozuna,1
20230703,Michael Harris II,2
20230703,Max Muncy,1
20230703,Willson Contreras,1
20230703,Edouard Julien,1
20230703,Maikel Garcia,1
20230703,Nick Pratto,1
20230703,Harrison Bader,1
20230703,Anthony Volpe,1
20230703,Kyle Higashioka,1
20230703,Xander Bogaerts,1
20230703,Luis Rengifo,1
20230703,Blake Sabol,2
20230703,Adolis García,1
20230703,Travis Jankowski,1
20230703,Leody Taveras,1
20230703,Kyle Tucker,1
20230703,José Abreu,1
20230703,Chas McCormick,1
20230703,Yainer Diaz,1
20230703,Jeimer Candelario,1
20230703,Joey Votto,1
20230704,Corbin Carroll,1
20230704,Christian Walker,1
20230704,Lourdes Gurriel Jr.,1
20230704,Brandon Nimmo,1
20230704,Starling Marte,1
20230704,Francisco Alvarez,1
20230704,Mitch Garver,1
20230704,Luis Robert Jr.,1
20230704,Vladimir Guerrero Jr.,1
20230704,Amed Rosario,1
20230704,Ozzie Albies,2
20230704,Grae Kessinger,1
20230704,Kris Bryant,1
20230704,Mookie Betts,1
20230704,Jonny Deluca,1
20230704,James Outman,2
20230704,Jack Suwinski,1
20230704,Jesús Sánchez,1
20230704,Garrett Cooper,1
20230704,Dansby Swanson,1
20230704,Donovan Solano,1
20230704,Byron Buxton,1
20230704,Max Kepler,1
20230704,Bobby Witt,1
20230704,Gleyber Torres,1
20230704,Jose Trevino,1
20230704,Aaron Hicks,1
20230704,Adam Frazier,1
20230704,Xander Bogaerts,1
20230704,Jake Cronenworth,1
20230704,Hunter Renfroe,1
20230704,Mike Ford,1
20230704,AJ Pollock,1
20230704,Wander Franco,1
20230704,Jonathan India,2
20230704,Nick Senzel,1
20230705,Christian Walker,1
20230705,Francisco Alvarez,1
20230705,Adolis García,1
20230705,Austin Riley,1
20230705,Matt Olson,1
20230705,Sean Murphy,1
20230705,Jordan Diaz,1
20230705,Ryan Noda,1
20230705,Shea Langeliers,1
20230705,Yainer Diaz,2
20230705,Jeremy Peña,1
20230705,C.J. Cron,1
20230705,Randal Grichuk,1
20230705,J.D. Martinez,1
20230705,David Peralta,1
20230705,Bryan Reynolds,1
20230705,Jack Suwinski,1
20230705,Jacob Stallings,1
20230705,Nolan Gorman,1
20230705,Jordan Walker,1
20230705,Willy Adames,1
20230705,Edouard Julien,1
20230705,Ryan Jeffers,1
20230705,Josh Donaldson,1
20230705,Anthony Volpe,1
20230705,Ryan O'Hearn,1
20230705,Manny Machado,1
20230705,Matt Thaiss,1
20230705,Luke Raley,1
20230705,Trea Turner,1
20230705,Nick Castellanos,1
20230705,Elly De La Cruz,1
20230705,Joey Votto,1
20230706,Francisco Lindor,1
20230706,Pete Alonso,1
20230706,Francisco Alvarez,1
20230706,Corey Seager,1
20230706,Eloy Jiménez,1
20230706,Matt Chapman,1
20230706,Whit Merrifield,2
20230706,José Ramírez,1
20230706,Josh Naylor,1
20230706,Andrés Giménez,1
20230706,Jake Marisnick,1
20230706,J.P. Crawford,1
20230706,Eugenio Suárez,2
20230706,Freddie Freeman,1
20230706,Max Muncy,1
20230706,Nolan Arenado,1
20230706,Christian Yelich,1
20230706,Victor Caratini,1
20230706,Cody Bellinger,1
20230706,Yan Gomes,1
20230706,Gunnar Henderson,2
20230706,Isaac Paredes,1
20230706,Darick Hall,1
20230706,Alex Call,1
20230706,Nick Senzel,1
20230707,Lourdes Gurriel Jr.,1
20230707,Seth Brown,1
20230707,Luis Robert Jr.,1
20230707,Jake Burger,1
20230707,Nolan Arenado,2
20230707,Josh Bell,1
20230707,George Springer,1
20230707,Whit Merrifield,1
20230707,Mike Ford,1
20230707,Mookie Betts,2
20230707,Freddie Freeman,1
20230707,Will Smith,1
20230707,J.D. Martinez,1
20230707,Mickey Moniak,1
20230707,Mike Moustakas,1
20230707,Garrett Cooper,1
20230707,J.T. Realmuto,1
20230707,Cristian Pache,1
20230707,Willy Adames,1
20230707,Joey Wiemer,1
20230707,Joey Votto,1
20230707,Cody Bellinger,1
20230707,Manny Machado,1
20230707,Francisco Lindor,1
20230707,Brandon Crawford,1
20230707,Ezequiel Tovar,1
20230707,Ryan McMahon,1
20230707,Wander Franco,1
20230707,Sean Murphy,1
20230707,Joey Meneses,2
20230707,Corey Seager,1
20230707,Adolis García,1
20230708,Alek Thomas,1
20230708,Jarren Duran,1
20230708,Alex Verdugo,1
20230708,Brent Rooker,1
20230708,Manny Piña,1
20230708,Jordan Walker,1
20230708,Bobby Witt,1
20230708,Martín Maldonado,1
20230708,Mookie Betts,1
20230708,Freddie Freeman,1
20230708,J.D. Martinez,1
20230708,Max Muncy,1
20230708,David Peralta,1
20230708,Shohei Ohtani,1
20230708,Jorge Soler,1
20230708,Trea Turner,1
20230708,Willy Adames,2
20230708,Joey Votto,1
20230708,Will Benson,1
20230708,Giancarlo Stanton,2
20230708,Josh Donaldson,1
20230708,Mike Tauchman,1
20230708,Matthew Batten,1
20230708,Francisco Alvarez,1
20230708,Michael Conforto,1
20230708,Austin Slater,1
20230708,Austin Wynns,1
20230708,Sean Murphy,1
20230708,Jeimer Candelario,1
20230708,Joey Meneses,1
20230708,Alex Call,1
20230708,Josh Jung,2
20230709,Alek Thomas,1
20230709,Ji Man Choi,1
20230709,Adam Duvall,1
