Fecha,Kevin Kiermaier,Jake Marisnick,Lourdes Gurriel Jr.,Kerry Carpenter,J.T. Realmuto,Rafael Devers,Gunnar Henderson,Travis Jankowski,Brandon Nimmo,Mickey Moniak,Trey Cabbage,Vladimir Guerrero Jr.,Mookie Betts,Mike Trout,Joey Meneses,Andrew Velazquez,Riley Adams,Wilmer Flores,Josh Jung,Anthony Rendon,David Fry,Cade Marlowe,Chas McCormick,Carlos Santana,Brendan Donovan,James Outman,Francisco Alvarez,Kris Bryant,Jordan Westburg,Jake Cronenworth,Matthew Batten,Emmanuel Rivera,Ryan McMahon,Jarren Duran,Francisco Mejía,Zack Short,Mauricio Dubón,Jason Heyward,Wander Franco,Endy Rodríguez,Matt Chapman,Nolan Arenado,Adley Rutschman,Joc Pederson,J.P. Crawford,Mark Vientos,Zack Gelof,Yordan Alvarez,Jurickson Profar,Michael Harris II,Marcus Semien,Orlando Arcia,Ian Happ,Carlos Correa,Zach Neto,Manny Machado,Anthony Santander,Ozzie Albies,Patrick Wisdom,Brent Rooker,José Ramírez,Marcell Ozuna,Jordan Diaz,Gabriel Moreno,Jeimer Candelario,Amed Rosario,Tyrone Taylor,Alec Bohm,Alex Kirilloff,Josh Lowe,Martín Maldonado,Jonathan India,Stone Garrett,Eugenio Suárez,Triston Casas,Corey Seager,Mitch Garver,Sean Murphy,Nolan Jones,Victor Caratini,Edmundo Sosa,Jesús Sánchez,Owen Miller,Eloy Jiménez,Seth Brown,Paul DeJong,Jose Siri,Lane Thomas,J.D. Martinez,Tom Murphy,Eddie Rosario,Chris Taylor,Ha-Seong Kim,Jake Burger,Christian Walker,Jake Meyers,Francisco Lindor,Brice Turang,Yainer Diaz,Anthony Rizzo,AJ Pollock,CJ Abrams,Joey Votto,Taylor Ward,Alex Bregman,Alek Thomas,Nick Pratto,Yan Gomes,Connor Joe,Franchy Cordero,Paul Goldschmidt,David Peralta,Tim Anderson,Spencer Steer,Andrés Giménez,Luis Campusano,Michael Massey,Jose Trevino,Christian Vázquez,Yu Chang,Drew Waters,Riley Greene,Austin Slater,C.J. Cron,Bo Naylor,Manny Piña,Andy Ibáñez,Miles Mastrobuoni,Steven Kwan,Michael Conforto,Adam Frazier,TJ Friedl,Edouard Julien,Luis García,Whit Merrifield,Jake Fraley,Nathaniel Lowe,Jorge Soler,Brandon Crawford,Michael Toglia,Austin Hays,Kyle Tucker,Josh Naylor,Josh Donaldson,Sal Frelick,Bo Bichette,Kyle Higashioka,Ezequiel Tovar,Kolten Wong,Will Smith,Luis Rengifo,Willson Contreras,Isaac Paredes,Luke Raley,Randal Grichuk,Jose Altuve,Brandon Belt,Darick Hall,Trea Turner,Christopher Morel,Matt McLain,Nick Castellanos,Randy Arozarena,Aaron Hicks,Fernando Tatis Jr.,Starling Marte,Luis Robert Jr.,Brenton Doyle,Cedric Mullins,Cal Raleigh,Dane Myers,Bobby Witt,Jean Segura,Aaron Judge,Max Muncy,Gleyber Torres,DJ LeMahieu,Elehuris Montero,Ji Man Choi,Yasmani Grandal,Gary Sánchez,Christian Yelich,Cody Thomas,William Contreras,Omar Narváez,Ezequiel Duran,Jonah Heim,Jake Bauers,Blake Sabol,Nick Gonzales,Christian Encarnacion-Strand,Mike Moustakas,Henry Davis,George Springer,Nolan Gorman,Danny Jansen,Lars Nootbaar,Chad Wallach,Eduardo Escobar,Max Kepler,Mike Yastrzemski,Matt Wallner,Josh H. Smith,Kyle Isbel,Joey Wiemer,Liover Peguero,Grae Kessinger,Jonny Deluca,Brett Baty,Michael A. Taylor,Ryan Mountcastle,Bryce Harper,Jake Rogers,Jordan Walker,Ryan O'Hearn,Keibert Ruiz,Kyle Schwarber,Luke Maile,Shea Langeliers,Willy Adames,Maikel Garcia,Daniel Vogelbach,Juan Soto,Trent Grisham,Harrison Bader,Dansby Swanson,Ryan Jeffers,JJ Bleday,Austin Wynns,Alan Trejo,Elly De La Cruz,Freddie Freeman,Freddy Fermin,J.D. Davis,Mike Ford,Jace Peterson,Joey Gallo,Alex Verdugo,Justin Turner,Alec Burleson,Tyler Stephenson,Cristian Pache,Bryan Reynolds,Bryan De La Cruz,Giancarlo Stanton,Cody Bellinger,Sam Huff,Alex Call,Tommy Pham,Corbin Carroll,MJ Melendez,Elias Díaz,Mike Tauchman,Andrew Vaughn,Dominic Canzone,Joshua Palacios,Teoscar Hernández,Will Benson,Yandy Díaz,Zach Remillard,Spencer Torkelson,Anthony Volpe,Xander Bogaerts,Nico Hoerner,Matt Thaiss,Bryson Stott,Abraham Toro,Santiago Espinal,Leody Taveras,Billy McKinney,Jack Suwinski,Ramón Laureano,Kyle Farmer,Austin Riley,Seiya Suzuki,Alejandro Kirk,Hunter Renfroe,Andrew Benintendi,Travis d'Arnaud,Nick Senzel,Ketel Marte,Nick Maton,Pete Alonso,Julio Rodríguez,Salvador Perez,Dylan Moore,Andrew Knizner,Ronald Acuna Jr.,Ryan Noda,Byron Buxton,Brandon Lowe,Adolis García,Ramón Urías,Adam Duvall,DJ Stewart,José Abreu,Zach McKinstry,Donovan Solano,Josh Bell,Garrett Cooper,Carson Kelly,Javier Báez,Shohei Ohtani,Dominic Smith,Raimel Tapia,Jeremy Peña,Masataka Yoshida,Jacob Stallings,Mark Canha,Akil Baddoo,Matt Olson
20230701,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
20230702,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
20230703,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230704,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20230705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
20230706,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230707,0,0,1,0,1,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20230708,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20230709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
20230714,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
