date,name,category,value
30/03/2023,Boston Red Sox,ALEast,0
30/03/2023,Baltimore Orioles,ALEast,1
30/03/2023,Chicago Cubs,NLCentral,1
30/03/2023,Milwaukee Brewers,NLCentral,0
30/03/2023,Cincinnati Reds,NLCentral,0
30/03/2023,Pittsburgh Pirates,NLCentral,1
30/03/2023,Houston Astros,ALEast,0
30/03/2023,Chicago White Sox,ALCentral,1
30/03/2023,Kansas City Royals,ALCentral,0
30/03/2023,Minnesota Twins,ALCentral,1
30/03/2023,Los Angeles Dodgers,NLWest,1
30/03/2023,Arizona Diamondbacks,NLWest,0
30/03/2023,Miami Marlins,NLEast,0
30/03/2023,New York Mets,NLEast,1
30/03/2023,New York Yankees,ALEast,1
30/03/2023,San Francisco Giants,NLWest,0
30/03/2023,Oakland Athletics,ALEast,1
30/03/2023,Los Angeles Angels,ALEast,0
30/03/2023,San Diego Padres,NLWest,0
30/03/2023,Colorado Rockies,NLWest,1
30/03/2023,Seattle Mariners,ALEast,1
30/03/2023,Cleveland Guardians,ALCentral,0
30/03/2023,St. Louis Cardinals,NLCentral,0
30/03/2023,Toronto Blue Jays,ALEast,1
30/03/2023,Tampa Bay Rays,ALEast,1
30/03/2023,Detroit Tigers,ALCentral,0
30/03/2023,Texas Rangers,ALEast,1
30/03/2023,Philadelphia Phillies,NLEast,0
30/03/2023,Washington Nationals,NLEast,0
30/03/2023,Atlanta Braves,NLEast,1
31/03/2023,Houston Astros,ALEast,1
31/03/2023,Chicago White Sox,ALCentral,1
31/03/2023,Los Angeles Dodgers,NLWest,1
31/03/2023,Arizona Diamondbacks,NLWest,1
31/03/2023,Miami Marlins,NLEast,1
31/03/2023,New York Mets,NLEast,1
31/03/2023,San Diego Padres,NLWest,0
31/03/2023,Colorado Rockies,NLWest,2
31/03/2023,Seattle Mariners,ALEast,1
31/03/2023,Cleveland Guardians,ALCentral,1
31/03/2023,Boston Red Sox,ALEast,0
31/03/2023,Baltimore Orioles,ALEast,1
31/03/2023,Chicago Cubs,NLCentral,1
31/03/2023,Milwaukee Brewers,NLCentral,0
31/03/2023,Cincinnati Reds,NLCentral,0
31/03/2023,Pittsburgh Pirates,NLCentral,1
31/03/2023,Kansas City Royals,ALCentral,0
31/03/2023,Minnesota Twins,ALCentral,1
31/03/2023,New York Yankees,ALEast,1
31/03/2023,San Francisco Giants,NLWest,0
31/03/2023,Oakland Athletics,ALEast,1
31/03/2023,Los Angeles Angels,ALEast,0
31/03/2023,St. Louis Cardinals,NLCentral,0
31/03/2023,Toronto Blue Jays,ALEast,1
31/03/2023,Tampa Bay Rays,ALEast,1
31/03/2023,Detroit Tigers,ALCentral,0
31/03/2023,Texas Rangers,ALEast,1
31/03/2023,Philadelphia Phillies,NLEast,0
31/03/2023,Washington Nationals,NLEast,0
31/03/2023,Atlanta Braves,NLEast,1
01/04/2023,Boston Red Sox,ALEast,1
01/04/2023,Baltimore Orioles,ALEast,1
01/04/2023,Chicago Cubs,NLCentral,1
01/04/2023,Milwaukee Brewers,NLCentral,1
01/04/2023,Cincinnati Reds,NLCentral,1
01/04/2023,Pittsburgh Pirates,NLCentral,1
01/04/2023,Houston Astros,ALEast,2
01/04/2023,Chicago White Sox,ALCentral,1
01/04/2023,Kansas City Royals,ALCentral,0
01/04/2023,Minnesota Twins,ALCentral,2
01/04/2023,Los Angeles Dodgers,NLWest,2
01/04/2023,Arizona Diamondbacks,NLWest,1
01/04/2023,Miami Marlins,NLEast,1
01/04/2023,New York Mets,NLEast,2
01/04/2023,New York Yankees,ALEast,1
01/04/2023,San Francisco Giants,NLWest,1
01/04/2023,Oakland Athletics,ALEast,1
01/04/2023,Los Angeles Angels,ALEast,1
01/04/2023,San Diego Padres,NLWest,1
01/04/2023,Colorado Rockies,NLWest,2
01/04/2023,Seattle Mariners,ALEast,1
01/04/2023,Cleveland Guardians,ALCentral,2
01/04/2023,St. Louis Cardinals,NLCentral,1
01/04/2023,Toronto Blue Jays,ALEast,1
01/04/2023,Tampa Bay Rays,ALEast,2
01/04/2023,Detroit Tigers,ALCentral,0
01/04/2023,Texas Rangers,ALEast,2
01/04/2023,Philadelphia Phillies,NLEast,0
01/04/2023,Washington Nationals,NLEast,0
01/04/2023,Atlanta Braves,NLEast,2
02/04/2023,Boston Red Sox,ALEast,2
02/04/2023,Baltimore Orioles,ALEast,1
02/04/2023,Chicago Cubs,NLCentral,1
02/04/2023,Milwaukee Brewers,NLCentral,2
02/04/2023,Cincinnati Reds,NLCentral,2
02/04/2023,Pittsburgh Pirates,NLCentral,1
02/04/2023,Houston Astros,ALEast,2
02/04/2023,Chicago White Sox,ALCentral,2
02/04/2023,Kansas City Royals,ALCentral,0
02/04/2023,Minnesota Twins,ALCentral,3
02/04/2023,Los Angeles Dodgers,NLWest,2
02/04/2023,Arizona Diamondbacks,NLWest,2
02/04/2023,Miami Marlins,NLEast,1
02/04/2023,New York Mets,NLEast,3
02/04/2023,New York Yankees,ALEast,2
02/04/2023,San Francisco Giants,NLWest,1
02/04/2023,Oakland Athletics,ALEast,1
02/04/2023,Los Angeles Angels,ALEast,2
02/04/2023,San Diego Padres,NLWest,2
02/04/2023,Colorado Rockies,NLWest,2
02/04/2023,Seattle Mariners,ALEast,1
02/04/2023,Cleveland Guardians,ALCentral,3
02/04/2023,St. Louis Cardinals,NLCentral,2
02/04/2023,Toronto Blue Jays,ALEast,1
02/04/2023,Tampa Bay Rays,ALEast,3
02/04/2023,Detroit Tigers,ALCentral,0
02/04/2023,Texas Rangers,ALEast,3
02/04/2023,Philadelphia Phillies,NLEast,0
02/04/2023,Washington Nationals,NLEast,1
02/04/2023,Atlanta Braves,NLEast,2
03/04/2023,Boston Red Sox,ALEast,2
03/04/2023,Pittsburgh Pirates,NLCentral,2
03/04/2023,Chicago White Sox,ALCentral,2
03/04/2023,San Francisco Giants,NLWest,2
03/04/2023,Cincinnati Reds,NLCentral,3
03/04/2023,Chicago Cubs,NLCentral,1
03/04/2023,Houston Astros,ALEast,2
03/04/2023,Detroit Tigers,ALCentral,1
03/04/2023,Kansas City Royals,ALCentral,1
03/04/2023,Toronto Blue Jays,ALEast,1
03/04/2023,Los Angeles Dodgers,NLWest,3
03/04/2023,Colorado Rockies,NLWest,2
03/04/2023,Miami Marlins,NLEast,1
03/04/2023,Minnesota Twins,ALCentral,4
03/04/2023,Milwaukee Brewers,NLCentral,3
03/04/2023,New York Mets,NLEast,3
03/04/2023,New York Yankees,ALEast,3
03/04/2023,Philadelphia Phillies,NLEast,0
03/04/2023,Oakland Athletics,ALEast,1
03/04/2023,Cleveland Guardians,ALCentral,4
