Fecha,Arizona Diamondbacks,Washington Nationals,Detroit Tigers,Toronto Blue Jays,Chicago White Sox,San Diego Padres,Pittsburgh Pirates,Houston Astros,San Francisco Giants,Chicago Cubs,Seattle Mariners,Texas Rangers,Colorado Rockies,Cincinnati Reds,St. Louis Cardinals,Milwaukee Brewers,New York Yankees,Los Angeles Dodgers,Baltimore Orioles,Philadelphia Phillies,Los Angeles Angels,Tampa Bay Rays,Atlanta Braves,Minnesota Twins,Boston Red Sox,Oakland Athletics,Cleveland Guardians,New York Mets,Miami Marlins,Kansas City Royals
30/03/2023,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0
31/03/2023,1,0,0,1,1,0,1,1,0,1,1,1,2,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0
01/04/2023,1,0,0,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,0,1,2,2,2,1,1,2,2,1,0
02/04/2023,2,1,0,1,2,2,1,2,1,1,1,3,2,2,2,2,2,2,1,0,2,3,2,3,2,1,3,3,1,0
03/04/2023,2,1,1,1,2,3,2,2,2,1,1,3,2,3,2,3,3,3,2,0,3,4,3,4,2,1,4,3,1,1
04/04/2023,3,1,2,2,2,3,3,2,2,2,2,3,2,3,2,4,3,4,3,1,3,5,4,4,2,2,4,3,2,1
05/04/2023,3,1,2,3,3,3,4,3,2,2,2,4,2,3,2,5,4,4,3,1,4,6,5,4,2,2,5,3,3,1
06/04/2023,3,1,2,4,3,3,4,3,3,2,2,4,3,3,2,5,4,5,3,1,4,6,6,4,3,2,5,3,3,1
07/04/2023,4,2,2,5,3,4,5,3,3,3,3,4,3,3,2,6,4,5,4,2,4,7,6,5,3,2,5,4,3,2
08/04/2023,5,3,2,5,4,5,5,3,3,4,4,4,3,3,3,6,5,5,4,3,5,8,6,6,4,2,5,5,3,3
09/04/2023,6,3,2,6,4,6,6,4,4,4,4,5,4,4,3,7,6,5,4,3,5,9,6,6,5,2,6,5,4,3
10/04/2023,7,4,2,6,5,6,6,5,4,5,4,6,5,4,3,7,6,6,5,4,5,10,7,6,5,2,7,6,4,3
11/04/2023,7,4,2,7,5,7,7,5,5,6,4,7,5,4,4,8,7,6,6,4,6,11,8,7,5,2,7,6,5,3
12/04/2023,8,4,2,8,5,7,7,6,5,6,5,7,5,4,5,8,8,7,6,4,7,12,9,8,5,3,7,7,6,4
13/04/2023,8,4,3,8,5,7,8,6,5,6,5,7,5,5,5,9,8,7,7,4,7,13,9,9,5,3,7,7,6,4
14/04/2023,8,4,4,9,5,7,8,6,5,7,6,8,5,5,6,10,8,7,8,5,7,13,10,10,6,3,8,8,7,4
15/04/2023,8,4,5,10,6,8,9,7,5,7,7,8,5,6,6,10,9,8,8,5,7,13,11,10,7,3,9,9,8,4
16/04/2023,9,5,5,10,6,8,9,7,5,8,8,9,5,6,7,11,10,8,9,6,7,14,12,10,8,3,9,10,8,4
17/04/2023,10,5,5,10,6,8,10,8,5,9,8,10,5,7,7,12,10,8,9,6,8,14,13,10,8,3,9,11,9,4
18/04/2023,11,5,7,11,7,8,11,8,5,10,8,11,5,7,7,13,10,9,10,7,9,15,14,10,9,3,9,11,10,4
19/04/2023,11,5,7,11,7,9,12,9,6,11,8,12,5,7,8,14,11,9,11,8,9,16,14,11,9,3,10,12,10,4
20/04/2023,11,5,7,11,7,10,13,9,6,11,8,12,6,7,8,14,12,10,11,8,9,16,14,11,10,3,10,13,10,4
21/04/2023,12,6,7,12,7,10,14,10,6,12,9,12,6,7,8,14,12,10,12,9,10,17,14,11,11,4,10,14,10,4
22/04/2023,12,7,7,12,7,11,15,11,7,12,10,13,6,7,8,15,13,11,13,10,10,18,14,11,11,4,10,14,12,5
