dateId;teamId;order;playerId;Starters;MP;TS%;eFG%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;ORtg;DRtg;BPM
26/10/2022;LAL;0;davisan02;Anthony Davis;36:26;.566;.579;.053;.053;2.5;35.0;18.3;25.8;3.9;4.5;0.0;23.1;118;96;12.9
26/10/2022;LAL;1;jamesle01;LeBron James;35:18;.434;.429;.381;.095;5.2;13.9;9.4;42.0;1.3;0.0;26.8;36.6;76;110;-3.9
26/10/2022;LAL;2;walkelo01;Lonnie Walker IV;30:29;.490;.464;.429;.214;0.0;6.4;3.1;5.2;3.1;2.7;6.1;23.1;91;105;-0.3
26/10/2022;LAL;3;beverpa01;Patrick Beverley;28:59;.521;.250;.500;1.000;3.2;10.1;6.6;13.0;1.6;0.0;0.0;8.6;131;110;-1.5
26/10/2022;LAL;4;reaveau01;Austin Reaves;26:29;.800;.800;.600;.000;0.0;7.4;3.6;5.2;0.0;0.0;16.7;9.8;120;114;-2.8
26/10/2022;LAL;5;Reserves;Reserves
26/10/2022;LAL;6;browntr01;Troy Brown Jr.;27:42;.375;.375;.375;.000;6.7;10.6;8.6;19.9;1.7;0.0;11.1;14.0;92;110;-2.4
26/10/2022;LAL;7;nunnke01;Kendrick Nunn;19:05;.375;.375;.333;.000;0.0;20.5;10.0;8.4;0.0;0.0;20.0;34.0;59;111;-15.0
26/10/2022;LAL;8;jonesda03;Damian Jones;11:34;.532;.500;.000;2.000;8.0;25.4;16.4;0.0;0.0;7.2;0.0;14.1;119;104;-0.8
26/10/2022;LAL;9;toscaju01;Juan Toscano-Anderson;9:56;.500;.500;.000;.000;0.0;29.6;14.4;0.0;0.0;0.0;0.0;8.7;95;109;-9.6
26/10/2022;LAL;10;ryanma01;Matt Ryan;8:30;1.000;1.000;1.000;.000;0.0;11.5;5.6;0.0;0.0;0.0;0.0;15.3;169;113;7.6
26/10/2022;LAL;11;chrisma02;Max Christie;2:46;1.136;;;;0.0;35.4;17.2;43.4;0.0;0.0;0.0;13.7;243;108;26.8
26/10/2022;LAL;12;gabriwe01;Wenyen Gabriel;2:46;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0;116;-8.0
26/10/2022;LAL;0;jokicni01;Nikola Jokić;34:48;.772;.706;.235;.412;2.8;31.8;17.8;48.8;5.4;0.0;13.0;28.4;141;89;20.2
26/10/2022;LAL;1;brownbr01;Bruce Brown;33:01;.750;.750;.500;.000;5.9;8.4;7.2;18.3;2.8;0.0;0.0;15.5;149;98;9.4
26/10/2022;LAL;2;gordoaa01;Aaron Gordon;28:30;.307;.250;.375;.500;10.3;19.4;15.0;21.8;0.0;5.6;0.0;14.6;100;98;-1.0
26/10/2022;LAL;3;murraja01;Jamal Murray;27:43;.433;.433;.467;.000;0.0;13.3;6.9;32.9;3.4;0.0;21.1;29.3;77;96;-5.1
26/10/2022;LAL;4;caldwke01;Kentavious Caldwell-Pope;25:15;.825;.786;.714;.286;0.0;14.6;7.5;5.5;1.9;0.0;0.0;13.3;155;100;5.8
26/10/2022;LAL;5;Reserves;Reserves
26/10/2022;LAL;6;braunch01;Christian Braun;25:05;.654;.667;.167;.333;7.8;11.0;9.5;0.0;0.0;0.0;12.7;13.4;115;104;-4.6
26/10/2022;LAL;7;greenje02;Jeff Green;21:56;.512;.375;.250;.500;4.5;12.6;8.7;18.5;4.3;0.0;0.0;19.0;122;94;2.6
26/10/2022;LAL;8;hylanbo01;Bones Hyland;16:44;.233;.208;.417;.167;0.0;16.5;8.5;39.6;0.0;4.8;7.2;35.5;63;99;-10.4
26/10/2022;LAL;9;jordade01;DeAndre Jordan;10:26;1.000;1.000;.000;.000;0.0;44.2;22.8;0.0;0.0;7.7;50.0;8.2;68;91;-4.1
26/10/2022;LAL;10;cancavl01;Vlatko Čančar;2:46;;;;;0.0;0.0;0.0;0.0;0.0;0.0;100.0;15.5;0;106;-25.7
26/10/2022;LAL;11;nnajize01;Zeke Nnaji;2:46;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0;106;-8.8
26/10/2022;LAL;12;smithis01;Ish Smith;2:46;.000;.000;.000;.000;0.0;33.4;17.2;41.3;0.0;28.9;0.0;30.9;29;74;-2.2
26/10/2022;LAL;13;watsope01;Peyton Watson;2:46;.500;.500;.000;.000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.9;93;105;-13.0
26/10/2022;LAL;14;whiteja03;Jack White;2:46;;;;;0.0;0.0;0.0;0.0;16.9;0.0;;0.0;0;70;10.4
26/10/2022;LAL;15;reedda01;Davon Reed;2:42;.000;.000;.500;.000;0.0;34.2;17.6;0.0;0.0;0.0;0.0;31.7;0;97;-47.2
