dateId;teamId;order;playerId;Starters;MP;TS%;eFG%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;ORtg;DRtg;BPM
04/11/2022;CLE;0;allenja01;Jarrett Allen;31:31;.681;.688;.000;.125;8.7;16.6;13.2;0.0;0.0;6.6;19.2;30.0;105;95;-4.0
04/11/2022;CLE;1;leverca01;Caris LeVert;30:13;.689;.650;.400;.200;4.5;17.3;11.8;27.7;0.0;0.0;15.5;19.3;134;99;1.4
04/11/2022;CLE;2;mobleev01;Evan Mobley;30:12;.370;.357;.071;.143;9.1;20.7;15.7;8.8;0.0;27.6;6.3;23.8;89;80;-0.4
04/11/2022;CLE;3;wadede01;Dean Wade;23:26;.000;.000;.750;.000;0.0;8.9;5.1;4.7;2.2;4.5;20.0;9.7;17;93;-11.0
04/11/2022;CLE;4;okorois01;Isaac Okoro;22:43;.699;.667;.167;.167;0.0;18.4;10.4;0.0;2.2;0.0;0.0;12.8;142;93;-0.1
04/11/2022;CLE;5;Reserves;Reserves
04/11/2022;CLE;6;osmande01;Cedi Osman;25:17;.794;.778;.667;.111;0.0;16.5;9.4;33.0;0.0;0.0;29.8;24.1;118;99;5.4
04/11/2022;CLE;7;netora01;Raul Neto;24:23;.635;.571;.429;.286;0.0;21.4;12.2;25.8;4.1;0.0;20.2;18.3;121;88;5.2
04/11/2022;CLE;8;loveke01;Kevin Love;23:26;.893;.900;.700;.400;23.4;17.8;20.2;69.1;0.0;4.5;7.8;24.6;182;96;35.9
04/11/2022;CLE;9;stevela01;Lamar Stevens;18:31;.615;.500;.250;.500;0.0;0.0;0.0;0.0;0.0;5.6;17.0;14.4;105;101;-9.0
04/11/2022;CLE;10;diakima01;Mamadi Diakite;5:09;1.000;1.000;.000;.000;0.0;40.5;23.0;0.0;9.8;0.0;0.0;8.8;200;68;11.1
04/11/2022;CLE;11;lopezro01;Robin Lopez;5:09;;;;;26.6;0.0;11.5;0.0;0.0;0.0;100.0;17.6;32;104;-27.3
04/11/2022;CLE;0;iveyja01;Jaden Ivey;34:11;.575;.500;.385;.462;3.1;20.1;10.4;18.7;0.0;2.6;20.4;25.6;100;121;-4.3
04/11/2022;CLE;1;beysa01;Saddiq Bey;32:18;.628;.577;.538;.231;0.0;17.0;7.3;13.5;4.7;0.0;12.3;22.5;114;113;6.6
04/11/2022;CLE;2;cunnica01;Cade Cunningham;31:25;.492;.472;.333;.167;3.3;17.5;9.4;37.6;1.6;2.8;4.9;28.9;108;118;6.3
04/11/2022;CLE;3;bogdabo02;Bojan Bogdanović;26:42;.318;.278;.444;.111;3.9;5.1;4.4;0.0;1.9;0.0;17.5;19.1;59;122;-14.9
04/11/2022;CLE;4;stewais01;Isaiah Stewart;23:40;.600;.600;.200;.000;13.2;5.8;10.0;8.1;4.3;3.7;28.6;13.2;101;114;-3.7
04/11/2022;CLE;5;Reserves;Reserves
04/11/2022;CLE;6;liveris01;Isaiah Livers;21:18;.698;.643;.714;.286;0.0;6.4;2.8;0.0;0.0;4.1;0.0;16.5;140;123;4.5
04/11/2022;CLE;7;noelne01;Nerlens Noel;18:43;.333;.333;.000;.000;0.0;44.0;19.0;0.0;5.4;0.0;50.0;14.3;31;106;-11.1
04/11/2022;CLE;8;hayeski01;Killian Hayes;18:14;.333;.333;.333;.000;5.7;0.0;3.3;18.6;2.8;0.0;40.0;12.2;66;121;-12.5
04/11/2022;CLE;9;knoxke01;Kevin Knox;17:37;.500;.500;1.000;.000;5.9;7.8;6.7;9.6;0.0;5.0;25.0;10.1;92;122;-5.5
04/11/2022;CLE;10;josepco01;Cory Joseph;6:05;.500;.500;1.000;.000;0.0;22.5;9.7;34.1;0.0;0.0;25.0;29.3;84;123;-7.9
04/11/2022;CLE;11;mcgruro01;Rodney McGruder;6:05;.000;.000;.333;.000;17.2;22.5;19.5;25.5;0.0;0.0;0.0;22.0;39;123;-16.0
04/11/2022;CLE;12;diallha01;Hamidou Diallo;3:42;.000;.000;.333;.000;0.0;0.0;0.0;0.0;0.0;23.6;0.0;36.2;0;111;-29.3
