dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
31/10/2022;ATL;0;youngtr01;Trae Young;32:27;3;13;.231;1;5;.200;7;8;.875;0;0;0;10;1;0;10;0;14;-29
31/10/2022;ATL;1;murrade01;Dejounte Murray;30:31;7;15;.467;2;4;.500;4;4;1.000;0;4;4;9;0;0;4;3;20;-12
31/10/2022;ATL;2;collijo01;John Collins;29:37;5;12;.417;1;6;.167;1;1;1.000;3;9;12;1;0;0;0;6;12;-24
31/10/2022;ATL;3;capelca01;Clint Capela;25:25;6;7;.857;0;0;;1;4;.250;2;3;5;0;0;1;1;2;13;-24
31/10/2022;ATL;4;huntede01;De'Andre Hunter;22:20;4;10;.400;3;4;.750;0;0;;0;1;1;1;0;0;1;5;11;-21
31/10/2022;ATL;5;Reserves;Reserves
31/10/2022;ATL;6;holidju01;Justin Holiday;23:44;5;8;.625;2;4;.500;0;0;;0;0;0;1;0;1;0;2;12;-13
31/10/2022;ATL;7;okongon01;Onyeka Okongwu;16:15;3;4;.750;0;0;;2;2;1.000;1;4;5;1;0;2;1;3;8;0
31/10/2022;ATL;8;griffaj01;AJ Griffin;14:28;1;3;.333;0;2;.000;0;0;;0;2;2;1;0;0;0;1;2;-11
31/10/2022;ATL;9;johnsja05;Jalen Johnson;10:40;2;3;.667;0;0;;1;2;.500;1;3;4;1;0;0;0;3;5;+3
31/10/2022;ATL;10;holidaa01;Aaron Holiday;9:13;0;1;.000;0;0;;0;0;;0;0;0;1;0;0;0;0;0;+5
31/10/2022;ATL;11;krejcvi01;Vit Krejci;6:20;2;3;.667;1;2;.500;0;0;;0;1;1;0;0;0;0;1;5;-6
31/10/2022;ATL;12;kaminfr01;Frank Kaminsky;6:20;0;1;.000;0;1;.000;4;4;1.000;0;1;1;1;0;0;1;1;4;-6
31/10/2022;ATL;13;martity01;Tyrese Martin;6:20;1;2;.500;1;1;1.000;0;0;;0;0;0;0;0;0;0;0;3;-6
31/10/2022;ATL;14;forretr01;Trent Forrest;6:20;0;2;.000;0;0;;0;0;;0;2;2;1;0;0;0;0;0;-6
31/10/2022;ATL;0;trentga02;Gary Trent Jr.;36:49;7;16;.438;2;6;.333;5;6;.833;1;1;2;2;1;0;0;0;21;+28
31/10/2022;ATL;1;siakapa01;Pascal Siakam;35:09;8;21;.381;2;3;.667;13;16;.813;3;9;12;6;0;2;0;3;31;+30
31/10/2022;ATL;2;barnesc01;Scottie Barnes;33:23;7;14;.500;5;9;.556;2;3;.667;0;7;7;8;1;0;2;3;21;+31
31/10/2022;ATL;3;anunoog01;OG Anunoby;31:36;5;10;.500;2;7;.286;2;2;1.000;1;5;6;3;6;2;1;5;14;+12
31/10/2022;ATL;4;kolokch01;Christian Koloko;21:27;4;7;.571;0;0;;1;3;.333;2;3;5;0;0;3;2;4;9;+23
31/10/2022;ATL;5;Reserves;Reserves
31/10/2022;ATL;6;bouchch01;Chris Boucher;20:54;4;6;.667;1;3;.333;2;2;1.000;2;1;3;1;2;1;0;1;11;+9
31/10/2022;ATL;7;achiupr01;Precious Achiuwa;17:45;2;3;.667;0;1;.000;6;6;1.000;0;3;3;1;0;0;1;1;10;+11
31/10/2022;ATL;8;flynnma01;Malachi Flynn;9:23;2;6;.333;0;2;.000;0;0;;1;0;1;1;1;0;0;2;4;-6
31/10/2022;ATL;9;birchkh01;Khem Birch;9:07;1;1;1.000;1;1;1.000;2;2;1.000;2;0;2;0;2;0;0;1;5;+7
31/10/2022;ATL;10;bantoda01;Dalano Banton;5:22;2;3;.667;1;1;1.000;0;0;;0;0;0;1;0;0;0;0;5;+1
31/10/2022;ATL;11;champju01;Justin Champagnie;5:22;2;2;1.000;0;0;;0;0;;0;2;2;0;0;0;0;1;4;+1
31/10/2022;ATL;12;dowtije01;Jeff Dowtin;5:22;2;2;1.000;0;0;;0;0;;0;1;1;1;0;0;0;0;4;+1
31/10/2022;ATL;13;hernaju01;Juancho Hernangómez;5:12;0;0;;0;0;;0;0;;0;0;0;1;0;1;0;1;0;+3
31/10/2022;ATL;14;harpero02;Ron Harper Jr.;3:09;0;1;.000;0;1;.000;0;0;;0;0;0;0;0;0;0;0;0;-1
31/10/2022;ATL;15;youngth01;Thaddeus Young;Did Not Play
