dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
02/11/2022;DET;0;beysa01;Saddiq Bey;35:07;5;12;.417;3;7;.429;9;10;.900;0;3;3;1;1;1;3;2;22;-22
02/11/2022;DET;1;stewais01;Isaiah Stewart;32:30;6;9;.667;2;3;.667;2;2;1.000;1;9;10;1;0;1;2;1;16;-21
02/11/2022;DET;2;cunnica01;Cade Cunningham;31:14;5;13;.385;0;2;.000;0;0;;0;6;6;4;1;0;2;3;10;-24
02/11/2022;DET;3;iveyja01;Jaden Ivey;30:15;3;11;.273;1;4;.250;0;0;;0;2;2;1;4;0;2;0;7;-13
02/11/2022;DET;4;bogdabo02;Bojan Bogdanović;27:48;5;12;.417;3;7;.429;1;1;1.000;0;3;3;2;0;0;7;3;14;-24
02/11/2022;DET;5;Reserves;Reserves
02/11/2022;DET;6;hayeski01;Killian Hayes;22:29;1;5;.200;1;2;.500;2;2;1.000;0;0;0;1;1;1;3;2;5;-3
02/11/2022;DET;7;liveris01;Isaiah Livers;16:42;1;4;.250;1;4;.250;0;0;;0;3;3;1;0;0;1;1;3;-8
02/11/2022;DET;8;noelne01;Nerlens Noel;13:15;2;4;.500;0;0;;0;0;;0;3;3;1;0;0;0;2;4;-7
02/11/2022;DET;9;diallha01;Hamidou Diallo;11:23;2;4;.500;0;0;;0;0;;0;2;2;0;0;0;1;5;4;-8
02/11/2022;DET;10;josepco01;Cory Joseph;10:27;1;2;.500;0;1;.000;0;0;;1;1;2;6;0;0;0;2;2;-6
02/11/2022;DET;11;knoxke01;Kevin Knox;5:04;2;3;.667;0;1;.000;0;0;;0;0;0;0;0;0;0;0;4;+3
02/11/2022;DET;12;keybr01;Braxton Key;2:15;0;0;;0;0;;0;0;;0;1;1;0;0;0;0;0;0;+3
02/11/2022;DET;13;mcgruro01;Rodney McGruder;1:30;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;1;0;+5
02/11/2022;DET;0;holidjr01;Jrue Holiday;29:58;11;16;.688;4;7;.571;0;0;;2;5;7;3;0;0;2;1;26;+25
02/11/2022;DET;1;antetgi01;Giannis Antetokounmpo;29:31;11;24;.458;0;4;.000;10;12;.833;5;7;12;4;5;2;1;1;32;+12
02/11/2022;DET;2;lopezbr01;Brook Lopez;27:02;5;8;.625;0;2;.000;1;1;1.000;2;5;7;2;1;1;3;1;11;+29
02/11/2022;DET;3;allengr01;Grayson Allen;24:59;2;6;.333;1;4;.250;0;0;;0;1;1;4;1;0;0;3;5;+18
02/11/2022;DET;4;carteje01;Jevon Carter;18:27;1;5;.200;0;2;.000;2;2;1.000;0;1;1;3;4;1;0;2;4;+5
02/11/2022;DET;5;Reserves;Reserves
02/11/2022;DET;6;nworajo01;Jordan Nwora;25:31;4;9;.444;2;5;.400;2;2;1.000;2;2;4;1;2;0;4;1;12;+8
02/11/2022;DET;7;portibo01;Bobby Portis;24:02;5;9;.556;0;3;.000;0;0;;3;6;9;3;0;0;2;2;10;+6
02/11/2022;DET;8;hillge01;George Hill;18:21;2;6;.333;1;3;.333;2;3;.667;0;4;4;3;0;0;0;1;7;+6
02/11/2022;DET;9;beaucma01;MarJon Beauchamp;16:06;0;3;.000;0;3;.000;3;4;.750;1;3;4;1;2;0;2;2;3;+12
02/11/2022;DET;10;matthwe02;Wesley Matthews;14:48;1;4;.250;1;4;.250;0;0;;0;0;0;0;2;0;2;1;3;+6
02/11/2022;DET;11;ibakase01;Serge Ibaka;5:37;1;2;.500;1;1;1.000;0;0;;0;2;2;0;0;1;0;1;3;-1
02/11/2022;DET;12;antetth01;Thanasis Antetokounmpo;5:37;0;0;;0;0;;0;0;;0;1;1;0;0;0;0;0;0;-1
