dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
04/11/2022;BRK;0;duranke01;Kevin Durant;33:11;10;21;.476;2;6;.333;6;6;1.000;0;9;9;11;0;1;2;1;28;+35
04/11/2022;BRK;1;onealro01;Royce O'Neale;28:47;5;9;.556;3;5;.600;0;0;;1;2;3;8;1;0;0;3;13;+22
04/11/2022;BRK;2;claxtni01;Nic Claxton;28:15;9;10;.900;0;0;;0;0;;2;7;9;1;0;3;0;2;18;+32
04/11/2022;BRK;3;sumneed01;Edmond Sumner;25:08;3;7;.429;1;2;.500;4;4;1.000;1;3;4;0;2;0;2;1;11;+16
04/11/2022;BRK;4;harrijo01;Joe Harris;24:27;3;5;.600;2;4;.500;0;0;;0;4;4;3;1;0;0;4;8;+17
04/11/2022;BRK;5;Reserves;Reserves
04/11/2022;BRK;6;thomaca02;Cam Thomas;31:50;6;13;.462;2;4;.500;3;3;1.000;0;4;4;6;1;0;0;2;17;+36
04/11/2022;BRK;7;watanyu01;Yuta Watanabe;24:02;6;8;.750;2;3;.667;0;0;;3;5;8;0;1;2;1;0;14;+21
04/11/2022;BRK;8;millspa02;Patty Mills;16:19;2;4;.500;1;2;.500;0;0;;0;1;1;1;1;1;0;1;5;+16
04/11/2022;BRK;9;dukeda01;David Duke Jr.;12:45;5;8;.625;0;0;;1;1;1.000;0;3;3;0;0;0;1;2;11;+3
04/11/2022;BRK;10;sharpda01;Day'Ron Sharpe;7:43;0;1;.000;0;0;;0;0;;0;1;1;0;0;0;1;2;0;+5
04/11/2022;BRK;11;morrima02;Markieff Morris;7:33;1;4;.250;1;2;.500;0;0;;0;2;2;2;1;0;0;1;3;+7
04/11/2022;BRK;0;bealbr01;Bradley Beal;29:36;8;18;.444;2;6;.333;2;2;1.000;0;3;3;3;2;1;0;1;20;-19
04/11/2022;BRK;1;gillan01;Anthony Gill;28:25;4;6;.667;0;0;;0;0;;3;1;4;0;1;0;0;2;8;-16
04/11/2022;BRK;2;porzikr01;Kristaps Porziņģis;25:41;4;11;.364;2;4;.500;4;6;.667;3;7;10;1;0;0;1;2;14;-17
04/11/2022;BRK;3;kuzmaky01;Kyle Kuzma;23:43;5;12;.417;3;8;.375;6;8;.750;0;5;5;2;0;0;1;2;19;-22
04/11/2022;BRK;4;morrimo01;Monte Morris;22:43;2;6;.333;0;3;.000;0;0;;0;3;3;5;0;0;3;0;4;-23
04/11/2022;BRK;5;Reserves;Reserves
04/11/2022;BRK;6;avdijde01;Deni Avdija;21:32;2;5;.400;0;2;.000;0;0;;0;2;2;1;0;0;2;2;4;-21
04/11/2022;BRK;7;bartowi01;Will Barton;19:03;1;7;.143;1;4;.250;0;0;;0;3;3;3;1;0;1;0;3;-33
04/11/2022;BRK;8;kispeco01;Corey Kispert;18:07;0;6;.000;0;5;.000;2;2;1.000;0;1;1;2;0;0;2;0;2;-9
04/11/2022;BRK;9;hachiru01;Rui Hachimura;17:41;1;5;.200;0;1;.000;0;0;;0;2;2;0;0;1;1;1;2;-22
04/11/2022;BRK;10;gaffoda01;Daniel Gafford;10:20;2;2;1.000;0;0;;0;0;;0;1;1;0;0;1;1;1;4;-13
04/11/2022;BRK;11;gibsota01;Taj Gibson;7:43;1;3;.333;0;0;;2;2;1.000;0;3;3;0;0;0;0;1;4;-5
04/11/2022;BRK;12;davisjo06;Johnny Davis;7:43;0;0;;0;0;;2;2;1.000;1;1;2;0;0;0;1;2;2;-5
04/11/2022;BRK;13;goodwjo01;Jordan Goodwin;7:43;0;2;.000;0;1;.000;0;0;;0;0;0;1;0;0;0;1;0;-5
