dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
09/11/2022;NYK;0;randlju01;Julius Randle;31:16;7;15;.467;4;8;.500;6;9;.667;1;10;11;3;0;0;4;1;24;-29
09/11/2022;NYK;1;brunsja01;Jalen Brunson;30:58;4;14;.286;1;5;.200;5;5;1.000;1;3;4;2;0;0;3;0;14;-22
09/11/2022;NYK;2;barrerj01;RJ Barrett;30:14;5;14;.357;2;4;.500;4;8;.500;2;4;6;3;1;0;3;3;16;-22
09/11/2022;NYK;3;simsje01;Jericho Sims;26:37;3;3;1.000;0;0;;1;2;.500;3;3;6;0;1;3;0;3;7;-7
09/11/2022;NYK;4;reddica01;Cam Reddish;17:39;0;7;.000;0;4;.000;0;0;;0;0;0;1;0;0;0;2;0;-17
09/11/2022;NYK;5;Reserves;Reserves
09/11/2022;NYK;6;toppiob01;Obi Toppin;20:46;2;7;.286;0;2;.000;1;1;1.000;1;3;4;1;1;0;0;0;5;-19
09/11/2022;NYK;7;fournev01;Evan Fournier;20:00;2;7;.286;2;5;.400;0;0;;0;2;2;2;0;1;1;3;6;-6
09/11/2022;NYK;8;quickim01;Immanuel Quickley;19:44;1;8;.125;0;6;.000;0;0;;0;4;4;4;1;0;1;3;2;-17
09/11/2022;NYK;9;harteis01;Isaiah Hartenstein;14:42;1;2;.500;0;0;;0;0;;3;2;5;0;0;0;1;3;2;-6
09/11/2022;NYK;10;rosede01;Derrick Rose;10:56;0;4;.000;0;3;.000;0;0;;0;2;2;2;0;0;0;0;0;-8
09/11/2022;NYK;11;mcbrimi01;Miles McBride;6:06;0;2;.000;0;2;.000;0;0;;0;0;0;2;0;0;0;0;0;+3
09/11/2022;NYK;12;grimequ01;Quentin Grimes;4:36;1;1;1.000;1;1;1.000;0;0;;0;0;0;0;0;0;1;0;3;+5
09/11/2022;NYK;13;mykhasv01;Svi Mykhailiuk;3:13;2;2;1.000;2;2;1.000;0;1;.000;0;0;0;0;0;0;1;0;6;+5
09/11/2022;NYK;14;arcidry01;Ryan Arcidiacono;3:13;0;1;.000;0;1;.000;0;0;;0;2;2;1;1;0;0;0;0;+5
09/11/2022;NYK;0;duranke01;Kevin Durant;34:32;10;19;.526;1;5;.200;8;10;.800;1;11;12;12;1;2;1;1;29;+32
09/11/2022;NYK;1;onealro01;Royce O'Neale;33:53;2;7;.286;2;4;.500;0;0;;4;6;10;5;2;0;1;3;6;+44
09/11/2022;NYK;2;harrijo01;Joe Harris;31:56;4;11;.364;2;6;.333;0;0;;0;4;4;1;1;0;1;2;10;+27
09/11/2022;NYK;3;claxtni01;Nic Claxton;19:31;5;7;.714;0;0;;2;5;.400;1;5;6;2;0;1;2;4;12;+14
09/11/2022;NYK;4;sumneed01;Edmond Sumner;18:31;7;10;.700;3;4;.750;1;2;.500;1;4;5;1;2;0;0;2;18;+24
09/11/2022;NYK;5;Reserves;Reserves
09/11/2022;NYK;6;simmobe01;Ben Simmons;23:53;3;6;.500;0;0;;0;0;;2;7;9;4;2;1;2;4;6;+18
09/11/2022;NYK;7;curryse01;Seth Curry;23:24;7;13;.538;6;11;.545;3;3;1.000;1;2;3;2;1;0;0;1;23;+11
09/11/2022;NYK;8;thomaca02;Cam Thomas;22:05;3;8;.375;0;1;.000;0;0;;0;2;2;2;1;1;3;1;6;-8
09/11/2022;NYK;9;dukeda01;David Duke Jr.;8:59;1;2;.500;0;0;;0;0;;1;0;1;0;1;0;1;3;2;-14
09/11/2022;NYK;10;millspa02;Patty Mills;8:52;0;3;.000;0;2;.000;0;0;;0;1;1;1;0;0;0;0;0;0
09/11/2022;NYK;11;morrima02;Markieff Morris;5:12;0;0;;0;0;;0;0;;0;0;0;0;0;0;2;0;0;-3
09/11/2022;NYK;12;edwarke02;Kessler Edwards;4:36;0;1;.000;0;1;.000;0;0;;0;0;0;0;0;0;0;0;0;-5
09/11/2022;NYK;13;sharpda01;Day'Ron Sharpe;4:36;0;0;;0;0;;0;0;;0;2;2;0;0;0;1;1;0;-5
