dateId;teamId;order;playerId;Starters;MP;TS%;eFG%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;ORtg;DRtg;BPM
02/11/2022;TOR;0;barnesc01;Scottie Barnes;28:00;.577;.577;.308;.000;4.1;9.5;7.1;19.0;0.0;3.4;13.3;20.7;115;100;-1.0
02/11/2022;TOR;1;siakapa01;Pascal Siakam;27:34;.566;.553;.263;.053;4.1;29.0;18.1;48.4;1.6;0.0;13.4;31.5;120;91;6.1
02/11/2022;TOR;2;trentga02;Gary Trent Jr.;26:12;.640;.588;.353;.235;8.7;3.4;5.7;9.0;3.3;0.0;0.0;27.7;139;96;4.7
02/11/2022;TOR;3;anunoog01;OG Anunoby;24:21;.676;.625;.250;.250;4.7;14.6;10.3;13.7;9.0;3.9;13.1;24.3;126;76;11.3
02/11/2022;TOR;4;kolokch01;Christian Koloko;23:11;.250;.250;.000;.000;4.9;19.2;12.9;0.0;0.0;4.1;20.0;8.3;58;96;-11.2
02/11/2022;TOR;5;Reserves;Reserves
02/11/2022;TOR;6;bouchch01;Chris Boucher;25:22;.850;.850;.500;.000;9.0;21.0;15.8;8.6;3.4;3.7;9.1;16.8;156;87;9.0
02/11/2022;TOR;7;achiupr01;Precious Achiuwa;21:00;.558;.444;.333;.444;0.0;25.4;14.3;4.8;2.1;4.5;8.5;21.7;110;88;-2.9
02/11/2022;TOR;8;bantoda01;Dalano Banton;12:59;.929;.929;.429;.000;0.0;0.0;0.0;0.0;0.0;7.2;0.0;20.9;173;102;14.2
02/11/2022;TOR;9;birchkh01;Khem Birch;11:42;.500;.500;.000;.000;0.0;0.0;0.0;7.8;3.7;0.0;33.3;9.9;79;97;-7.6
02/11/2022;TOR;10;porteot01;Otto Porter Jr.;10:31;.868;.750;1.000;1.000;0.0;25.4;14.3;0.0;8.3;0.0;0.0;10.6;181;76;11.5
02/11/2022;TOR;11;flynnma01;Malachi Flynn;9:52;.800;.800;.400;.000;0.0;18.0;10.1;22.9;0.0;0.0;0.0;19.6;166;99;10.0
02/11/2022;TOR;12;hernaju01;Juancho Hernangómez;8:08;;;;;0.0;10.9;6.1;10.4;0.0;0.0;;0.0;225;101;-1.5
02/11/2022;TOR;13;youngth01;Thaddeus Young;8:08;.512;.500;.000;.500;14.1;10.9;12.3;26.1;10.7;0.0;0.0;23.2;131;76;14.2
02/11/2022;TOR;14;dowtije01;Jeff Dowtin;3:00;.000;.000;.000;.000;0.0;0.0;0.0;28.1;0.0;0.0;0.0;25.8;36;106;-26.9
02/11/2022;TOR;0;bateske01;Keita Bates-Diop;24:55;.618;.583;.333;.333;3.6;13.8;8.0;7.6;0.0;0.0;12.7;24.7;107;133;-1.9
02/11/2022;TOR;1;jonestr01;Tre Jones;21:40;.389;.389;.222;.000;0.0;42.2;18.5;51.1;2.0;0.0;18.2;19.8;91;124;-4.2
02/11/2022;TOR;2;poeltja01;Jakob Poeltl;20:40;.500;.500;.000;.000;21.5;5.5;14.5;15.5;0.0;3.2;45.5;20.7;73;131;-13.8
02/11/2022;TOR;3;langfro01;Romeo Langford;15:45;.417;.417;.500;.000;11.3;7.3;9.5;0.0;0.0;0.0;14.3;17.3;81;134;-14.0
02/11/2022;TOR;4;sochaje01;Jeremy Sochan;9:49;.250;.250;.500;.000;9.1;11.6;10.2;0.0;4.4;0.0;0.0;15.9;66;123;-8.9
02/11/2022;TOR;5;Reserves;Reserves
02/11/2022;TOR;6;colliza01;Zach Collins;24:19;.368;.300;.300;.200;7.3;28.2;16.4;19.1;1.8;2.7;8.4;19.0;90;124;-5.6
02/11/2022;TOR;7;branhma01;Malaki Branham;22:42;.509;.455;.545;.364;3.9;5.0;4.4;22.2;0.0;0.0;7.3;23.6;108;134;-3.0
02/11/2022;TOR;8;mcderdo01;Doug McDermott;22:21;.500;.500;.444;.000;0.0;20.5;8.9;22.7;0.0;0.0;25.0;20.9;80;132;-8.9
02/11/2022;TOR;9;halljo02;Jordan Hall;20:51;.375;.375;.750;.000;0.0;5.5;2.4;13.3;0.0;0.0;33.3;11.2;63;134;-11.4
02/11/2022;TOR;10;richajo01;Josh Richardson;18:30;.506;.444;.667;.222;0.0;6.2;2.7;26.6;0.0;0.0;16.8;25.0;95;134;-7.3
02/11/2022;TOR;11;dienggo01;Gorgui Dieng;16:36;.750;.750;1.000;.000;0.0;13.8;6.0;20.4;0.0;7.9;40.0;23.5;79;126;-2.1
02/11/2022;TOR;12;bassech01;Charles Bassey;12:00;.765;.700;.400;.400;7.4;28.6;16.7;0.0;0.0;11.0;0.0;19.1;156;120;9.4
02/11/2022;TOR;13;barlodo01;Dominick Barlow;9:52;.333;.333;.667;.000;0.0;11.6;5.1;45.4;0.0;0.0;0.0;11.9;110;133;-1.8
