dateId;teamId;order;playerId;Starters;MP;TS%;eFG%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;ORtg;DRtg;BPM
22/11/2022;BRK;0;onealro01;Royce O'Neale;39:07;1.375;1.375;.750;.000;0.0;16.8;10.2;18.8;0.0;3.7;55.6;11.0;108;124;1.1
22/11/2022;BRK;1;duranke01;Kevin Durant;36:46;.672;.643;.071;.143;0.0;12.8;7.8;20.2;0.0;3.9;16.8;23.2;115;127;-0.7
22/11/2022;BRK;2;simmobe01;Ben Simmons;32:23;.571;.571;.000;.857;9.0;14.5;12.4;42.8;4.8;6.6;23.7;18.6;121;113;9.9
22/11/2022;BRK;3;irvinky01;Kyrie Irving;30:32;.624;.611;.444;.056;0.0;6.2;3.7;11.1;1.7;4.7;9.8;31.9;106;126;1.6
22/11/2022;BRK;4;claxtni01;Nic Claxton;21:16;.857;.857;.000;.000;0.0;17.7;10.7;0.0;0.0;10.1;0.0;15.7;160;120;2.7
22/11/2022;BRK;5;Reserves;Reserves
22/11/2022;BRK;6;curryse01;Seth Curry;23:50;.543;.500;.500;.167;0.0;7.9;4.8;11.9;2.2;3.0;7.2;27.8;102;125;-2.8
22/11/2022;BRK;7;harrijo01;Joe Harris;23:02;.188;.188;.875;.000;0.0;8.2;5.0;0.0;0.0;0.0;11.1;18.6;34;131;-22.9
22/11/2022;BRK;8;millspa02;Patty Mills;13:15;.500;.500;1.000;.000;11.0;0.0;4.3;17.9;0.0;0.0;0.0;10.8;130;136;-6.0
22/11/2022;BRK;9;morrima02;Markieff Morris;4:07;;;;;0.0;22.9;13.9;0.0;0.0;0.0;;0.0;0;123;-8.5
22/11/2022;BRK;10;dukeda01;David Duke Jr.;3:08;.291;.333;.000;.333;0.0;60.1;36.5;100.0;0.0;0.0;0.0;52.3;87;100;-6.6
22/11/2022;BRK;11;edwarke02;Kessler Edwards;3:08;.000;.000;.000;.000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.2;0;136;-25.1
22/11/2022;BRK;12;sharpda01;Day'Ron Sharpe;3:08;;;;;46.4;0.0;18.2;0.0;0.0;0.0;;0.0;218;135;-19.8
22/11/2022;BRK;13;sumneed01;Edmond Sumner;3:08;1.017;1.000;.000;.333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.3;206;136;37.5
22/11/2022;BRK;14;thomaca02;Cam Thomas;3:08;;;;;0.0;30.0;18.2;34.8;0.0;0.0;;0.0;220;118;2.4
22/11/2022;BRK;0;tuckepj01;P.J. Tucker;37:04;.000;.000;.333;.000;7.6;7.8;7.7;9.0;4.2;0.0;0.0;6.8;69;111;-5.0
22/11/2022;BRK;1;miltosh01;Shake Milton;36:25;.571;.571;.214;.000;2.6;20.0;9.4;19.5;0.0;0.0;6.7;17.2;134;119;-0.1
22/11/2022;BRK;2;harrito02;Tobias Harris;33:45;.527;.500;.143;.190;2.8;21.5;10.2;14.8;0.0;0.0;11.6;31.8;110;118;-4.3
22/11/2022;BRK;3;meltode01;De'Anthony Melton;32:09;.652;.625;.688;.125;8.8;4.5;7.1;18.3;4.8;2.9;10.6;24.5;141;107;13.3
22/11/2022;BRK;4;harremo01;Montrezl Harrell;15:45;.338;.250;.000;.250;35.9;9.2;25.4;0.0;0.0;0.0;10.1;26.2;102;119;-14.5
22/11/2022;BRK;5;Reserves;Reserves
22/11/2022;BRK;6;reedpa01;Paul Reed;31:13;.816;.778;.000;.667;15.1;23.3;18.3;0.0;4.9;5.9;14.7;18.2;150;102;9.1
22/11/2022;BRK;7;korkmfu01;Furkan Korkmaz;20:40;.455;.444;.444;.222;4.6;21.1;11.1;6.4;0.0;0.0;0.0;19.9;119;119;-3.6
22/11/2022;BRK;8;niangge01;Georges Niang;17:43;.727;.727;.455;.000;0.0;41.1;16.1;20.3;0.0;5.2;0.0;25.9;166;112;16.7
22/11/2022;BRK;9;houseda01;Danuel House Jr.;9:29;.000;.000;1.000;.000;0.0;30.7;12.1;11.8;0.0;0.0;0.0;4.4;69;118;-7.4
22/11/2022;BRK;10;thybuma01;Matisse Thybulle;3:22;.500;.500;1.000;.000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.2;119;120;-1.3
22/11/2022;BRK;11;champju02;Julian Champagnie;1:23;.000;.000;.000;.000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.2;0;120;-39.1
22/11/2022;BRK;12;fostemi02;Michael Foster Jr.;1:02;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0;120;-9.2
