dateId;teamId;order;playerId;Starters;MP;TS%;eFG%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;ORtg;DRtg;BPM
25/11/2022;CLE;0;garlada01;Darius Garland;38:06;.495;.417;.278;.278;0.0;12.9;6.0;15.0;0.0;0.0;9.0;26.0;102;128;-6.4
25/11/2022;CLE;1;wadede01;Dean Wade;36:17;.444;.429;.857;.286;5.9;33.9;18.9;8.4;1.4;2.6;0.0;9.7;116;119;0.3
25/11/2022;CLE;2;mitchdo01;Donovan Mitchell;32:21;.583;.563;.458;.083;6.6;3.8;5.3;8.4;1.6;0.0;7.4;37.1;115;126;7.1
25/11/2022;CLE;3;mobleev01;Evan Mobley;29:05;.291;.167;.083;.333;3.7;29.6;15.7;0.0;5.2;0.0;12.7;24.2;61;113;-9.4
25/11/2022;CLE;4;allenja01;Jarrett Allen;12:04;.174;.000;.000;1.000;8.8;20.4;14.2;11.7;4.2;7.8;0.0;10.7;76;111;-3.2
25/11/2022;CLE;5;Reserves;Reserves
25/11/2022;CLE;6;osmande01;Cedi Osman;32:08;.500;.500;.625;.000;0.0;15.3;7.1;10.1;4.7;0.0;11.1;12.5;100;117;1.1
25/11/2022;CLE;7;okorois01;Isaac Okoro;31:42;.752;.583;.667;1.000;3.4;11.6;7.2;5.1;0.0;0.0;0.0;12.2;167;128;2.1
25/11/2022;CLE;8;lopezro01;Robin Lopez;19:08;.546;.500;.000;.500;16.7;0.0;9.0;9.5;0.0;0.0;21.5;21.8;105;129;-8.8
25/11/2022;CLE;9;diakima01;Mamadi Diakite;3:03;1.250;1.250;.500;.000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.3;250;130;44.4
25/11/2022;CLE;10;mobleis01;Isaiah Mobley;3:03;.500;.500;.000;.000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.3;101;130;-4.6
25/11/2022;CLE;11;netora01;Raul Neto;3:03;.568;;;;0.0;0.0;0.0;46.3;0.0;0.0;0.0;12.9;148;130;4.7
25/11/2022;CLE;0;antetgi01;Giannis Antetokounmpo;30:58;.726;.700;.150;.700;11.9;20.7;16.6;42.6;0.0;5.7;10.3;42.2;140;107;20.0
25/11/2022;CLE;1;allengr01;Grayson Allen;28:15;.429;.313;.750;.375;0.0;18.9;10.1;22.0;3.6;0.0;9.7;16.4;106;103;1.3
25/11/2022;CLE;2;lopezbr01;Brook Lopez;27:32;1.333;1.333;.667;.000;0.0;15.5;8.3;0.0;0.0;19.4;0.0;4.9;267;99;11.6
25/11/2022;CLE;3;carteje01;Jevon Carter;24:32;.953;.944;.667;.111;0.0;13.0;7.0;12.9;4.1;0.0;17.5;20.9;141;104;13.2
25/11/2022;CLE;4;holidjr01;Jrue Holiday;23:02;.346;.346;.231;.000;10.7;4.6;7.4;31.0;0.0;0.0;7.1;27.3;95;116;-10.4
25/11/2022;CLE;5;Reserves;Reserves
25/11/2022;CLE;6;portibo01;Bobby Portis;25:26;.700;.700;.300;.000;4.8;29.4;18.0;24.6;0.0;3.5;23.1;22.9;114;105;6.7
25/11/2022;CLE;7;nworajo01;Jordan Nwora;24:22;.376;.250;.250;.375;5.1;17.5;11.7;10.4;0.0;0.0;9.7;19.0;90;112;-10.1
25/11/2022;CLE;8;hillge01;George Hill;20:02;.425;.500;.600;.400;0.0;10.6;5.7;12.9;0.0;0.0;14.5;15.4;84;114;-9.1
25/11/2022;CLE;9;matthwe02;Wesley Matthews;17:16;.625;.625;.750;.000;7.1;0.0;3.3;7.6;0.0;0.0;0.0;10.4;141;118;-1.1
25/11/2022;CLE;10;mamuksa01;Sandro Mamukelashvili;9:26;.521;.500;.500;1.000;0.0;11.3;6.1;0.0;0.0;0.0;0.0;13.7;107;114;-7.0
25/11/2022;CLE;11;antetth01;Thanasis Antetokounmpo;3:03;;;;;0.0;35.0;18.7;0.0;0.0;0.0;;0.0;0;106;-2.3
25/11/2022;CLE;12;beaucma01;MarJon Beauchamp;3:03;1.000;1.000;.000;.000;0.0;0.0;0.0;0.0;0.0;0.0;50.0;29.4;65;117;-14.6
25/11/2022;CLE;13;greenaj01;A.J. Green;3:03;;;;;0.0;35.0;18.7;0.0;0.0;0.0;;0.0;0;105;-10.5
