dateId;teamId;order;playerId;Starters;MP;TS%;eFG%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;ORtg;DRtg;BPM
20/12/2022;UTA;0;markkla01;Lauri Markkanen;35:47;.873;.875;.650;.200;0.0;16.8;7.8;4.5;1.4;0.0;4.4;26.9;160;115;15.8
20/12/2022;UTA;1;vandeja01;Jarred Vanderbilt;32:23;.628;.615;.308;.231;12.9;33.4;22.4;24.3;3.0;0.0;12.3;21.3;136;108;7.9
20/12/2022;UTA;2;clarkjo01;Jordan Clarkson;29:59;.595;.567;.467;.400;7.0;8.0;7.4;26.8;1.6;0.0;10.2;27.7;128;116;3.9
20/12/2022;UTA;3;kesslwa01;Walker Kessler;27:11;.635;.714;.000;.286;15.4;17.7;16.4;4.6;0.0;6.3;11.3;13.8;131;113;-2.2
20/12/2022;UTA;4;conlemi01;Mike Conley;26:14;.470;.500;.714;.143;4.0;9.1;6.4;30.9;1.9;0.0;0.0;12.0;141;115;-0.3
20/12/2022;UTA;5;Reserves;Reserves
20/12/2022;UTA;6;beaslma01;Malik Beasley;24:56;.567;.567;.600;.000;0.0;14.4;6.7;0.0;0.0;0.0;0.0;25.5;114;119;-4.0
20/12/2022;UTA;7;gayru01;Rudy Gay;22:10;.481;.357;.286;.429;0.0;21.7;10.1;0.0;4.4;3.9;19.4;19.7;82;104;-4.9
20/12/2022;UTA;8;alexani01;Nickeil Alexander-Walker;19:07;.250;.250;.750;.000;0.0;0.0;0.0;16.9;0.0;9.0;20.0;11.1;79;114;-8.1
20/12/2022;UTA;9;azubuud01;Udoka Azubuike;6:33;1.000;1.000;.000;.000;15.9;36.6;25.6;18.5;0.0;0.0;0.0;6.5;219;114;10.0
20/12/2022;UTA;10;fontesi01;Simone Fontecchio;5:04;.000;.000;1.000;.000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.4;0;121;-19.7
20/12/2022;UTA;11;agbajoc01;Ochai Agbaji;2:39;.750;.750;1.000;.000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;137;122;12.8
20/12/2022;UTA;12;bolmale01;Leandro Bolmaro;2:39;.000;.000;.000;.000;0.0;0.0;0.0;0.0;0.0;0.0;75.0;63.9;0;118;-98.4
20/12/2022;UTA;13;hortota01;Talen Horton-Tucker;2:39;;;;;0.0;0.0;0.0;38.5;0.0;0.0;;0.0;243;122;3.6
20/12/2022;UTA;14;pottemi01;Micah Potter;2:39;;;;;0.0;0.0;0.0;38.5;0.0;0.0;;0.0;243;122;8.7
20/12/2022;UTA;0;iveyja01;Jaden Ivey;32:50;.796;.786;.143;.786;3.7;9.5;6.8;27.7;1.5;0.0;21.0;32.6;129;129;7.1
20/12/2022;UTA;1;bogdabo02;Bojan Bogdanović;30:57;.524;.462;.462;.231;0.0;10.1;5.4;14.0;1.6;0.0;12.3;23.7;102;128;-5.7
20/12/2022;UTA;2;durenja01;Jalen Duren;30:21;.794;.778;.000;.111;23.7;27.5;25.7;0.0;0.0;0.0;9.6;15.4;155;127;0.3
20/12/2022;UTA;3;stewais01;Isaiah Stewart;27:28;.371;.333;.556;.111;0.0;11.4;6.1;4.9;0.0;3.7;0.0;15.4;86;130;-7.8
20/12/2022;UTA;4;hayeski01;Killian Hayes;26:22;.250;.250;.250;.000;4.6;11.9;8.5;24.4;1.9;0.0;20.0;17.0;74;127;-11.9
20/12/2022;UTA;5;Reserves;Reserves
20/12/2022;UTA;6;beysa01;Saddiq Bey;20:22;.394;.375;.500;.250;0.0;25.6;13.7;6.5;0.0;0.0;0.0;19.6;90;128;-7.5
20/12/2022;UTA;7;knoxke01;Kevin Knox;18:33;1.308;1.333;.667;.333;0.0;16.9;9.0;7.8;0.0;0.0;22.5;10.7;181;131;7.0
20/12/2022;UTA;8;baglema01;Marvin Bagley III;17:39;.727;.667;.000;.333;6.8;17.7;12.6;0.0;0.0;0.0;0.0;17.5;153;130;-0.9
20/12/2022;UTA;9;burksal01;Alec Burks;17:25;.740;.700;.600;.800;0.0;6.0;3.2;16.8;0.0;0.0;12.9;20.0;136;133;-0.3
20/12/2022;UTA;10;josepco01;Cory Joseph;12:45;.000;.000;.333;.000;0.0;8.2;4.4;18.4;0.0;0.0;25.0;14.1;32;133;-19.5
20/12/2022;UTA;11;diallha01;Hamidou Diallo;2:39;.515;.667;.000;.667;0.0;0.0;0.0;0.0;18.5;0.0;0.0;65.8;89;93;16.0
20/12/2022;UTA;12;mcgruro01;Rodney McGruder;2:39;;;;;0.0;39.4;21.1;88.4;37.0;0.0;100.0;16.9;76;39;50.6
20/12/2022;UTA;13;noelne01;Nerlens Noel;Did Not Play
