dateId;teamId;order;playerId;Starters;MP;TS%;eFG%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;ORtg;DRtg;BPM
22/04/2023;MIL;0;holidjr01;Jrue Holiday;35:54;.492;.500;.333;.167;3.0;14.5;8.3;14.7;0.0;2.6;20.6;30.0;83;128;-8.0
22/04/2023;MIL;1;middlkh01;Khris Middleton;33:59;.710;.679;.357;.357;3.2;15.3;8.7;31.7;2.9;0.0;23.6;27.7;116;123;5.2
22/04/2023;MIL;2;lopezbr01;Brook Lopez;29:55;.333;.333;.111;.000;0.0;13.0;5.9;9.7;1.7;3.1;18.2;16.3;64;124;-8.9
22/04/2023;MIL;3;allengr01;Grayson Allen;27:06;.700;.700;.700;.000;4.0;14.4;8.7;12.2;0.0;0.0;9.1;18.0;128;130;3.0
22/04/2023;MIL;4;portibo01;Bobby Portis;23:10;.500;.500;.444;.000;18.8;33.6;25.6;7.0;4.3;0.0;10.0;19.1;109;117;-2.8
22/04/2023;MIL;5;Reserves;Reserves
22/04/2023;MIL;6;connapa01;Pat Connaughton;25:58;.786;.786;.857;.000;4.2;30.0;16.0;18.1;1.9;0.0;12.5;13.7;142;123;7.6
22/04/2023;MIL;7;inglejo01;Joe Ingles;22:23;.357;.357;.857;.000;0.0;0.0;0.0;6.4;0.0;4.2;30.0;19.8;54;130;-14.6
22/04/2023;MIL;8;crowdja01;Jae Crowder;13:27;.512;.500;.000;.500;0.0;9.6;4.4;11.6;3.7;0.0;0.0;16.1;113;122;0.7
22/04/2023;MIL;9;carteje01;Jevon Carter;12:24;.000;.000;1.000;.000;0.0;0.0;0.0;20.4;0.0;0.0;0.0;7.1;58;133;-10.2
22/04/2023;MIL;10;antetth01;Thanasis Antetokounmpo;3:56;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0;133;-7.5
22/04/2023;MIL;11;beaucma01;MarJon Beauchamp;3:56;.833;.833;.333;.000;0.0;33.0;15.1;0.0;0.0;0.0;0.0;33.8;146;127;21.8
22/04/2023;MIL;12;dragigo01;Goran Dragić;3:56;.347;.000;.500;1.000;0.0;0.0;0.0;32.1;0.0;0.0;0.0;32.5;96;133;-8.1
22/04/2023;MIL;13;leoname01;Meyers Leonard;3:56;;;;;0.0;33.0;15.1;0.0;0.0;0.0;;0.0;0;127;-6.0
22/04/2023;MIL;0;adebaba01;Bam Adebayo;30:08;.510;.400;.000;.400;8.6;32.6;21.6;20.6;3.3;3.5;20.3;22.5;109;96;-0.4
22/04/2023;MIL;1;butleji01;Jimmy Butler;28:11;.738;.737;.211;.158;13.8;7.7;10.5;27.7;3.5;0.0;9.0;36.4;143;103;15.1
22/04/2023;MIL;2;strusma01;Max Strus;23:17;.750;.750;.500;.000;0.0;0.0;0.0;0.0;2.1;0.0;0.0;15.8;147;109;2.4
22/04/2023;MIL;3;loveke01;Kevin Love;20:34;.500;.500;1.000;.000;0.0;37.1;20.2;11.6;2.4;5.1;0.0;13.4;120;96;5.2
22/04/2023;MIL;4;vincega01;Gabe Vincent;17:47;.200;.200;.200;.000;7.3;0.0;3.3;12.8;2.8;0.0;37.5;20.7;52;107;-17.6
22/04/2023;MIL;5;Reserves;Reserves
22/04/2023;MIL;6;martica02;Caleb Martin;32:36;.615;.563;.625;.500;8.0;30.1;20.0;7.5;3.0;0.0;17.0;16.6;119;99;-0.9
22/04/2023;MIL;7;lowryky01;Kyle Lowry;27:34;.663;.600;.500;.300;0.0;4.0;2.1;14.4;1.8;3.8;8.1;20.5;134;106;2.4
22/04/2023;MIL;8;robindu01;Duncan Robinson;23:33;1.059;1.056;.667;.111;0.0;13.9;7.5;13.3;0.0;0.0;17.5;22.3;163;110;13.8
22/04/2023;MIL;9;oladivi01;Victor Oladipo;19:06;.667;.667;.167;.000;0.0;11.4;6.2;7.2;5.2;5.5;0.0;14.4;140;95;4.3
22/04/2023;MIL;10;zelleco01;Cody Zeller;7:25;;;;;0.0;14.7;8.0;0.0;6.7;0.0;;0.0;0;95;0.5
22/04/2023;MIL;11;highsha01;Haywood Highsmith;3:56;1.064;1.000;.000;2.000;0.0;27.7;15.1;0.0;0.0;0.0;0.0;22.0;227;106;10.7
22/04/2023;MIL;12;yurtsom01;Omer Yurtseven;3:25;;;;;0.0;0.0;0.0;31.2;0.0;0.0;;0.0;236;113;7.9
22/04/2023;MIL;13;hasleud01;Udonis Haslem;2:28;.000;.000;.500;.000;0.0;44.2;24.0;0.0;0.0;0.0;0.0;37.3;0;103;-44.0
