dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
28/10/2022;CHO;0;smithde03;Dennis Smith Jr.;27:25;2;7;.286;0;1;.000;0;0;;1;3;4;4;1;0;2;2;4;-14
28/10/2022;CHO;1;haywago01;Gordon Hayward;26:27;6;11;.545;3;6;.500;3;4;.750;0;6;6;3;0;0;2;0;18;-18
28/10/2022;CHO;2;washipj01;P.J. Washington;22:29;2;9;.222;1;6;.167;0;0;;0;1;1;0;0;3;1;3;5;-19
28/10/2022;CHO;3;oubreke01;Kelly Oubre Jr.;21:51;4;16;.250;2;10;.200;2;4;.500;2;2;4;1;0;0;1;1;12;-13
28/10/2022;CHO;4;plumlma01;Mason Plumlee;20:32;1;2;.500;0;0;;0;0;;1;3;4;4;0;0;2;3;2;-19
28/10/2022;CHO;5;Reserves;Reserves
28/10/2022;CHO;6;bouknja01;James Bouknight;26:09;4;11;.364;3;7;.429;0;2;.000;0;3;3;0;0;0;3;2;11;-7
28/10/2022;CHO;7;mcdanja01;Jalen McDaniels;22:05;1;7;.143;0;2;.000;4;4;1.000;1;6;7;2;1;0;1;3;6;-8
28/10/2022;CHO;8;maledth01;Théo Maledon;20:35;3;5;.600;2;3;.667;0;0;;1;4;5;3;0;0;1;0;8;-6
28/10/2022;CHO;9;richani01;Nick Richards;20:22;5;7;.714;0;0;;4;5;.800;2;4;6;0;0;0;0;3;14;-13
28/10/2022;CHO;10;thorjt01;JT Thor;14:09;0;3;.000;0;3;.000;0;0;;0;2;2;1;0;0;1;1;0;-13
28/10/2022;CHO;11;willima07;Mark Williams;7:06;3;5;.600;0;0;;1;1;1.000;2;2;4;0;0;0;0;0;7;+12
28/10/2022;CHO;12;joneska01;Kai Jones;5:31;1;1;1.000;0;0;;2;4;.500;0;0;0;2;0;1;0;0;4;+9
28/10/2022;CHO;13;mcgowbr01;Bryce McGowens;5:19;1;2;.500;0;0;;0;0;;0;1;1;1;1;0;0;0;2;+9
28/10/2022;CHO;0;banchpa01;Paolo Banchero;27:11;8;14;.571;2;4;.500;3;7;.429;2;10;12;7;0;0;2;0;21;+27
28/10/2022;CHO;1;bolbo01;Bol Bol;26:33;4;6;.667;0;2;.000;3;4;.750;0;7;7;1;1;1;2;1;11;+18
28/10/2022;CHO;2;cartewe01;Wendell Carter Jr.;25:36;6;13;.462;0;3;.000;3;4;.750;0;5;5;4;2;0;1;1;15;+20
28/10/2022;CHO;3;rosste01;Terrence Ross;23:58;2;7;.286;1;5;.200;0;1;.000;0;2;2;1;1;1;0;3;5;+18
28/10/2022;CHO;4;wagnefr01;Franz Wagner;23:23;5;8;.625;1;3;.333;2;2;1.000;0;1;1;4;1;0;2;0;13;+23
28/10/2022;CHO;5;Reserves;Reserves
28/10/2022;CHO;6;okekech01;Chuma Okeke;28:57;3;7;.429;2;5;.400;2;2;1.000;1;5;6;2;1;0;0;4;10;0
28/10/2022;CHO;7;hamptrj01;R.J. Hampton;24:37;2;7;.286;0;1;.000;5;5;1.000;1;3;4;4;2;0;1;1;9;-3
28/10/2022;CHO;8;houstca01;Caleb Houstan;24:02;1;6;.167;1;6;.167;0;0;;0;3;3;2;0;0;2;4;3;+2
28/10/2022;CHO;9;bambamo01;Mo Bamba;16:53;8;12;.667;2;5;.400;1;1;1.000;1;5;6;1;0;3;1;5;19;+9
28/10/2022;CHO;10;schofad01;Admiral Schofield;13:19;2;3;.667;1;2;.500;0;0;;0;2;2;0;0;0;0;3;5;-5
28/10/2022;CHO;11;harrike01;Kevon Harris;5:31;1;2;.500;0;1;.000;0;0;;0;0;0;2;0;0;1;0;2;-9
