dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
15/11/2022;BRK;0;duranke01;Kevin Durant;30:39;8;15;.533;0;1;.000;11;11;1.000;0;4;4;6;0;1;2;2;27;-31
15/11/2022;BRK;1;onealro01;Royce O'Neale;24:08;1;4;.250;1;4;.250;0;0;;0;2;2;1;0;0;3;1;3;-40
15/11/2022;BRK;2;sumneed01;Edmond Sumner;21:35;4;9;.444;1;4;.250;9;9;1.000;0;1;1;1;2;0;1;3;18;-20
15/11/2022;BRK;3;harrijo01;Joe Harris;20:12;1;7;.143;1;5;.200;1;1;1.000;0;1;1;1;0;0;1;0;4;-37
15/11/2022;BRK;4;claxtni01;Nic Claxton;17:54;3;5;.600;0;0;;0;0;;0;1;1;1;0;0;1;3;6;-30
15/11/2022;BRK;5;Reserves;Reserves
15/11/2022;BRK;6;curryse01;Seth Curry;23:39;3;6;.500;1;2;.500;2;2;1.000;0;3;3;3;0;0;1;3;9;-6
15/11/2022;BRK;7;thomaca02;Cam Thomas;20:41;4;8;.500;1;2;.500;3;4;.750;0;2;2;3;1;0;2;0;12;+14
15/11/2022;BRK;8;simmobe01;Ben Simmons;20:22;5;7;.714;0;0;;1;2;.500;0;5;5;3;1;0;2;0;11;-3
15/11/2022;BRK;9;watanyu01;Yuta Watanabe;19:17;4;8;.500;3;5;.600;0;0;;1;1;2;1;0;0;1;2;11;-10
15/11/2022;BRK;10;dukeda01;David Duke Jr.;13:26;2;3;.667;0;0;;0;0;;0;0;0;1;0;0;3;2;4;+1
15/11/2022;BRK;11;sharpda01;Day'Ron Sharpe;12:00;2;4;.500;1;1;1.000;2;2;1.000;0;3;3;3;0;1;0;1;7;+1
15/11/2022;BRK;12;edwarke02;Kessler Edwards;12:00;2;4;.500;1;3;.333;1;2;.500;2;1;3;0;1;1;0;1;6;+1
15/11/2022;BRK;13;millspa02;Patty Mills;4:07;1;1;1.000;1;1;1.000;0;0;;0;2;2;1;0;0;0;0;3;0
15/11/2022;BRK;14;morrima02;Markieff Morris;Did Not Play
15/11/2022;BRK;0;huertke01;Kevin Huerter;29:40;7;10;.700;5;7;.714;0;0;;1;1;2;3;1;0;2;2;19;+40
15/11/2022;BRK;1;sabondo01;Domantas Sabonis;27:36;6;6;1.000;0;0;;5;5;1.000;1;6;7;7;1;1;3;4;17;+44
15/11/2022;BRK;2;foxde01;De'Aaron Fox;23:45;5;12;.417;1;5;.200;3;5;.600;0;4;4;9;1;1;1;1;14;+11
15/11/2022;BRK;3;barneha02;Harrison Barnes;21:26;5;8;.625;2;4;.500;4;4;1.000;1;3;4;3;1;0;0;4;16;+33
15/11/2022;BRK;4;murrake02;Keegan Murray;12:18;2;6;.333;0;2;.000;0;0;;0;3;3;0;0;0;0;0;4;+3
15/11/2022;BRK;5;Reserves;Reserves
15/11/2022;BRK;6;daviste02;Terence Davis;26:18;12;16;.750;7;10;.700;0;0;;0;9;9;4;3;1;0;3;31;+35
15/11/2022;BRK;7;lylestr01;Trey Lyles;17:55;4;13;.308;3;8;.375;1;2;.500;4;1;5;0;0;0;2;1;12;-3
15/11/2022;BRK;8;monkma01;Malik Monk;17:21;6;9;.667;1;2;.500;2;2;1.000;1;2;3;6;0;0;2;2;15;-5
15/11/2022;BRK;9;mitchda01;Davion Mitchell;16:46;3;4;.750;0;1;.000;2;3;.667;0;0;0;3;0;1;1;2;8;+26
15/11/2022;BRK;10;metuch01;Chimezie Metu;15:13;1;3;.333;0;1;.000;0;0;;1;3;4;0;1;0;4;1;2;-13
15/11/2022;BRK;11;okpalkz01;KZ Okpala;12:26;1;1;1.000;0;0;;4;4;1.000;0;0;0;0;0;0;0;2;6;-3
15/11/2022;BRK;12;dellama01;Matthew Dellavedova;7:43;0;2;.000;0;0;;0;0;;0;0;0;4;1;0;1;0;0;-5
15/11/2022;BRK;13;holmeri01;Richaun Holmes;6:29;2;2;1.000;1;1;1.000;0;0;;0;1;1;0;0;0;0;2;5;-3
15/11/2022;BRK;14;lenal01;Alex Len;5:04;2;2;1.000;0;0;;0;0;;0;1;1;0;0;0;0;0;4;0
