dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
18/11/2022;DEN;0;caldwke01;Kentavious Caldwell-Pope;33:33;7;13;.538;3;5;.600;1;1;1.000;2;2;4;1;0;0;1;1;18;-17
18/11/2022;DEN;1;brownbr01;Bruce Brown;29:44;7;12;.583;2;3;.667;2;2;1.000;0;4;4;7;1;0;1;3;18;-13
18/11/2022;DEN;2;greenje02;Jeff Green;27:27;6;10;.600;0;1;.000;0;1;.000;0;2;2;3;0;0;2;1;12;-14
18/11/2022;DEN;3;portemi01;Michael Porter Jr.;24:17;4;15;.267;1;5;.200;1;1;1.000;0;3;3;2;0;0;1;2;10;-21
18/11/2022;DEN;4;jordade01;DeAndre Jordan;20:21;3;3;1.000;0;0;;0;1;.000;4;3;7;2;1;1;3;2;6;-6
18/11/2022;DEN;5;Reserves;Reserves
18/11/2022;DEN;6;hylanbo01;Bones Hyland;26:48;5;16;.313;3;11;.273;4;4;1.000;1;1;2;6;1;0;3;2;17;-24
18/11/2022;DEN;7;cancavl01;Vlatko Čančar;23:03;3;7;.429;1;3;.333;1;1;1.000;0;1;1;2;1;0;0;3;8;-19
18/11/2022;DEN;8;nnajize01;Zeke Nnaji;21:17;2;2;1.000;0;0;;0;0;;1;0;1;1;0;0;0;1;4;-18
18/11/2022;DEN;9;braunch01;Christian Braun;13:25;1;5;.200;0;1;.000;1;3;.333;2;2;4;0;0;0;0;3;3;-6
18/11/2022;DEN;10;reedda01;Davon Reed;11:51;0;3;.000;0;0;;3;4;.750;1;5;6;0;0;0;0;2;3;-4
18/11/2022;DEN;11;watsope01;Peyton Watson;4:22;0;2;.000;0;1;.000;0;0;;0;0;0;0;0;0;0;0;0;+1
18/11/2022;DEN;12;whiteja03;Jack White;3:52;0;2;.000;0;0;;0;0;;2;0;2;0;0;0;0;0;0;+1
18/11/2022;DEN;0;doncilu01;Luka Dončić;34:52;11;22;.500;2;7;.286;9;11;.818;1;11;12;11;1;0;2;1;33;+25
18/11/2022;DEN;1;bullore01;Reggie Bullock;30:32;4;7;.571;2;5;.400;0;0;;0;6;6;3;1;0;0;2;10;+20
18/11/2022;DEN;2;finnedo01;Dorian Finney-Smith;30:29;2;6;.333;1;4;.250;1;2;.500;2;2;4;2;1;0;0;0;6;+16
18/11/2022;DEN;3;dinwisp01;Spencer Dinwiddie;26:10;5;6;.833;3;3;1.000;2;2;1.000;0;2;2;1;1;0;0;1;15;+13
18/11/2022;DEN;4;poweldw01;Dwight Powell;12:59;2;2;1.000;0;0;;1;1;1.000;0;1;1;1;0;0;1;1;5;-1
18/11/2022;DEN;5;Reserves;Reserves
18/11/2022;DEN;6;woodch01;Christian Wood;26:09;11;16;.688;2;4;.500;4;5;.800;2;6;8;1;0;0;3;2;28;+21
18/11/2022;DEN;7;hardati02;Tim Hardaway Jr.;24:17;3;6;.500;3;6;.500;4;4;1.000;0;4;4;4;1;1;1;2;13;+18
18/11/2022;DEN;8;greenjo02;Josh Green;17:42;2;3;.667;0;1;.000;1;1;1.000;1;0;1;3;0;0;0;4;5;+21
18/11/2022;DEN;9;mcgeeja01;JaVale McGee;16:32;5;6;.833;0;0;;0;2;.000;0;4;4;1;0;2;2;4;10;+11
18/11/2022;DEN;10;ntilila01;Frank Ntilikina;7:30;1;1;1.000;0;0;;0;0;;0;0;0;2;0;0;1;1;2;-1
18/11/2022;DEN;11;bertada01;Dāvis Bertāns;4:22;0;2;.000;0;2;.000;0;0;;0;1;1;0;0;0;0;1;0;-1
18/11/2022;DEN;12;campafa01;Facundo Campazzo;4:22;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;-1
18/11/2022;DEN;13;pinsoth01;Theo Pinson;4:04;0;0;;0;0;;0;0;;0;1;1;0;0;0;0;0;0;-1
