dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
25/11/2022;NOP;0;willizi01;Zion Williamson;30:00;6;12;.500;0;0;;2;2;1.000;1;4;5;4;1;0;1;3;14;-32
25/11/2022;NOP;1;joneshe01;Herbert Jones;22:37;4;11;.364;2;4;.500;3;4;.750;2;3;5;3;1;1;1;2;13;-21
25/11/2022;NOP;2;alvarjo01;Jose Alvarado;22:15;2;7;.286;1;4;.250;2;2;1.000;0;4;4;2;1;0;1;0;7;-24
25/11/2022;NOP;3;ingrabr01;Brandon Ingram;17:50;2;6;.333;0;1;.000;4;4;1.000;0;3;3;3;0;0;2;0;8;-11
25/11/2022;NOP;4;valanjo01;Jonas Valančiūnas;17:24;2;5;.400;0;1;.000;0;0;;0;3;3;1;0;0;4;5;4;-21
25/11/2022;NOP;5;Reserves;Reserves
25/11/2022;NOP;6;murphtr02;Trey Murphy III;26:06;7;14;.500;1;6;.167;6;7;.857;2;1;3;1;1;0;0;4;21;-17
25/11/2022;NOP;7;daniedy01;Dyson Daniels;24:58;3;5;.600;1;1;1.000;2;2;1.000;0;5;5;6;0;0;3;2;9;+18
25/11/2022;NOP;8;nancela02;Larry Nance Jr.;14:38;2;4;.500;0;1;.000;0;0;;1;0;1;0;0;1;0;2;4;-6
25/11/2022;NOP;9;grahade01;Devonte' Graham;14:17;1;3;.333;1;3;.333;2;3;.667;0;2;2;3;1;1;1;0;5;-6
25/11/2022;NOP;10;marshna01;Naji Marshall;13:55;3;6;.500;3;5;.600;0;0;;2;0;2;1;0;0;0;1;9;-9
25/11/2022;NOP;11;hernawi01;Willy Hernangómez;12:00;2;4;.500;0;0;;2;2;1.000;3;2;5;0;1;0;0;1;6;+8
25/11/2022;NOP;12;templga01;Garrett Temple;12:00;2;4;.500;1;2;.500;1;2;.500;0;0;0;0;2;1;0;2;6;+8
25/11/2022;NOP;13;hayesja02;Jaxson Hayes;12:00;1;5;.200;0;3;.000;3;3;1.000;0;3;3;2;1;0;0;0;5;+8
25/11/2022;NOP;0;brookdi01;Dillon Brooks;29:20;8;15;.533;4;9;.444;5;5;1.000;0;2;2;4;0;0;1;4;25;+31
25/11/2022;NOP;1;moranja01;Ja Morant;27:59;8;16;.500;2;6;.333;5;10;.500;2;2;4;11;0;0;2;1;23;+24
25/11/2022;NOP;2;konchjo01;John Konchar;25:23;3;6;.500;3;5;.600;0;0;;2;4;6;0;1;0;1;1;9;+28
25/11/2022;NOP;3;adamsst01;Steven Adams;25:02;7;10;.700;0;0;;1;2;.500;4;7;11;1;1;0;2;1;15;+26
25/11/2022;NOP;4;jacksja02;Jaren Jackson Jr.;21:48;6;7;.857;2;3;.667;6;7;.857;0;4;4;0;1;3;1;4;20;+18
25/11/2022;NOP;5;Reserves;Reserves
25/11/2022;NOP;6;laravja01;Jake LaRavia;26:12;1;5;.200;1;4;.250;0;0;;2;2;4;0;0;0;1;2;3;-15
25/11/2022;NOP;7;roddyda01;David Roddy;24:29;4;11;.364;2;5;.400;1;1;1.000;0;2;2;0;0;0;2;3;11;0
25/11/2022;NOP;8;jonesty01;Tyus Jones;21:24;3;7;.429;3;5;.600;0;0;;1;0;1;6;0;0;1;0;9;+11
25/11/2022;NOP;9;clarkbr01;Brandon Clarke;21:10;5;7;.714;0;0;;2;2;1.000;1;9;10;1;0;1;1;3;12;+9
25/11/2022;NOP;10;chandke01;Kennedy Chandler;7:47;0;3;.000;0;0;;0;0;;1;0;1;1;1;0;1;1;0;-7
25/11/2022;NOP;11;willivi01;Vince Williams Jr.;4:43;1;1;1.000;1;1;1.000;0;0;;0;0;0;0;0;0;0;0;3;-10
25/11/2022;NOP;12;loftoke01;Kenneth Lofton Jr.;4:43;1;3;.333;0;0;;0;0;;0;1;1;2;0;0;1;0;2;-10
