dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
27/11/2022;WAS;0;bealbr01;Bradley Beal;34:47;11;19;.579;0;3;.000;8;9;.889;1;4;5;4;2;0;2;1;30;-28
27/11/2022;WAS;1;avdijde01;Deni Avdija;26:48;4;8;.500;2;6;.333;0;0;;0;1;1;3;1;0;0;3;10;-11
27/11/2022;WAS;2;porzikr01;Kristaps Porziņģis;26:18;7;11;.636;0;1;.000;7;8;.875;0;4;4;2;0;0;1;2;21;-23
27/11/2022;WAS;3;morrimo01;Monte Morris;23:41;6;8;.750;4;5;.800;0;0;;0;3;3;8;0;0;0;2;16;-3
27/11/2022;WAS;4;kispeco01;Corey Kispert;21:52;3;8;.375;1;3;.333;1;2;.500;0;1;1;0;0;0;0;1;8;-18
27/11/2022;WAS;5;Reserves;Reserves
27/11/2022;WAS;6;bartowi01;Will Barton;30:52;2;8;.250;0;4;.000;2;3;.667;0;4;4;2;1;0;1;1;6;-2
27/11/2022;WAS;7;goodwjo01;Jordan Goodwin;24:19;4;8;.500;0;3;.000;1;2;.500;0;1;1;2;2;1;0;3;9;-6
27/11/2022;WAS;8;dotsode01;Devon Dotson;17:53;0;2;.000;0;1;.000;0;0;;3;1;4;2;1;0;0;3;0;+13
27/11/2022;WAS;9;gillan01;Anthony Gill;14:50;1;2;.500;0;1;.000;3;5;.600;1;2;3;0;0;0;0;2;5;+13
27/11/2022;WAS;10;gibsota01;Taj Gibson;12:18;4;6;.667;0;1;.000;4;4;1.000;0;0;0;0;1;0;0;2;12;+7
27/11/2022;WAS;11;gaffoda01;Daniel Gafford;6:22;2;2;1.000;0;0;;0;0;;1;2;3;0;0;0;0;1;4;+13
27/11/2022;WAS;0;brownja02;Jaylen Brown;34:13;13;23;.565;2;7;.286;8;8;1.000;2;3;5;2;0;0;2;3;36;+26
27/11/2022;WAS;1;willigr01;Grant Williams;31:35;2;7;.286;1;4;.250;0;0;;2;5;7;3;0;0;1;5;5;+6
27/11/2022;WAS;2;whitede01;Derrick White;30:34;4;7;.571;2;4;.500;5;5;1.000;1;1;2;3;2;0;1;3;15;+20
27/11/2022;WAS;3;smartma01;Marcus Smart;27:20;5;8;.625;2;4;.500;2;2;1.000;0;4;4;7;0;0;4;3;14;+15
27/11/2022;WAS;4;horfoal01;Al Horford;25:43;6;8;.750;2;3;.667;0;0;;0;3;3;3;0;3;0;1;14;+17
27/11/2022;WAS;5;Reserves;Reserves
27/11/2022;WAS;6;brogdma01;Malcolm Brogdon;22:38;5;10;.500;3;5;.600;4;4;1.000;1;5;6;4;0;0;3;1;17;+8
27/11/2022;WAS;7;kornelu01;Luke Kornet;22:17;4;8;.500;0;1;.000;4;4;1.000;4;0;4;1;0;2;1;4;12;-8
27/11/2022;WAS;8;hausesa01;Sam Hauser;21:19;4;5;.800;3;4;.750;3;3;1.000;0;5;5;1;0;0;2;3;14;-4
27/11/2022;WAS;9;pritcpa01;Payton Pritchard;17:04;1;4;.250;1;2;.500;0;0;;0;1;1;1;0;0;0;0;3;-13
27/11/2022;WAS;10;jacksju01;Justin Jackson;5:13;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;-14
27/11/2022;WAS;11;vonleno01;Noah Vonleh;2:04;0;0;;0;0;;0;0;;0;1;1;0;0;0;0;0;0;-8
