dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
27/11/2022;DAL;0;finnedo01;Dorian Finney-Smith;38:02;5;9;.556;2;6;.333;1;1;1.000;4;0;4;3;3;0;0;2;13;-15
27/11/2022;DAL;1;doncilu01;Luka Dončić;35:05;10;20;.500;3;7;.429;4;9;.444;0;5;5;12;0;0;6;2;27;-10
27/11/2022;DAL;2;dinwisp01;Spencer Dinwiddie;31:10;8;13;.615;3;6;.500;3;3;1.000;0;3;3;2;0;0;1;2;22;-16
27/11/2022;DAL;3;hardati02;Tim Hardaway Jr.;20:58;2;8;.250;2;6;.333;0;0;;0;0;0;0;0;0;1;0;6;-14
27/11/2022;DAL;4;poweldw01;Dwight Powell;7:44;1;1;1.000;0;0;;2;4;.500;0;0;0;0;0;1;0;0;4;-4
27/11/2022;DAL;5;Reserves;Reserves
27/11/2022;DAL;6;woodch01;Christian Wood;32:05;8;17;.471;2;6;.333;3;4;.750;0;7;7;2;1;0;1;4;21;+5
27/11/2022;DAL;7;klebima01;Maxi Kleber;24:17;2;3;.667;2;3;.667;0;0;;2;2;4;3;0;1;1;2;6;0
27/11/2022;DAL;8;greenjo02;Josh Green;19:58;2;3;.667;1;2;.500;3;4;.750;0;4;4;0;1;0;1;2;8;+5
27/11/2022;DAL;9;bertada01;Dāvis Bertāns;16:51;1;3;.333;1;3;.333;0;0;;0;2;2;1;0;0;0;2;3;-1
27/11/2022;DAL;10;mcgeeja01;JaVale McGee;3:32;1;1;1.000;0;0;;0;0;;0;1;1;0;0;0;1;1;2;-10
27/11/2022;DAL;11;campafa01;Facundo Campazzo;3:26;1;1;1.000;1;1;1.000;0;0;;0;0;0;0;0;0;0;0;3;+5
27/11/2022;DAL;12;ntilila01;Frank Ntilikina;3:26;0;0;;0;0;;0;0;;0;0;0;0;1;0;0;0;0;+5
27/11/2022;DAL;13;pinsoth01;Theo Pinson;3:26;0;1;.000;0;1;.000;0;0;;0;2;2;0;0;0;1;0;0;+5
27/11/2022;DAL;0;holidjr01;Jrue Holiday;34:27;7;16;.438;2;6;.333;0;0;;1;0;1;6;3;0;3;2;16;+17
27/11/2022;DAL;1;allengr01;Grayson Allen;31:54;8;10;.800;7;8;.875;2;4;.500;0;2;2;5;2;1;0;2;25;+20
27/11/2022;DAL;2;carteje01;Jevon Carter;30:47;6;11;.545;2;5;.400;0;0;;0;3;3;6;1;0;2;1;14;+20
27/11/2022;DAL;3;antetgi01;Giannis Antetokounmpo;29:24;11;19;.579;0;2;.000;8;10;.800;3;8;11;4;1;0;3;5;30;+16
27/11/2022;DAL;4;lopezbr01;Brook Lopez;23:25;5;7;.714;2;3;.667;1;1;1.000;0;4;4;2;1;4;2;5;13;-1
27/11/2022;DAL;5;Reserves;Reserves
27/11/2022;DAL;6;portibo01;Bobby Portis;31:38;7;12;.583;1;5;.200;0;0;;1;9;10;1;0;0;0;3;15;+10
27/11/2022;DAL;7;hillge01;George Hill;15:22;2;2;1.000;1;1;1.000;0;0;;0;2;2;2;0;0;1;2;5;0
27/11/2022;DAL;8;nworajo01;Jordan Nwora;11:02;1;3;.333;1;2;.500;0;0;;2;1;3;2;0;0;0;0;3;-7
27/11/2022;DAL;9;connapa01;Pat Connaughton;10:52;1;3;.333;1;3;.333;0;0;;0;1;1;0;0;0;0;0;3;-9
27/11/2022;DAL;10;matthwe02;Wesley Matthews;8:53;0;1;.000;0;1;.000;0;0;;1;0;1;0;0;0;0;2;0;+1
27/11/2022;DAL;11;mamuksa01;Sandro Mamukelashvili;7:12;0;1;.000;0;0;;0;0;;0;2;2;0;0;0;1;1;0;-9
27/11/2022;DAL;12;beaucma01;MarJon Beauchamp;1:58;0;0;;0;0;;0;0;;0;0;0;0;0;0;1;0;0;-5
27/11/2022;DAL;13;greenaj01;A.J. Green;1:58;0;1;.000;0;1;.000;0;0;;0;0;0;0;0;0;0;1;0;-5
27/11/2022;DAL;14;antetth01;Thanasis Antetokounmpo;1:08;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;-3
