dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
27/11/2022;GSW;0;greendr01;Draymond Green;32:38;6;7;.857;1;2;.500;6;8;.750;1;3;4;11;0;2;0;2;19;+17
27/11/2022;GSW;1;curryst01;Stephen Curry;32:37;7;17;.412;4;11;.364;7;7;1.000;1;10;11;8;1;0;7;1;25;+22
27/11/2022;GSW;2;wiggian01;Andrew Wiggins;31:23;7;12;.583;3;6;.500;0;0;;1;2;3;2;2;0;2;4;17;+14
27/11/2022;GSW;3;thompkl01;Klay Thompson;29:56;8;13;.615;5;8;.625;0;0;;0;2;2;2;2;1;1;2;21;+31
27/11/2022;GSW;4;looneke01;Kevon Looney;22:07;1;1;1.000;0;0;;0;0;;2;5;7;4;1;0;0;2;2;+23
27/11/2022;GSW;5;Reserves;Reserves
27/11/2022;GSW;6;poolejo01;Jordan Poole;26:52;9;17;.529;3;9;.333;3;4;.750;1;3;4;6;0;0;4;4;24;+9
27/11/2022;GSW;7;kuminjo01;Jonathan Kuminga;19:50;3;5;.600;0;2;.000;1;1;1.000;0;6;6;1;0;2;2;2;7;+8
27/11/2022;GSW;8;divindo01;Donte DiVincenzo;18:04;5;10;.500;4;8;.500;0;0;;2;4;6;1;1;1;0;3;14;-8
27/11/2022;GSW;9;greenja01;JaMychal Green;14:24;3;4;.750;0;1;.000;0;0;;0;2;2;1;0;0;0;2;6;+9
27/11/2022;GSW;10;lamban01;Anthony Lamb;8:44;1;1;1.000;0;0;;0;0;;0;0;0;0;0;0;0;4;2;-14
27/11/2022;GSW;11;moodymo01;Moses Moody;3:25;0;0;;0;0;;0;0;;0;2;2;0;0;0;0;0;0;+4
27/11/2022;GSW;0;edwaran01;Anthony Edwards;35:36;7;17;.412;2;6;.333;10;11;.909;1;3;4;4;1;0;1;1;26;-29
27/11/2022;GSW;1;russeda01;D'Angelo Russell;31:25;5;14;.357;3;6;.500;2;2;1.000;1;1;2;6;1;1;0;2;15;-32
27/11/2022;GSW;2;townska01;Karl-Anthony Towns;30:51;8;14;.571;1;5;.200;4;4;1.000;0;4;4;4;2;0;6;4;21;-26
27/11/2022;GSW;3;goberru01;Rudy Gobert;30:04;4;9;.444;0;0;;1;2;.500;4;6;10;0;0;1;2;2;9;-8
27/11/2022;GSW;4;riverau01;Austin Rivers;28:58;1;4;.250;1;3;.333;2;2;1.000;0;2;2;1;0;0;1;3;5;-24
27/11/2022;GSW;5;Reserves;Reserves
27/11/2022;GSW;6;nowelja01;Jaylen Nowell;24:12;5;11;.455;4;7;.571;2;3;.667;0;3;3;3;1;0;0;2;16;+6
27/11/2022;GSW;7;anderky01;Kyle Anderson;19:01;2;3;.667;0;0;;0;0;;0;3;3;1;1;0;3;3;4;+1
27/11/2022;GSW;8;forbebr01;Bryn Forbes;17:02;4;8;.500;1;4;.250;1;1;1.000;0;0;0;1;0;0;1;1;10;+9
27/11/2022;GSW;9;reidna01;Naz Reid;16:01;3;6;.500;2;3;.667;0;1;.000;0;2;2;2;0;0;0;1;8;-4
27/11/2022;GSW;10;knighna01;Nathan Knight;3:25;0;1;.000;0;0;;0;2;.000;0;0;0;0;1;0;0;0;0;-4
27/11/2022;GSW;11;moorewe01;Wendell Moore Jr.;3:25;0;1;.000;0;1;.000;0;1;.000;0;1;1;0;0;0;0;0;0;-4
