dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
29/11/2022;NYK;0;randlju01;Julius Randle;30:57;14;24;.583;6;13;.462;2;4;.500;1;6;7;5;1;0;3;3;36;+36
29/11/2022;NYK;1;grimequ01;Quentin Grimes;27:42;6;7;.857;3;4;.750;1;1;1.000;2;4;6;2;2;0;0;3;16;+37
29/11/2022;NYK;2;robinmi01;Mitchell Robinson;26:14;3;6;.500;0;0;;0;0;;5;8;13;2;2;1;2;1;6;+31
29/11/2022;NYK;3;barrerj01;RJ Barrett;23:43;4;11;.364;2;5;.400;6;8;.750;2;2;4;3;0;0;0;1;16;+32
29/11/2022;NYK;4;brunsja01;Jalen Brunson;18:15;6;8;.750;2;2;1.000;2;2;1.000;1;0;1;5;1;0;1;4;16;+15
29/11/2022;NYK;5;Reserves;Reserves
29/11/2022;NYK;6;rosede01;Derrick Rose;24:31;2;7;.286;1;2;.500;0;0;;1;2;3;2;1;0;1;1;5;+17
29/11/2022;NYK;7;quickim01;Immanuel Quickley;22:20;7;12;.583;0;2;.000;1;1;1.000;0;1;1;4;0;0;3;3;15;-3
29/11/2022;NYK;8;toppiob01;Obi Toppin;18:13;3;4;.750;2;3;.667;0;0;;0;3;3;2;0;0;0;0;8;-8
29/11/2022;NYK;9;reddica01;Cam Reddish;17:28;2;6;.333;0;3;.000;2;2;1.000;0;1;1;0;0;0;0;0;6;-8
29/11/2022;NYK;10;harteis01;Isaiah Hartenstein;14:20;3;4;.750;0;0;;2;3;.667;3;2;5;1;1;0;2;2;8;0
29/11/2022;NYK;11;simsje01;Jericho Sims;6:15;3;3;1.000;0;0;;0;0;;2;4;6;1;0;0;1;0;6;+1
29/11/2022;NYK;12;mcbrimi01;Miles McBride;5:14;1;2;.500;0;1;.000;0;0;;0;0;0;3;1;0;0;0;2;-2
29/11/2022;NYK;13;mykhasv01;Svi Mykhailiuk;2:49;0;2;.000;0;0;;0;0;;0;1;1;0;0;0;0;0;0;+1
29/11/2022;NYK;14;arcidry01;Ryan Arcidiacono;1:56;0;0;;0;0;;0;0;;0;0;0;1;0;0;1;1;0;+1
29/11/2022;NYK;15;fournev01;Evan Fournier;Did Not Play
29/11/2022;NYK;0;stewais01;Isaiah Stewart;26:02;6;13;.462;5;9;.556;2;2;1.000;1;4;5;1;0;1;2;2;19;-22
29/11/2022;NYK;1;hayeski01;Killian Hayes;26:02;5;11;.455;1;4;.250;0;0;;0;1;1;6;3;0;0;1;11;-22
29/11/2022;NYK;2;baglema01;Marvin Bagley III;23:22;5;10;.500;3;6;.500;0;0;;2;5;7;2;0;0;4;2;13;-20
29/11/2022;NYK;3;liveris01;Isaiah Livers;23:10;2;5;.400;2;5;.400;0;0;;0;3;3;1;0;0;0;0;6;-23
29/11/2022;NYK;4;bogdabo02;Bojan Bogdanović;19:22;4;6;.667;1;2;.500;4;6;.667;0;0;0;2;0;0;3;0;13;-21
29/11/2022;NYK;5;Reserves;Reserves
29/11/2022;NYK;6;durenja01;Jalen Duren;26:59;6;7;.857;0;0;;0;0;;3;2;5;1;1;0;1;3;12;-13
29/11/2022;NYK;7;josepco01;Cory Joseph;21:58;5;8;.625;1;2;.500;0;0;;0;1;1;3;1;0;1;4;11;-8
29/11/2022;NYK;8;beysa01;Saddiq Bey;18:23;4;11;.364;0;5;.000;3;3;1.000;0;1;1;1;0;0;0;1;11;-9
29/11/2022;NYK;9;knoxke01;Kevin Knox;17:03;1;4;.250;0;3;.000;3;5;.600;0;3;3;1;1;2;0;1;5;-2
29/11/2022;NYK;10;burksal01;Alec Burks;14:46;0;2;.000;0;2;.000;0;0;;0;2;2;5;1;0;2;2;0;-7
29/11/2022;NYK;11;diallha01;Hamidou Diallo;14:34;4;5;.800;0;0;;1;4;.250;1;0;1;4;0;1;1;1;9;-2
29/11/2022;NYK;12;mcgruro01;Rodney McGruder;8:19;0;1;.000;0;1;.000;0;0;;0;1;1;1;0;0;2;0;0;-1
