dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
03/12/2022;DAL;0;finnedo01;Dorian Finney-Smith;30:47;1;8;.125;1;7;.143;0;0;;2;3;5;1;0;0;1;1;3;+31
03/12/2022;DAL;1;dinwisp01;Spencer Dinwiddie;30:05;6;16;.375;3;8;.375;2;3;.667;2;7;9;9;0;1;0;3;17;+35
03/12/2022;DAL;2;doncilu01;Luka Dončić;29:28;11;21;.524;4;9;.444;4;4;1.000;0;8;8;7;1;3;5;2;30;+13
03/12/2022;DAL;3;hardati02;Tim Hardaway Jr.;27:42;10;17;.588;8;13;.615;0;1;.000;1;6;7;1;1;0;1;0;28;+23
03/12/2022;DAL;4;poweldw01;Dwight Powell;17:34;2;3;.667;0;0;;2;2;1.000;5;2;7;1;1;0;1;2;6;+16
03/12/2022;DAL;5;Reserves;Reserves
03/12/2022;DAL;6;greenjo02;Josh Green;27:20;2;6;.333;1;4;.250;2;3;.667;1;2;3;5;2;0;1;3;7;+6
03/12/2022;DAL;7;bullore01;Reggie Bullock;24:58;3;8;.375;3;7;.429;1;1;1.000;1;3;4;1;1;0;0;2;10;+15
03/12/2022;DAL;8;klebima01;Maxi Kleber;22:39;5;8;.625;3;5;.600;0;0;;2;1;3;1;0;0;0;2;13;+16
03/12/2022;DAL;9;bertada01;Dāvis Bertāns;7:47;0;3;.000;0;3;.000;0;0;;0;0;0;0;0;0;0;2;0;-11
03/12/2022;DAL;10;hardyja02;Jaden Hardy;6:34;2;5;.400;1;3;.333;0;0;;0;1;1;0;0;0;0;1;5;-8
03/12/2022;DAL;11;ntilila01;Frank Ntilikina;5:35;0;2;.000;0;0;;0;0;;0;1;1;0;0;0;1;2;0;-11
03/12/2022;DAL;12;pinsoth01;Theo Pinson;4:49;0;2;.000;0;2;.000;0;0;;0;1;1;1;1;0;0;0;0;-10
03/12/2022;DAL;13;mcgeeja01;JaVale McGee;4:42;1;1;1.000;0;0;;0;0;;0;1;1;0;0;1;1;0;2;-10
03/12/2022;DAL;0;randlju01;Julius Randle;30:17;8;15;.533;3;8;.375;5;5;1.000;1;4;5;3;0;0;3;2;24;-11
03/12/2022;DAL;1;grimequ01;Quentin Grimes;29:28;4;7;.571;1;3;.333;0;0;;0;2;2;1;2;0;2;2;9;-13
03/12/2022;DAL;2;brunsja01;Jalen Brunson;27:27;5;11;.455;2;3;.667;1;2;.500;0;2;2;3;0;0;3;2;13;-26
03/12/2022;DAL;3;robinmi01;Mitchell Robinson;22:37;1;2;.500;0;0;;0;2;.000;2;4;6;0;0;1;1;2;2;-15
03/12/2022;DAL;4;barrerj01;RJ Barrett;20:18;4;9;.444;1;3;.333;4;5;.800;1;5;6;3;1;0;0;2;13;-9
03/12/2022;DAL;5;Reserves;Reserves
03/12/2022;DAL;6;quickim01;Immanuel Quickley;29:46;7;11;.636;2;5;.400;7;10;.700;2;4;6;0;0;0;4;1;23;-13
03/12/2022;DAL;7;toppiob01;Obi Toppin;21:57;1;5;.200;0;2;.000;2;2;1.000;0;7;7;1;1;0;1;1;4;-14
03/12/2022;DAL;8;rosede01;Derrick Rose;13:18;2;6;.333;0;2;.000;0;0;;0;2;2;3;0;0;0;1;4;-4
03/12/2022;DAL;9;harteis01;Isaiah Hartenstein;12:42;1;2;.500;0;0;;0;0;;1;3;4;0;2;0;1;2;2;-5
03/12/2022;DAL;10;reddica01;Cam Reddish;9:13;0;4;.000;0;2;.000;0;0;;0;0;0;1;0;0;3;1;0;-16
03/12/2022;DAL;11;simsje01;Jericho Sims;8:27;1;1;1.000;0;0;;0;0;;0;3;3;0;0;0;0;1;2;+3
03/12/2022;DAL;12;mykhasv01;Svi Mykhailiuk;7:15;1;2;.500;1;2;.500;0;0;;0;1;1;0;0;0;0;0;3;+9
03/12/2022;DAL;13;mcbrimi01;Miles McBride;7:15;0;2;.000;0;1;.000;1;2;.500;0;1;1;3;1;0;1;0;1;+9
03/12/2022;DAL;14;fournev01;Evan Fournier;Did Not Play
