dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
03/12/2022;ORL;0;bolbo01;Bol Bol;27:41;7;8;.875;0;1;.000;4;5;.800;1;6;7;1;1;1;5;1;18;-17
03/12/2022;ORL;1;banchpa01;Paolo Banchero;26:53;2;8;.250;1;5;.200;4;6;.667;2;1;3;3;1;0;2;2;9;-28
03/12/2022;ORL;2;wagnefr01;Franz Wagner;22:29;4;8;.500;1;3;.333;0;0;;0;1;1;1;2;0;3;1;9;-31
03/12/2022;ORL;3;wagnemo01;Moritz Wagner;21:56;2;7;.286;0;1;.000;1;2;.500;0;4;4;0;1;1;3;3;5;-28
03/12/2022;ORL;4;fultzma01;Markelle Fultz;18:45;3;8;.375;0;0;;1;2;.500;0;1;1;4;1;0;1;2;7;-21
03/12/2022;ORL;5;Reserves;Reserves
03/12/2022;ORL;6;rosste01;Terrence Ross;24:52;7;7;1.000;4;4;1.000;0;0;;0;1;1;0;2;0;0;1;18;+17
03/12/2022;ORL;7;houstca01;Caleb Houstan;24:40;3;9;.333;2;5;.400;0;0;;1;3;4;2;0;0;0;4;8;+11
03/12/2022;ORL;8;anthoco01;Cole Anthony;23:44;4;10;.400;1;3;.333;3;3;1.000;0;3;3;5;1;0;0;2;12;+5
03/12/2022;ORL;9;harrike01;Kevon Harris;20:58;2;4;.500;1;1;1.000;0;0;;1;2;3;2;0;0;0;1;5;+5
03/12/2022;ORL;10;schofad01;Admiral Schofield;19:47;3;7;.429;1;4;.250;6;6;1.000;0;0;0;3;0;0;1;3;13;+13
03/12/2022;ORL;11;hamptrj01;R.J. Hampton;8:15;1;2;.500;0;1;.000;2;2;1.000;0;2;2;2;0;0;0;0;4;+9
03/12/2022;ORL;0;vanvlfr01;Fred VanVleet;37:06;4;11;.364;3;8;.375;2;3;.667;0;2;2;7;3;0;4;4;13;+20
03/12/2022;ORL;1;anunoog01;OG Anunoby;33:08;12;17;.706;2;4;.500;6;8;.750;2;0;2;4;3;0;1;2;32;+21
03/12/2022;ORL;2;barnesc01;Scottie Barnes;32:48;8;10;.800;0;2;.000;1;3;.333;3;11;14;4;2;1;2;2;17;+34
03/12/2022;ORL;3;siakapa01;Pascal Siakam;30:37;9;15;.600;1;4;.250;7;7;1.000;2;6;8;10;3;0;1;1;26;+25
03/12/2022;ORL;4;kolokch01;Christian Koloko;18:03;3;5;.600;0;0;;0;0;;2;3;5;0;0;1;0;3;6;+28
03/12/2022;ORL;5;Reserves;Reserves
03/12/2022;ORL;6;trentga02;Gary Trent Jr.;28:16;2;10;.200;1;7;.143;0;0;;0;1;1;3;0;0;1;2;5;-12
03/12/2022;ORL;7;bouchch01;Chris Boucher;17:50;2;5;.400;1;3;.333;1;2;.500;1;3;4;2;1;1;1;1;6;-13
03/12/2022;ORL;8;youngth01;Thaddeus Young;14:25;3;5;.600;0;0;;0;0;;1;1;2;1;0;0;2;3;6;-16
03/12/2022;ORL;9;bantoda01;Dalano Banton;11:16;1;2;.500;0;0;;0;0;;0;3;3;0;0;0;2;3;2;-17
03/12/2022;ORL;10;flynnma01;Malachi Flynn;6:15;2;2;1.000;1;1;1.000;0;0;;0;0;0;0;0;0;1;2;5;-13
03/12/2022;ORL;11;birchkh01;Khem Birch;5:37;1;2;.500;0;0;;0;0;;1;1;2;0;0;1;1;1;2;+2
03/12/2022;ORL;12;hernaju01;Juancho Hernangómez;4:39;0;0;;0;0;;1;2;.500;0;0;0;0;0;0;0;0;1;+6
