dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
04/12/2022;PHO;0;bookede01;Devin Booker;27:48;7;16;.438;1;3;.333;5;5;1.000;0;0;0;8;0;0;2;2;20;+26
04/12/2022;PHO;1;bridgmi01;Mikal Bridges;25:32;7;11;.636;6;7;.857;0;0;;1;3;4;3;0;0;0;2;20;+30
04/12/2022;PHO;2;aytonde01;Deandre Ayton;25:17;10;14;.714;1;1;1.000;4;5;.800;2;8;10;3;0;0;2;1;25;+30
04/12/2022;PHO;3;payneca01;Cameron Payne;24:53;2;8;.250;1;4;.250;0;0;;0;2;2;6;0;0;1;2;5;+21
04/12/2022;PHO;4;saricda01;Dario Šarić;21:28;6;8;.750;4;5;.800;1;1;1.000;2;1;3;2;0;0;1;4;17;+16
04/12/2022;PHO;5;Reserves;Reserves
04/12/2022;PHO;6;wainris01;Ish Wainright;27:46;3;3;1.000;2;2;1.000;0;1;.000;0;1;1;4;1;0;0;2;8;+11
04/12/2022;PHO;7;okogijo01;Josh Okogie;26:13;4;12;.333;0;4;.000;1;2;.500;5;6;11;6;3;0;1;1;9;+31
04/12/2022;PHO;8;leeda03;Damion Lee;23:47;2;5;.400;1;2;.500;0;0;;1;4;5;2;0;0;0;2;5;+8
04/12/2022;PHO;9;landajo01;Jock Landale;14:09;4;6;.667;1;1;1.000;3;4;.750;2;2;4;0;1;0;0;0;12;0
04/12/2022;PHO;10;shamela01;Landry Shamet;13:41;3;8;.375;2;7;.286;2;2;1.000;0;1;1;3;0;0;2;1;10;+9
04/12/2022;PHO;11;biyombi01;Bismack Biyombo;6:16;1;2;.500;0;0;;0;0;;1;1;2;0;0;0;2;1;2;+6
04/12/2022;PHO;12;washidu02;Duane Washington Jr.;3:10;0;1;.000;0;1;.000;0;0;;0;2;2;1;0;0;0;0;0;+2
04/12/2022;PHO;0;johnske04;Keldon Johnson;32:53;11;23;.478;1;5;.200;4;6;.667;1;4;5;2;1;0;1;5;27;-24
04/12/2022;PHO;1;vassede01;Devin Vassell;30:53;5;12;.417;2;6;.333;2;2;1.000;0;5;5;4;0;0;3;1;14;-33
04/12/2022;PHO;2;bateske01;Keita Bates-Diop;30:42;5;6;.833;2;2;1.000;0;0;;1;2;3;0;0;0;0;0;12;-25
04/12/2022;PHO;3;jonestr01;Tre Jones;29:10;5;11;.455;0;3;.000;0;0;;1;1;2;3;2;1;3;0;10;-22
04/12/2022;PHO;4;colliza01;Zach Collins;17:23;1;7;.143;0;3;.000;2;2;1.000;3;3;6;5;0;0;3;5;4;-6
04/12/2022;PHO;5;Reserves;Reserves
04/12/2022;PHO;6;branhma01;Malaki Branham;24:52;3;9;.333;0;3;.000;2;2;1.000;0;1;1;2;0;1;1;3;8;-20
04/12/2022;PHO;7;bassech01;Charles Bassey;19:55;2;2;1.000;0;0;;1;2;.500;4;3;7;1;0;1;1;3;5;-11
04/12/2022;PHO;8;robyis01;Isaiah Roby;18:15;1;6;.167;0;3;.000;0;0;;1;2;3;1;1;0;1;2;2;-12
04/12/2022;PHO;9;johnsal02;Alize Johnson;14:48;2;5;.400;0;2;.000;1;2;.500;1;3;4;0;1;0;3;1;5;0
04/12/2022;PHO;10;dienggo01;Gorgui Dieng;13:26;2;5;.400;1;4;.250;0;0;;0;4;4;1;0;0;3;2;5;-25
04/12/2022;PHO;11;langfro01;Romeo Langford;7:43;1;1;1.000;0;0;;1;2;.500;0;0;0;0;0;0;0;2;3;-12
