dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
13/12/2022;NOP;0;mccolcj01;CJ McCollum;30:17;6;17;.353;1;2;.500;1;3;.333;2;4;6;0;2;0;3;1;14;-22
13/12/2022;NOP;1;willizi01;Zion Williamson;25:41;10;16;.625;0;2;.000;6;10;.600;3;6;9;5;2;0;4;3;26;-15
13/12/2022;NOP;2;murphtr02;Trey Murphy III;24:51;0;7;.000;0;4;.000;0;1;.000;0;0;0;2;1;1;1;1;0;-14
13/12/2022;NOP;3;joneshe01;Herbert Jones;20:28;2;5;.400;0;2;.000;2;2;1.000;0;0;0;2;0;0;0;1;6;-12
13/12/2022;NOP;4;valanjo01;Jonas Valančiūnas;19:15;6;13;.462;0;2;.000;3;4;.750;5;1;6;1;2;0;3;5;15;+5
13/12/2022;NOP;5;Reserves;Reserves
13/12/2022;NOP;6;daniedy01;Dyson Daniels;26:09;2;4;.500;1;2;.500;2;2;1.000;1;4;5;3;0;0;0;2;7;-11
13/12/2022;NOP;7;nancela02;Larry Nance Jr.;23:18;2;7;.286;0;3;.000;0;0;;3;4;7;3;0;1;1;2;4;-21
13/12/2022;NOP;8;marshna01;Naji Marshall;22:30;2;5;.400;0;1;.000;2;2;1.000;0;3;3;2;0;1;0;0;6;-14
13/12/2022;NOP;9;alvarjo01;Jose Alvarado;17:11;1;6;.167;0;3;.000;2;5;.400;0;2;2;3;3;0;3;1;4;-8
13/12/2022;NOP;10;hernawi01;Willy Hernangómez;6:08;3;5;.600;1;2;.500;2;2;1.000;0;1;1;2;1;0;1;0;9;+2
13/12/2022;NOP;11;lewiski01;Kira Lewis Jr.;6:08;1;4;.250;0;1;.000;2;2;1.000;0;1;1;0;0;0;0;1;4;+2
13/12/2022;NOP;12;templga01;Garrett Temple;6:08;1;1;1.000;1;1;1.000;0;0;;1;1;2;1;0;0;0;0;3;+2
13/12/2022;NOP;13;hayesja02;Jaxson Hayes;6:08;0;1;.000;0;1;.000;0;0;;0;1;1;0;0;0;1;0;0;+2
13/12/2022;NOP;14;grahade01;Devonte' Graham;5:48;1;2;.500;0;1;.000;0;0;;0;0;0;1;1;0;0;0;2;-1
13/12/2022;NOP;0;markkla01;Lauri Markkanen;30:52;8;16;.500;2;7;.286;1;2;.500;2;9;11;1;1;1;2;3;19;+23
13/12/2022;NOP;1;conlemi01;Mike Conley;28:52;2;8;.250;2;7;.286;1;1;1.000;0;0;0;6;1;0;3;3;7;+12
13/12/2022;NOP;2;clarkjo01;Jordan Clarkson;28:30;4;13;.308;1;7;.143;2;2;1.000;0;1;1;3;0;1;4;2;11;+14
13/12/2022;NOP;3;vandeja01;Jarred Vanderbilt;22:38;8;9;.889;0;0;;2;3;.667;8;6;14;6;1;1;1;5;18;+12
13/12/2022;NOP;4;olynyke01;Kelly Olynyk;16:06;3;5;.600;0;2;.000;0;0;;1;4;5;3;0;0;3;4;6;+3
13/12/2022;NOP;5;Reserves;Reserves
13/12/2022;NOP;6;beaslma01;Malik Beasley;30:53;8;19;.421;5;12;.417;0;0;;0;2;2;4;0;0;0;1;21;+15
13/12/2022;NOP;7;alexani01;Nickeil Alexander-Walker;25:00;7;10;.700;4;6;.667;1;2;.500;0;3;3;6;0;2;4;0;19;+12
13/12/2022;NOP;8;kesslwa01;Walker Kessler;23:18;5;10;.500;0;0;;1;2;.500;6;10;16;0;0;3;0;2;11;+9
13/12/2022;NOP;9;gayru01;Rudy Gay;19:05;2;6;.333;0;2;.000;0;0;;1;4;5;1;0;1;1;0;4;+15
13/12/2022;NOP;10;hortota01;Talen Horton-Tucker;5:02;2;5;.400;1;3;.333;0;0;;0;1;1;1;1;0;1;1;5;-2
13/12/2022;NOP;11;agbajoc01;Ochai Agbaji;3:50;0;1;.000;0;1;.000;0;0;;0;0;0;0;0;0;0;1;0;-4
13/12/2022;NOP;12;azubuud01;Udoka Azubuike;3:50;0;0;;0;0;;0;0;;1;0;1;0;0;1;0;1;0;-4
13/12/2022;NOP;13;bolmale01;Leandro Bolmaro;2:04;0;1;.000;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0
