dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
14/12/2022;MIN;0;edwaran01;Anthony Edwards;36:54;6;14;.429;2;7;.286;5;7;.714;0;7;7;3;2;1;5;5;19;-11
14/12/2022;MIN;1;mcdanja02;Jaden McDaniels;35:46;3;11;.273;0;3;.000;0;0;;0;4;4;2;3;0;0;4;6;-11
14/12/2022;MIN;2;anderky01;Kyle Anderson;32:06;5;10;.500;0;2;.000;3;6;.500;0;6;6;5;1;0;3;5;13;-12
14/12/2022;MIN;3;goberru01;Rudy Gobert;31:42;3;5;.600;0;0;;5;7;.714;4;9;13;0;0;2;3;3;11;-9
14/12/2022;MIN;4;riverau01;Austin Rivers;28:55;1;7;.143;1;4;.250;2;2;1.000;0;0;0;2;0;0;0;1;5;-8
14/12/2022;MIN;5;Reserves;Reserves
14/12/2022;MIN;6;nowelja01;Jaylen Nowell;25:11;6;16;.375;1;4;.250;0;0;;2;1;3;0;1;0;4;0;13;-12
14/12/2022;MIN;7;reidna01;Naz Reid;20:05;3;5;.600;0;0;;3;4;.750;1;6;7;1;0;0;1;1;9;-15
14/12/2022;MIN;8;moorewe01;Wendell Moore Jr.;15:05;1;1;1.000;0;0;;2;2;1.000;0;2;2;1;2;1;1;0;4;+1
14/12/2022;MIN;9;forbebr01;Bryn Forbes;3:52;0;1;.000;0;1;.000;0;0;;0;0;0;0;0;0;0;1;0;+2
14/12/2022;MIN;10;knighna01;Nathan Knight;2:36;2;2;1.000;0;0;;0;0;;0;1;1;0;0;0;0;0;4;+5
14/12/2022;MIN;11;minotjo01;Josh Minott;2:36;1;1;1.000;0;0;;2;2;1.000;0;0;0;1;0;0;0;0;4;+5
14/12/2022;MIN;12;garzalu01;Luka Garza;2:36;0;1;.000;0;1;.000;0;0;;0;0;0;0;0;0;0;0;0;+5
14/12/2022;MIN;13;ryanma01;Matt Ryan;2:36;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;+5
14/12/2022;MIN;0;georgpa01;Paul George;33:23;4;13;.308;2;7;.286;7;8;.875;3;8;11;11;0;0;4;2;17;+9
14/12/2022;MIN;1;leonaka01;Kawhi Leonard;30:37;7;18;.389;1;6;.167;4;6;.667;3;5;8;1;2;1;1;3;19;+11
14/12/2022;MIN;2;morrima03;Marcus Morris;28:45;4;13;.308;2;8;.250;2;2;1.000;2;5;7;1;1;0;1;1;12;+8
14/12/2022;MIN;3;jacksre01;Reggie Jackson;25:39;4;9;.444;1;2;.500;1;1;1.000;0;3;3;1;2;0;1;4;10;0
14/12/2022;MIN;4;zubaciv01;Ivica Zubac;17:15;1;5;.200;0;0;;0;0;;5;3;8;0;0;0;2;2;2;-10
14/12/2022;MIN;5;Reserves;Reserves
14/12/2022;MIN;6;batumni01;Nicolas Batum;30:44;5;9;.556;3;7;.429;0;0;;1;6;7;2;2;0;1;1;13;+30
14/12/2022;MIN;7;mannte01;Terance Mann;23:47;2;6;.333;0;2;.000;1;2;.500;0;5;5;2;0;0;1;1;5;+3
14/12/2022;MIN;8;kennalu01;Luke Kennard;22:35;5;8;.625;4;7;.571;2;2;1.000;0;0;0;0;0;1;0;2;16;+16
14/12/2022;MIN;9;covinro01;Robert Covington;19:15;2;7;.286;1;6;.167;0;0;;0;3;3;2;1;0;2;4;5;+3
14/12/2022;MIN;10;coffeam01;Amir Coffey;2:48;0;0;;0;0;;0;0;;0;0;0;0;0;0;1;0;0;-5
14/12/2022;MIN;11;bostobr01;Brandon Boston Jr.;2:36;0;1;.000;0;1;.000;0;0;;0;0;0;0;0;0;0;0;0;-5
14/12/2022;MIN;12;brownmo01;Moses Brown;2:36;0;0;;0;0;;0;0;;0;0;0;1;0;0;0;1;0;-5
