dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
27/12/2022;ATL;0;murrade01;Dejounte Murray;34:44;4;12;.333;1;3;.333;5;6;.833;0;2;2;3;1;0;1;1;14;-20
27/12/2022;ATL;1;youngtr01;Trae Young;34:06;5;15;.333;3;6;.500;9;10;.900;0;3;3;10;0;1;4;1;22;-15
27/12/2022;ATL;2;bogdabo01;Bogdan Bogdanović;32:25;7;12;.583;3;5;.600;1;2;.500;1;3;4;3;1;1;1;2;18;-19
27/12/2022;ATL;3;collijo01;John Collins;29:40;11;17;.647;3;6;.500;1;3;.333;2;8;10;0;0;1;1;6;26;-15
27/12/2022;ATL;4;okongon01;Onyeka Okongwu;20:42;3;5;.600;0;0;;0;0;;3;5;8;0;1;0;1;5;6;-9
27/12/2022;ATL;5;Reserves;Reserves
27/12/2022;ATL;6;griffaj01;AJ Griffin;27:20;4;10;.400;1;4;.250;0;0;;0;1;1;1;0;0;1;0;9;-6
27/12/2022;ATL;7;johnsja05;Jalen Johnson;21:28;1;3;.333;0;1;.000;6;8;.750;1;7;8;5;1;0;0;3;8;+2
27/12/2022;ATL;8;holidaa01;Aaron Holiday;11:18;0;2;.000;0;0;;0;0;;1;0;1;2;0;0;0;1;0;-1
27/12/2022;ATL;9;kaminfr01;Frank Kaminsky;8:25;2;3;.667;0;1;.000;0;0;;0;1;1;1;0;0;0;0;4;+1
27/12/2022;ATL;10;holidju01;Justin Holiday;6:51;1;5;.200;1;3;.333;0;0;;1;1;2;1;0;0;0;0;3;-8
27/12/2022;ATL;11;forretr01;Trent Forrest;4:30;1;2;.500;0;0;;0;0;;0;0;0;0;0;0;0;0;2;+5
27/12/2022;ATL;12;krejcvi01;Vit Krejci;4:15;1;2;.500;0;1;.000;0;0;;0;1;1;0;0;0;0;0;2;+5
27/12/2022;ATL;13;martity01;Tyrese Martin;4:15;0;1;.000;0;0;;0;0;;0;1;1;0;0;0;0;0;0;+5
27/12/2022;ATL;0;halibty01;Tyrese Haliburton;30:15;9;16;.563;3;8;.375;2;3;.667;1;2;3;7;1;0;1;0;23;+10
27/12/2022;ATL;1;hieldbu01;Buddy Hield;29:45;11;16;.688;6;7;.857;0;0;;1;8;9;2;0;0;0;0;28;+11
27/12/2022;ATL;2;nembhan01;Andrew Nembhard;26:57;2;6;.333;1;2;.500;0;0;;0;3;3;5;2;0;1;1;5;-5
27/12/2022;ATL;3;turnemy01;Myles Turner;24:54;6;11;.545;0;2;.000;6;8;.750;2;4;6;1;0;1;1;2;18;+10
27/12/2022;ATL;4;nesmiaa01;Aaron Nesmith;19:22;0;6;.000;0;4;.000;3;3;1.000;1;5;6;2;0;1;0;6;3;+4
27/12/2022;ATL;5;Reserves;Reserves
27/12/2022;ATL;6;mathube01;Bennedict Mathurin;25:33;6;10;.600;0;4;.000;6;6;1.000;0;2;2;3;0;0;2;2;18;+11
27/12/2022;ATL;7;mccontj01;T.J. McConnell;20:39;3;7;.429;0;0;;0;0;;1;4;5;6;0;0;2;0;6;+5
27/12/2022;ATL;8;smithja04;Jalen Smith;20:28;4;6;.667;0;1;.000;1;1;1.000;1;6;7;0;0;0;1;2;9;+9
27/12/2022;ATL;9;brissos01;Oshae Brissett;19:30;5;6;.833;2;3;.667;4;6;.667;0;5;5;1;0;0;2;1;16;+28
27/12/2022;ATL;10;duartch01;Chris Duarte;14:42;1;6;.167;1;4;.250;0;0;;0;2;2;1;0;0;0;2;3;+4
27/12/2022;ATL;11;jacksis01;Isaiah Jackson;2:38;0;1;.000;0;0;;0;0;;0;1;1;0;0;0;0;0;0;-4
27/12/2022;ATL;12;johnsja01;James Johnson;2:38;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;-4
27/12/2022;ATL;13;taylote01;Terry Taylor;2:38;0;1;.000;0;0;;0;0;;0;0;0;0;0;0;0;0;0;-4
27/12/2022;ATL;14;bitadgo01;Goga Bitadze;Did Not Play
