dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
04/01/2023;MEM;0;adamsst01;Steven Adams;27:12;3;7;.429;0;0;;3;7;.429;4;11;15;2;1;2;2;1;9;+24
04/01/2023;MEM;1;moranja01;Ja Morant;26:40;8;17;.471;2;5;.400;5;6;.833;0;1;1;8;2;0;1;1;23;+16
04/01/2023;MEM;2;banede01;Desmond Bane;26:07;8;16;.500;2;6;.333;1;2;.500;0;11;11;4;1;0;2;3;19;+24
04/01/2023;MEM;3;brookdi01;Dillon Brooks;25:22;6;10;.600;1;4;.250;5;5;1.000;0;2;2;0;1;1;2;2;18;+17
04/01/2023;MEM;4;jacksja02;Jaren Jackson Jr.;24:05;6;10;.600;1;3;.333;4;5;.800;1;7;8;1;0;3;1;3;17;+12
04/01/2023;MEM;5;Reserves;Reserves
04/01/2023;MEM;6;tillmxa01;Xavier Tillman Sr.;20:47;5;9;.556;0;1;.000;0;0;;2;4;6;2;2;1;0;1;10;0
04/01/2023;MEM;7;aldamsa01;Santi Aldama;20:11;3;6;.500;0;3;.000;2;2;1.000;0;3;3;2;0;1;0;1;8;+17
04/01/2023;MEM;8;roddyda01;David Roddy;19:07;3;4;.750;0;1;.000;3;4;.750;0;3;3;1;0;0;0;0;9;+7
04/01/2023;MEM;9;konchjo01;John Konchar;18:49;1;1;1.000;0;0;;0;0;;0;2;2;2;2;0;1;1;2;+10
04/01/2023;MEM;10;jonesty01;Tyus Jones;14:46;2;7;.286;2;6;.333;2;2;1.000;0;0;0;4;1;0;0;0;8;+18
04/01/2023;MEM;11;willizi02;Ziaire Williams;6:34;1;5;.200;1;1;1.000;2;2;1.000;3;3;6;0;0;0;4;3;5;-10
04/01/2023;MEM;12;chandke01;Kennedy Chandler;6:34;1;2;.500;0;0;;1;2;.500;1;1;2;1;0;0;1;0;3;-10
04/01/2023;MEM;13;willivi01;Vince Williams Jr.;3:44;0;0;;0;0;;0;0;;0;0;0;1;0;0;0;0;0;-5
04/01/2023;MEM;0;ballla01;LaMelo Ball;35:00;7;23;.304;4;13;.308;5;5;1.000;1;3;4;12;1;0;1;2;23;-15
04/01/2023;MEM;1;washipj01;P.J. Washington;34:16;6;14;.429;2;7;.286;1;2;.500;1;0;1;2;1;2;0;3;15;-10
04/01/2023;MEM;2;roziete01;Terry Rozier;28:38;7;18;.389;3;9;.333;4;4;1.000;2;1;3;4;2;0;1;4;21;-8
04/01/2023;MEM;3;mcdanja01;Jalen McDaniels;27:24;6;11;.545;1;5;.200;3;4;.750;0;7;7;0;2;2;3;1;16;-27
04/01/2023;MEM;4;plumlma01;Mason Plumlee;23:06;2;2;1.000;0;0;;3;3;1.000;2;8;10;1;0;2;1;3;7;-3
04/01/2023;MEM;5;Reserves;Reserves
04/01/2023;MEM;6;smithde03;Dennis Smith Jr.;22:35;3;8;.375;0;1;.000;1;2;.500;0;2;2;3;2;0;2;2;7;-15
04/01/2023;MEM;7;martico01;Cody Martin;21:01;2;7;.286;0;2;.000;0;0;;2;2;4;2;1;0;1;1;4;-11
04/01/2023;MEM;8;willima07;Mark Williams;20:13;1;5;.200;0;0;;0;0;;1;7;8;0;1;1;2;3;2;-23
04/01/2023;MEM;9;thorjt01;JT Thor;9:03;1;1;1.000;1;1;1.000;0;0;;0;2;2;0;0;0;0;1;3;-16
04/01/2023;MEM;10;richani01;Nick Richards;4:41;1;1;1.000;0;0;;2;2;1.000;1;1;2;0;0;0;0;3;4;+2
04/01/2023;MEM;11;mcgowbr01;Bryce McGowens;4:41;1;2;.500;0;0;;1;2;.500;0;0;0;1;0;0;1;0;3;+2
04/01/2023;MEM;12;joneska01;Kai Jones;4:41;1;2;.500;0;0;;0;0;;0;1;1;0;0;1;0;0;2;+2
04/01/2023;MEM;13;bouknja01;James Bouknight;4:41;0;0;;0;0;;0;0;;0;0;0;0;1;0;0;0;0;+2
