dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
14/01/2023;DAL;0;doncilu01;Luka Dončić;35:33;7;19;.368;0;5;.000;1;6;.167;0;6;6;10;1;1;1;2;15;-17
14/01/2023;DAL;1;dinwisp01;Spencer Dinwiddie;33:09;8;12;.667;4;6;.667;5;5;1.000;0;1;1;5;0;0;3;2;25;-14
14/01/2023;DAL;2;hardati02;Tim Hardaway Jr.;32:27;4;10;.400;2;7;.286;0;0;;0;2;2;0;0;0;1;1;10;-17
14/01/2023;DAL;3;bullore01;Reggie Bullock;28:46;8;10;.800;8;10;.800;0;0;;0;2;2;1;1;0;0;3;24;-8
14/01/2023;DAL;4;poweldw01;Dwight Powell;24:07;3;4;.750;0;0;;2;4;.500;0;2;2;0;0;0;0;5;8;-3
14/01/2023;DAL;5;Reserves;Reserves
14/01/2023;DAL;6;ntilila01;Frank Ntilikina;22:47;3;5;.600;1;3;.333;0;0;;0;1;1;0;1;0;2;1;7;-12
14/01/2023;DAL;7;bertada01;Dāvis Bertāns;17:47;2;3;.667;2;3;.667;0;0;;0;1;1;2;0;0;0;1;6;-14
14/01/2023;DAL;8;pinsoth01;Theo Pinson;12:52;4;7;.571;3;6;.500;0;0;;0;1;1;3;0;0;0;0;11;-4
14/01/2023;DAL;9;hardyja02;Jaden Hardy;10:19;2;5;.400;1;3;.333;2;2;1.000;0;2;2;1;0;0;1;1;7;+4
14/01/2023;DAL;10;mcgeeja01;JaVale McGee;8:13;1;2;.500;0;0;;0;0;;2;3;5;1;1;1;2;2;2;-8
14/01/2023;DAL;11;lawsoaj01;A.J. Lawson;7:00;1;4;.250;1;2;.500;0;0;;0;1;1;1;0;0;0;0;3;+4
14/01/2023;DAL;12;wrighmc01;McKinley Wright IV;7:00;0;1;.000;0;1;.000;1;2;.500;0;1;1;4;0;1;0;0;1;+4
14/01/2023;DAL;0;grantje01;Jerami Grant;34:26;6;9;.667;2;4;.500;2;2;1.000;1;4;5;4;2;1;2;2;16;+15
14/01/2023;DAL;1;simonan01;Anfernee Simons;29:21;6;12;.500;3;8;.375;6;6;1.000;0;4;4;5;0;2;0;2;21;+18
14/01/2023;DAL;2;lillada01;Damian Lillard;29:17;11;20;.550;4;11;.364;10;10;1.000;0;5;5;10;0;0;1;2;36;+12
14/01/2023;DAL;3;hartjo01;Josh Hart;27:12;5;8;.625;1;3;.333;0;1;.000;0;4;4;6;0;0;1;0;11;+15
14/01/2023;DAL;4;nurkiju01;Jusuf Nurkić;22:43;9;15;.600;3;5;.600;1;1;1.000;2;9;11;3;1;0;3;3;22;+11
14/01/2023;DAL;5;Reserves;Reserves
14/01/2023;DAL;6;sharpsh01;Shaedon Sharpe;31:25;5;12;.417;2;8;.250;0;0;;2;2;4;1;0;0;0;2;12;+11
14/01/2023;DAL;7;eubandr01;Drew Eubanks;19:52;1;1;1.000;0;0;;0;0;;2;2;4;2;0;1;0;3;2;+13
14/01/2023;DAL;8;paytoga02;Gary Payton II;15:23;4;5;.800;2;2;1.000;0;0;;0;2;2;2;4;0;0;5;10;+9
14/01/2023;DAL;9;walkeja01;Jabari Walker;13:34;0;1;.000;0;0;;0;0;;1;1;2;1;0;0;0;1;0;+2
14/01/2023;DAL;10;johnske07;Keon Johnson;5:56;0;1;.000;0;0;;0;0;;0;0;0;0;0;0;0;0;0;-7
14/01/2023;DAL;11;watfotr01;Trendon Watford;5:25;1;2;.500;0;0;;2;2;1.000;2;0;2;0;0;0;1;0;4;-7
14/01/2023;DAL;12;browngr01;Greg Brown III;5:25;1;2;.500;0;0;;0;0;;0;4;4;0;0;0;1;0;2;-7
