dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
30/01/2023;LAL;0;beverpa01;Patrick Beverley;34:46;1;8;.125;1;5;.200;2;2;1.000;0;1;1;3;0;0;0;4;5;+1
30/01/2023;LAL;1;schrode01;Dennis Schröder;33:59;2;15;.133;1;4;.250;5;6;.833;0;6;6;5;0;0;0;3;10;+4
30/01/2023;LAL;2;browntr01;Troy Brown Jr.;31:01;4;8;.500;2;3;.667;1;2;.500;7;10;17;4;0;0;2;0;11;+3
30/01/2023;LAL;3;hachiru01;Rui Hachimura;27:48;6;13;.462;1;2;.500;3;6;.500;2;2;4;1;0;0;1;0;16;-11
30/01/2023;LAL;4;bryanth01;Thomas Bryant;26:45;7;8;.875;1;2;.500;3;7;.429;2;7;9;0;0;1;1;1;18;+1
30/01/2023;LAL;5;Reserves;Reserves
30/01/2023;LAL;6;westbru01;Russell Westbrook;29:40;5;15;.333;3;6;.500;4;7;.571;2;6;8;10;1;1;6;2;17;-10
30/01/2023;LAL;7;walkelo01;Lonnie Walker IV;22:27;4;9;.444;2;4;.500;3;3;1.000;0;1;1;0;0;1;1;3;13;-25
30/01/2023;LAL;8;gabriwe01;Wenyen Gabriel;15:58;5;10;.500;0;2;.000;1;2;.500;1;3;4;0;0;0;0;0;11;-18
30/01/2023;LAL;9;toscaju01;Juan Toscano-Anderson;7:50;0;1;.000;0;0;;0;0;;2;0;2;1;0;0;1;1;0;-14
30/01/2023;LAL;10;chrisma02;Max Christie;7:46;1;2;.500;0;1;.000;1;2;.500;0;1;1;0;0;0;1;2;3;-13
30/01/2023;LAL;11;jonesda03;Damian Jones;2:00;0;0;;0;0;;0;0;;0;0;0;0;0;0;1;0;0;-3
30/01/2023;LAL;0;irvinky01;Kyrie Irving;38:32;7;16;.438;3;7;.429;9;11;.818;1;6;7;6;2;1;2;4;26;+10
30/01/2023;LAL;1;onealro01;Royce O'Neale;28:08;5;10;.500;3;7;.429;1;1;1.000;1;5;6;3;2;1;0;3;14;+5
30/01/2023;LAL;2;claxtni01;Nic Claxton;26:59;3;7;.429;0;0;;0;0;;2;10;12;3;1;1;2;3;6;+9
30/01/2023;LAL;3;curryse01;Seth Curry;21:48;3;11;.273;0;5;.000;0;0;;0;2;2;0;0;0;0;1;6;-9
30/01/2023;LAL;4;harrijo01;Joe Harris;17:45;1;5;.200;1;5;.200;0;0;;0;2;2;3;0;1;0;3;3;-14
30/01/2023;LAL;5;Reserves;Reserves
30/01/2023;LAL;6;millspa02;Patty Mills;26:12;7;12;.583;4;7;.571;3;3;1.000;0;0;0;3;2;0;0;2;21;+26
30/01/2023;LAL;7;thomaca02;Cam Thomas;23:02;8;13;.615;4;6;.667;1;1;1.000;0;4;4;1;0;0;3;1;21;+25
30/01/2023;LAL;8;watanyu01;Yuta Watanabe;21:21;5;7;.714;1;3;.333;1;3;.333;0;1;1;0;0;2;0;1;12;+11
30/01/2023;LAL;9;sharpda01;Day'Ron Sharpe;20:36;4;8;.500;0;0;;0;0;;8;6;14;3;1;2;1;5;8;+9
30/01/2023;LAL;10;sumneed01;Edmond Sumner;8:24;1;5;.200;0;1;.000;0;0;;0;1;1;2;0;0;0;0;2;+7
30/01/2023;LAL;11;morrima02;Markieff Morris;7:13;1;1;1.000;0;0;;0;0;;0;1;1;0;0;1;1;2;2;+6
