dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
01/02/2023;ATL;0;murrade01;Dejounte Murray;29:38;8;13;.615;4;7;.571;1;3;.333;0;6;6;8;0;0;1;3;21;+40
01/02/2023;ATL;1;youngtr01;Trae Young;27:10;8;17;.471;3;3;1.000;1;1;1.000;0;1;1;12;1;0;4;1;20;+21
01/02/2023;ATL;2;huntede01;De'Andre Hunter;25:13;6;9;.667;1;2;.500;2;2;1.000;1;4;5;1;1;0;0;2;15;+23
01/02/2023;ATL;3;collijo01;John Collins;24:16;4;8;.500;1;4;.250;0;0;;0;2;2;0;0;3;1;3;9;+21
01/02/2023;ATL;4;capelca01;Clint Capela;22:22;4;9;.444;0;0;;1;1;1.000;3;7;10;1;1;0;0;1;9;+17
01/02/2023;ATL;5;Reserves;Reserves
01/02/2023;ATL;6;bogdabo01;Bogdan Bogdanović;24:46;6;10;.600;4;7;.571;2;2;1.000;0;2;2;3;0;0;2;3;18;+21
01/02/2023;ATL;7;okongon01;Onyeka Okongwu;19:57;7;7;1.000;1;1;1.000;2;2;1.000;2;2;4;0;1;2;2;4;17;+24
01/02/2023;ATL;8;griffaj01;AJ Griffin;18:39;2;3;.667;1;1;1.000;0;0;;0;2;2;2;1;0;1;2;5;+18
01/02/2023;ATL;9;johnsja05;Jalen Johnson;16:30;2;4;.500;2;3;.667;0;0;;0;11;11;1;0;0;1;1;6;+20
01/02/2023;ATL;10;holidaa01;Aaron Holiday;7:13;2;3;.667;1;2;.500;0;0;;0;1;1;1;0;0;0;0;5;-9
01/02/2023;ATL;11;forretr01;Trent Forrest;7:13;0;2;.000;0;0;;0;0;;0;0;0;0;0;0;0;0;0;-9
01/02/2023;ATL;12;holidju01;Justin Holiday;5:41;2;3;.667;1;2;.500;0;0;;0;0;0;1;0;0;0;1;5;-9
01/02/2023;ATL;13;kaminfr01;Frank Kaminsky;5:41;1;2;.500;0;0;;0;0;;0;0;0;1;0;0;0;2;2;-9
01/02/2023;ATL;14;krejcvi01;Vit Krejci;5:41;0;1;.000;0;1;.000;0;0;;0;1;1;1;1;0;0;1;0;-9
01/02/2023;ATL;0;bridgmi01;Mikal Bridges;29:59;6;18;.333;1;7;.143;10;10;1.000;1;4;5;7;0;0;2;1;23;-18
01/02/2023;ATL;1;aytonde01;Deandre Ayton;26:32;9;12;.750;0;0;;2;3;.667;1;8;9;0;0;0;0;0;20;-26
01/02/2023;ATL;2;paulch01;Chris Paul;26:31;1;6;.167;0;3;.000;1;2;.500;0;2;2;3;0;1;2;2;3;-26
01/02/2023;ATL;3;craigto01;Torrey Craig;22:56;3;5;.600;1;3;.333;0;0;;4;4;8;1;2;1;3;2;7;-19
01/02/2023;ATL;4;johnsca02;Cameron Johnson;15:19;2;7;.286;1;3;.333;1;1;1.000;0;1;1;0;0;0;2;2;6;-31
01/02/2023;ATL;5;Reserves;Reserves
01/02/2023;ATL;6;saricda01;Dario Šarić;21:32;4;7;.571;0;2;.000;3;4;.750;0;5;5;3;1;1;2;0;11;+4
01/02/2023;ATL;7;leesa01;Saben Lee;21:29;2;6;.333;0;0;;2;2;1.000;1;2;3;3;3;0;1;1;6;-6
01/02/2023;ATL;8;leeda03;Damion Lee;20:51;3;11;.273;0;4;.000;4;4;1.000;0;2;2;0;0;0;1;0;10;-19
01/02/2023;ATL;9;wainris01;Ish Wainright;18:58;1;3;.333;1;2;.500;1;1;1.000;1;1;2;0;1;0;1;2;4;-6
01/02/2023;ATL;10;okogijo01;Josh Okogie;15:22;0;4;.000;0;2;.000;2;4;.500;2;0;2;3;1;1;0;2;2;-10
01/02/2023;ATL;11;landajo01;Jock Landale;10:31;3;6;.500;0;2;.000;0;0;;2;3;5;0;0;0;1;1;6;+6
01/02/2023;ATL;12;biyombi01;Bismack Biyombo;10:00;1;1;1.000;0;0;;0;0;;0;0;0;2;0;0;1;0;2;-9
