dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
06/02/2023;SAS;0;branhma01;Malaki Branham;32:23;6;18;.333;3;8;.375;0;0;;0;5;5;4;0;0;1;4;15;-10
06/02/2023;SAS;1;richajo01;Josh Richardson;31:13;5;14;.357;1;4;.250;0;0;;0;0;0;3;4;0;2;3;11;-8
06/02/2023;SAS;2;poeltja01;Jakob Poeltl;29:40;6;11;.545;0;1;.000;2;3;.667;4;5;9;4;0;2;3;2;14;-9
06/02/2023;SAS;3;johnske04;Keldon Johnson;29:09;8;12;.667;0;2;.000;5;5;1.000;0;2;2;2;1;0;3;2;21;-9
06/02/2023;SAS;4;bateske01;Keita Bates-Diop;25:39;3;5;.600;1;2;.500;2;2;1.000;0;5;5;2;0;1;2;3;9;-17
06/02/2023;SAS;5;Reserves;Reserves
06/02/2023;SAS;6;weslebl01;Blake Wesley;22:16;2;6;.333;1;1;1.000;0;0;;0;5;5;1;1;0;2;1;5;-20
06/02/2023;SAS;7;mcderdo01;Doug McDermott;18:31;2;7;.286;2;4;.500;0;0;;0;2;2;3;0;0;0;1;6;-8
06/02/2023;SAS;8;johnsst04;Stanley Johnson;17:57;1;1;1.000;0;0;;1;1;1.000;0;3;3;3;1;0;0;2;3;-13
06/02/2023;SAS;9;robyis01;Isaiah Roby;14:52;3;6;.500;0;2;.000;2;2;1.000;0;4;4;1;0;0;2;1;8;-11
06/02/2023;SAS;10;colliza01;Zach Collins;12:47;3;8;.375;0;2;.000;2;2;1.000;1;1;2;2;0;0;3;3;8;-9
06/02/2023;SAS;11;barlodo01;Dominick Barlow;5:33;1;2;.500;0;0;;2;2;1.000;1;0;1;0;0;0;0;1;4;-6
06/02/2023;SAS;0;derozde01;DeMar DeRozan;33:45;8;17;.471;0;1;.000;3;3;1.000;0;1;1;5;1;0;2;1;19;+32
06/02/2023;SAS;1;dosunay01;Ayo Dosunmu;30:47;4;6;.667;0;0;;2;2;1.000;1;3;4;4;0;0;1;1;10;-3
06/02/2023;SAS;2;lavinza01;Zach LaVine;30:33;7;14;.500;1;5;.200;5;5;1.000;0;4;4;3;0;0;2;2;20;+6
06/02/2023;SAS;3;vucevni01;Nikola Vučević;23:35;10;18;.556;2;6;.333;0;0;;1;11;12;4;1;2;3;2;22;-3
06/02/2023;SAS;4;willipa01;Patrick Williams;18:06;4;7;.571;1;2;.500;2;2;1.000;1;5;6;3;1;0;1;0;11;+7
06/02/2023;SAS;5;Reserves;Reserves
06/02/2023;SAS;6;whiteco01;Coby White;33:28;4;8;.500;1;4;.250;3;3;1.000;0;1;1;4;2;0;0;1;12;+20
06/02/2023;SAS;7;jonesde02;Derrick Jones Jr.;26:24;1;2;.500;1;1;1.000;2;2;1.000;0;3;3;1;2;2;0;3;5;+19
06/02/2023;SAS;8;drumman01;Andre Drummond;20:54;9;9;1.000;0;0;;3;4;.750;3;12;15;1;3;1;3;1;21;+30
06/02/2023;SAS;9;dragigo01;Goran Dragić;15:26;2;5;.400;0;2;.000;0;0;;1;2;3;2;0;0;1;0;4;+18
06/02/2023;SAS;10;bradlto01;Tony Bradley;3:31;0;1;.000;0;0;;2;2;1.000;0;0;0;0;0;0;0;1;2;-3
06/02/2023;SAS;11;terryda01;Dalen Terry;3:31;1;2;.500;0;1;.000;0;2;.000;0;0;0;0;0;1;0;0;2;-3
