dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
15/02/2023;HOU;0;smithja05;Jabari Smith Jr.;29:01;4;8;.500;2;4;.500;5;6;.833;2;7;9;2;2;2;2;3;15;-26
15/02/2023;HOU;1;martike04;Kenyon Martin Jr.;27:58;1;9;.111;0;3;.000;2;4;.500;2;4;6;2;0;1;1;2;4;-24
15/02/2023;HOU;2;sengual01;Alperen Şengün;21:35;4;12;.333;0;1;.000;0;0;;5;5;10;2;0;0;3;4;8;-20
15/02/2023;HOU;3;tateja01;Jae'Sean Tate;18:46;4;7;.571;1;2;.500;2;5;.400;1;1;2;1;0;0;2;4;11;-23
15/02/2023;HOU;4;greenja05;Jalen Green;16:05;3;10;.300;2;4;.500;6;7;.857;0;2;2;2;0;1;1;2;14;-14
15/02/2023;HOU;5;Reserves;Reserves
15/02/2023;HOU;6;chrisjo01;Josh Christopher;22:21;4;6;.667;1;1;1.000;1;2;.500;1;1;2;3;1;1;4;5;10;-13
15/02/2023;HOU;7;easonta01;Tari Eason;19:05;2;4;.500;0;1;.000;6;10;.600;1;2;3;2;1;0;2;5;10;-19
15/02/2023;HOU;8;washity02;TyTy Washington Jr.;18:55;3;11;.273;2;6;.333;0;0;;0;1;1;0;0;0;0;0;8;-24
15/02/2023;HOU;9;daysda01;Darius Days;17:20;2;7;.286;1;6;.167;2;2;1.000;0;3;3;0;0;1;0;2;7;-3
15/02/2023;HOU;10;garubus01;Usman Garuba;14:51;0;0;;0;0;;0;0;;1;3;4;1;1;0;1;4;0;-7
15/02/2023;HOU;11;hudgitr01;Trevor Hudgins;13:31;1;8;.125;1;7;.143;0;0;;0;0;0;0;0;0;0;1;3;-4
15/02/2023;HOU;12;kaminfr01;Frank Kaminsky;13:26;1;4;.250;0;2;.000;2;2;1.000;1;2;3;5;0;1;0;1;4;-3
15/02/2023;HOU;13;marjabo01;Boban Marjanović;7:06;1;3;.333;0;0;;0;0;;0;2;2;0;0;0;1;0;2;-5
15/02/2023;HOU;14;nixda01;Daishen Nix;Did Not Play
15/02/2023;HOU;0;gilgesh01;Shai Gilgeous-Alexander;29:03;8;16;.500;0;2;.000;13;15;.867;0;2;2;6;0;2;1;3;29;+27
15/02/2023;HOU;1;willija07;Jaylin Williams;25:32;3;9;.333;2;5;.400;0;0;;1;15;16;0;2;0;1;3;8;+15
15/02/2023;HOU;2;giddejo01;Josh Giddey;24:30;5;10;.500;0;1;.000;3;4;.750;0;3;3;6;1;1;2;1;13;+25
15/02/2023;HOU;3;dortlu01;Luguentz Dort;24:18;5;9;.556;1;5;.200;4;4;1.000;1;2;3;3;1;0;0;3;15;+21
15/02/2023;HOU;4;willija06;Jalen Williams;22:13;5;7;.714;1;2;.500;2;2;1.000;3;1;4;2;1;0;2;4;13;+30
15/02/2023;HOU;5;Reserves;Reserves
15/02/2023;HOU;6;waterli01;Lindy Waters III;18:21;2;7;.286;2;7;.286;0;0;;0;2;2;0;1;0;0;0;6;+6
15/02/2023;HOU;7;robinje02;Jeremiah Robinson-Earl;18:15;3;4;.750;0;0;;3;4;.750;1;2;3;0;0;0;0;1;9;+24
15/02/2023;HOU;8;willike04;Kenrich Williams;18:04;3;7;.429;0;2;.000;0;0;;2;3;5;2;0;1;1;1;6;+23
15/02/2023;HOU;9;joeis01;Isaiah Joe;16:31;1;4;.250;1;3;.333;4;4;1.000;0;3;3;2;0;0;0;0;7;+14
15/02/2023;HOU;10;saricda01;Dario Šarić;14:10;4;6;.667;1;3;.333;3;3;1.000;1;4;5;0;1;0;2;3;12;+10
15/02/2023;HOU;11;manntr01;Tre Mann;10:13;1;4;.250;1;3;.333;1;2;.500;0;0;0;0;0;0;1;0;4;0
15/02/2023;HOU;12;wiggiaa01;Aaron Wiggins;9:52;1;1;1.000;0;0;;4;4;1.000;1;1;2;0;0;0;0;1;6;-8
15/02/2023;HOU;13;omorueu01;Eugene Omoruyi;8:58;1;3;.333;0;1;.000;3;5;.600;0;1;1;0;1;0;0;1;5;-2
