dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
12/03/2023;POR;0;reddica01;Cam Reddish;26:21;4;8;.500;0;4;.000;3;4;.750;0;4;4;3;0;0;2;2;11;-16
12/03/2023;POR;1;simonan01;Anfernee Simons;24:49;7;15;.467;2;7;.286;1;1;1.000;0;2;2;4;0;0;1;2;17;-17
12/03/2023;POR;2;thybuma01;Matisse Thybulle;24:18;4;6;.667;2;3;.667;0;0;;0;0;0;0;3;0;2;2;10;-17
12/03/2023;POR;3;grantje01;Jerami Grant;19:14;2;7;.286;0;3;.000;3;4;.750;0;2;2;4;1;0;1;0;7;-26
12/03/2023;POR;4;nurkiju01;Jusuf Nurkić;10:23;0;5;.000;0;2;.000;0;0;;1;1;2;0;1;0;2;2;0;-20
12/03/2023;POR;5;Reserves;Reserves
12/03/2023;POR;6;littlna01;Nassir Little;25:31;4;8;.500;0;2;.000;2;2;1.000;1;5;6;4;0;0;0;2;10;-18
12/03/2023;POR;7;watfotr01;Trendon Watford;22:35;5;8;.625;0;0;;0;1;.000;1;6;7;3;2;0;1;1;10;-6
12/03/2023;POR;8;sharpsh01;Shaedon Sharpe;21:39;5;7;.714;2;3;.667;2;3;.667;1;3;4;3;0;0;4;2;14;-1
12/03/2023;POR;9;arcidry01;Ryan Arcidiacono;16:44;2;3;.667;1;1;1.000;0;0;;0;1;1;1;1;0;1;5;5;-11
12/03/2023;POR;10;eubandr01;Drew Eubanks;12:26;3;4;.750;0;0;;0;1;.000;2;5;7;0;1;0;1;0;6;-10
12/03/2023;POR;11;knoxke01;Kevin Knox;12:00;6;7;.857;2;3;.667;0;0;;1;4;5;1;0;0;0;2;14;+19
12/03/2023;POR;12;walkeja01;Jabari Walker;12:00;1;4;.250;1;1;1.000;2;2;1.000;2;2;4;0;1;1;1;0;5;+19
12/03/2023;POR;13;johnske07;Keon Johnson;12:00;0;6;.000;0;4;.000;1;2;.500;1;1;2;3;0;1;1;1;1;+19
12/03/2023;POR;0;joneshe01;Herbert Jones;30:43;7;9;.778;2;4;.500;0;0;;0;4;4;7;2;0;2;2;16;+43
12/03/2023;POR;1;murphtr02;Trey Murphy III;29:47;13;20;.650;9;14;.643;6;6;1.000;1;6;7;1;1;1;1;2;41;+44
12/03/2023;POR;2;mccolcj01;CJ McCollum;29:40;8;17;.471;4;8;.500;2;4;.500;1;4;5;11;1;0;3;0;22;+25
12/03/2023;POR;3;marshna01;Naji Marshall;28:23;2;3;.667;0;1;.000;0;0;;0;3;3;5;0;0;3;1;4;+18
12/03/2023;POR;4;valanjo01;Jonas Valančiūnas;20:52;5;8;.625;0;0;;1;1;1.000;3;9;12;2;0;2;1;2;11;+29
12/03/2023;POR;5;Reserves;Reserves
12/03/2023;POR;6;richajo01;Josh Richardson;28:10;5;11;.455;4;8;.500;5;6;.833;0;2;2;1;4;2;0;2;19;-5
12/03/2023;POR;7;daniedy01;Dyson Daniels;26:02;0;4;.000;0;2;.000;2;2;1.000;0;1;1;4;0;0;3;2;2;-13
12/03/2023;POR;8;hayesja02;Jaxson Hayes;12:32;0;3;.000;0;0;;3;6;.500;1;3;4;2;1;1;0;1;3;-15
12/03/2023;POR;9;lewiski01;Kira Lewis Jr.;10:31;2;6;.333;0;1;.000;0;0;;0;0;0;0;2;1;1;3;4;-22
12/03/2023;POR;10;templga01;Garrett Temple;8:44;0;4;.000;0;2;.000;0;0;;2;0;2;1;0;0;0;0;0;-22
12/03/2023;POR;11;nancela02;Larry Nance Jr.;8:09;1;1;1.000;0;0;;0;0;;0;2;2;0;0;0;0;3;2;+14
12/03/2023;POR;12;hernawi01;Willy Hernangómez;6:27;0;0;;0;0;;3;4;.750;0;1;1;1;0;0;1;1;3;-11
