dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
18/03/2023;SAC;0;murrake02;Keegan Murray;35:07;7;15;.467;5;10;.500;0;2;.000;0;5;5;2;2;1;0;1;19;+25
18/03/2023;SAC;1;sabondo01;Domantas Sabonis;33:14;10;12;.833;0;1;.000;10;12;.833;2;7;9;10;1;1;1;2;30;+27
18/03/2023;SAC;2;barneha02;Harrison Barnes;27:21;3;7;.429;2;3;.667;3;3;1.000;0;3;3;2;0;0;0;1;11;+7
18/03/2023;SAC;3;foxde01;De'Aaron Fox;26:21;6;12;.500;0;2;.000;0;3;.000;1;1;2;7;1;1;2;2;12;-11
18/03/2023;SAC;4;edwarke02;Kessler Edwards;18:57;3;3;1.000;2;2;1.000;1;2;.500;1;1;2;1;0;0;0;3;9;-5
18/03/2023;SAC;5;Reserves;Reserves
18/03/2023;SAC;6;daviste02;Terence Davis;29:27;8;13;.615;5;7;.714;0;1;.000;0;7;7;0;2;0;1;2;21;+18
18/03/2023;SAC;7;monkma01;Malik Monk;23:23;6;12;.500;5;7;.714;0;0;;0;4;4;6;0;1;1;3;17;+14
18/03/2023;SAC;8;mitchda01;Davion Mitchell;18:45;2;3;.667;2;2;1.000;0;0;;0;2;2;3;1;0;0;2;6;+32
18/03/2023;SAC;9;metuch01;Chimezie Metu;10:33;1;3;.333;0;0;;0;0;;2;4;6;2;0;3;0;3;2;-5
18/03/2023;SAC;10;dellama01;Matthew Dellavedova;4:13;1;2;.500;1;1;1.000;0;0;;0;0;0;0;0;0;0;0;3;-8
18/03/2023;SAC;11;doziepj01;PJ Dozier;4:13;1;2;.500;0;1;.000;0;0;;0;2;2;0;0;0;1;1;2;-8
18/03/2023;SAC;12;elliske01;Keon Ellis;4:13;0;1;.000;0;0;;0;0;;1;0;1;0;0;0;0;1;0;-8
18/03/2023;SAC;13;lenal01;Alex Len;4:13;0;1;.000;0;1;.000;0;0;;0;1;1;1;0;0;2;1;0;-8
18/03/2023;SAC;14;holmeri01;Richaun Holmes;Did Not Play
18/03/2023;SAC;0;bealbr01;Bradley Beal;32:09;8;17;.471;2;4;.500;2;2;1.000;0;3;3;2;0;0;4;3;20;-19
18/03/2023;SAC;1;kuzmaky01;Kyle Kuzma;31:33;12;23;.522;4;11;.364;5;6;.833;0;7;7;3;1;0;0;1;33;-25
18/03/2023;SAC;2;kispeco01;Corey Kispert;30:18;5;12;.417;3;8;.375;0;0;;3;2;5;3;0;0;1;1;13;-23
18/03/2023;SAC;3;morrimo01;Monte Morris;20:24;2;6;.333;1;2;.500;2;2;1.000;0;2;2;3;0;0;0;0;7;-8
18/03/2023;SAC;4;gaffoda01;Daniel Gafford;13:53;2;3;.667;0;0;;3;3;1.000;2;0;2;3;1;1;1;4;7;-4
18/03/2023;SAC;5;Reserves;Reserves
18/03/2023;SAC;6;avdijde01;Deni Avdija;28:13;1;9;.111;1;2;.500;0;0;;3;8;11;6;1;0;1;1;3;-2
18/03/2023;SAC;7;wrighde01;Delon Wright;20:01;1;2;.500;0;1;.000;2;2;1.000;1;1;2;2;0;1;0;1;4;-11
18/03/2023;SAC;8;gibsota01;Taj Gibson;14:56;3;3;1.000;0;0;;0;0;;1;1;2;3;0;0;1;4;6;-17
18/03/2023;SAC;9;gillan01;Anthony Gill;13:41;1;3;.333;0;1;.000;4;4;1.000;1;5;6;0;1;2;0;3;6;-1
18/03/2023;SAC;10;davisjo06;Johnny Davis;12:52;2;5;.400;0;2;.000;0;3;.000;0;0;0;0;0;1;0;0;4;+8
18/03/2023;SAC;11;goodwjo01;Jordan Goodwin;5:30;3;5;.600;2;3;.667;0;0;;0;1;1;1;1;0;0;0;8;+8
18/03/2023;SAC;12;huffja01;Jay Huff;5:30;1;1;1.000;0;0;;3;3;1.000;0;3;3;0;0;0;0;0;5;+8
18/03/2023;SAC;13;nunnke01;Kendrick Nunn;5:30;0;2;.000;0;2;.000;2;2;1.000;0;0;0;1;1;0;0;0;2;+8
18/03/2023;SAC;14;cooksxa01;Xavier Cooks;5:30;0;0;;0;0;;0;0;;1;1;2;0;0;0;1;0;0;+8
