dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
02/04/2023;LAL;0;reaveau01;Austin Reaves;32:44;4;7;.571;1;2;.500;9;10;.900;0;1;1;8;0;0;2;2;18;+15
02/04/2023;LAL;1;davisan02;Anthony Davis;30:27;15;20;.750;0;0;;10;12;.833;4;5;9;1;0;2;0;0;40;+2
02/04/2023;LAL;2;jamesle01;LeBron James;29:21;8;18;.444;1;7;.143;1;1;1.000;2;8;10;11;0;1;1;1;18;+23
02/04/2023;LAL;3;vandeja01;Jarred Vanderbilt;15:25;1;2;.500;0;0;;0;0;;0;4;4;1;1;0;0;0;2;+4
02/04/2023;LAL;4;russeda01;D'Angelo Russell;14:40;2;4;.500;2;4;.500;0;1;.000;0;3;3;4;0;0;0;0;6;+2
02/04/2023;LAL;5;Reserves;Reserves
02/04/2023;LAL;6;browntr01;Troy Brown Jr.;25:36;3;3;1.000;1;1;1.000;0;0;;1;1;2;2;2;1;0;0;7;+8
02/04/2023;LAL;7;hachiru01;Rui Hachimura;24:57;10;14;.714;0;1;.000;0;2;.000;2;10;12;1;0;3;1;2;20;+22
02/04/2023;LAL;8;beaslma01;Malik Beasley;23:10;5;14;.357;3;11;.273;0;0;;0;1;1;0;0;0;0;1;13;+16
02/04/2023;LAL;9;schrode01;Dennis Schröder;17:45;0;3;.000;0;2;.000;1;2;.500;0;3;3;3;0;0;0;1;1;+13
02/04/2023;LAL;10;gabriwe01;Wenyen Gabriel;14:21;1;3;.333;0;1;.000;0;0;;2;1;3;0;0;1;1;1;2;+14
02/04/2023;LAL;11;walkelo01;Lonnie Walker IV;3:53;2;3;.667;1;1;1.000;0;0;;0;1;1;1;0;0;0;1;5;+2
02/04/2023;LAL;12;reedda01;Davon Reed;3:53;1;1;1.000;0;0;;0;0;;0;1;1;2;1;0;0;0;2;+2
02/04/2023;LAL;13;chrisma02;Max Christie;3:48;0;1;.000;0;0;;0;0;;0;1;1;2;0;0;0;0;0;+2
02/04/2023;LAL;0;greenja05;Jalen Green;40:19;7;21;.333;2;7;.286;8;8;1.000;1;2;3;7;0;0;2;3;24;-17
02/04/2023;LAL;1;sengual01;Alperen Şengün;38:24;9;17;.529;0;1;.000;0;2;.000;5;10;15;5;2;3;2;3;18;-5
02/04/2023;LAL;2;porteke02;Kevin Porter Jr.;36:32;7;16;.438;6;10;.600;0;0;;0;3;3;2;1;0;2;2;20;-17
02/04/2023;LAL;3;smithja05;Jabari Smith Jr.;33:05;6;12;.500;2;4;.500;0;0;;1;5;6;1;0;1;0;4;14;-12
02/04/2023;LAL;4;martike04;Kenyon Martin Jr.;28:19;5;8;.625;1;2;.500;0;0;;3;2;5;1;0;0;1;1;11;-16
02/04/2023;LAL;5;Reserves;Reserves
02/04/2023;LAL;6;easonta01;Tari Eason;25:01;4;14;.286;1;5;.200;0;0;;5;3;8;2;1;0;0;2;9;-23
02/04/2023;LAL;7;chrisjo01;Josh Christopher;16:35;4;8;.500;1;2;.500;0;0;;0;1;1;2;0;0;0;2;9;-17
02/04/2023;LAL;8;nixda01;Daishen Nix;11:28;0;4;.000;0;3;.000;0;0;;0;1;1;2;0;0;0;1;0;-8
02/04/2023;LAL;9;kaminfr01;Frank Kaminsky;3:53;1;1;1.000;0;0;;0;0;;1;0;1;1;0;0;0;0;2;-2
02/04/2023;LAL;10;marjabo01;Boban Marjanović;3:53;1;1;1.000;0;0;;0;0;;0;1;1;0;0;0;1;0;2;-2
02/04/2023;LAL;11;garubus01;Usman Garuba;2:31;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;-6
