dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
05/04/2023;WAS;0;davisjo06;Johnny Davis;35:36;8;18;.444;1;4;.250;3;5;.600;0;7;7;3;2;2;4;4;20;-7
05/04/2023;WAS;1;goodwjo01;Jordan Goodwin;29:29;4;10;.400;0;3;.000;2;2;1.000;0;2;2;6;4;1;1;2;10;-10
05/04/2023;WAS;2;kispeco01;Corey Kispert;28:03;5;12;.417;2;8;.250;0;2;.000;0;2;2;1;1;0;1;3;12;-9
05/04/2023;WAS;3;gaffoda01;Daniel Gafford;22:47;8;10;.800;0;0;;9;9;1.000;4;6;10;1;1;2;3;3;25;-11
05/04/2023;WAS;4;gillan01;Anthony Gill;19:52;2;4;.500;0;1;.000;0;2;.000;3;2;5;0;0;0;0;3;4;-14
05/04/2023;WAS;5;Reserves;Reserves
05/04/2023;WAS;6;huffja01;Jay Huff;29:34;5;6;.833;2;3;.667;2;2;1.000;2;2;4;3;1;3;1;4;14;-16
05/04/2023;WAS;7;jacksqu01;Quenton Jackson;27:57;4;11;.364;0;3;.000;2;2;1.000;1;1;2;2;0;0;1;2;10;-14
05/04/2023;WAS;8;nunnke01;Kendrick Nunn;26:06;7;17;.412;1;6;.167;0;0;;0;1;1;4;0;0;1;2;15;-13
05/04/2023;WAS;9;cooksxa01;Xavier Cooks;17:13;2;5;.400;0;0;;2;2;1.000;2;4;6;3;1;1;1;3;6;+2
05/04/2023;WAS;10;toddis01;Isaiah Todd;3:23;0;1;.000;0;0;;0;0;;0;0;0;0;0;0;1;0;0;+2
05/04/2023;WAS;0;youngtr01;Trae Young;38:32;4;10;.400;1;4;.250;16;18;.889;0;2;2;16;0;0;4;2;25;+13
05/04/2023;WAS;1;murrade01;Dejounte Murray;30:15;8;13;.615;1;3;.333;2;2;1.000;0;7;7;2;2;0;4;0;19;+19
05/04/2023;WAS;2;collijo01;John Collins;25:35;6;8;.750;3;4;.750;8;8;1.000;0;3;3;0;0;0;0;4;23;+12
05/04/2023;WAS;3;beysa01;Saddiq Bey;25:15;4;9;.444;2;5;.400;0;0;;2;2;4;1;1;0;2;3;10;+9
05/04/2023;WAS;4;capelca01;Clint Capela;15:06;3;5;.600;0;0;;3;4;.750;4;4;8;0;1;3;1;4;9;+16
05/04/2023;WAS;5;Reserves;Reserves
05/04/2023;WAS;6;okongon01;Onyeka Okongwu;23:51;2;8;.250;0;1;.000;2;2;1.000;2;4;6;3;2;1;1;5;6;+6
05/04/2023;WAS;7;johnsja05;Jalen Johnson;23:23;7;11;.636;0;2;.000;2;4;.500;0;8;8;2;0;0;2;1;16;+12
05/04/2023;WAS;8;griffaj01;AJ Griffin;22:38;6;9;.667;4;6;.667;0;0;;1;2;3;1;0;0;0;0;16;+5
05/04/2023;WAS;9;holidaa01;Aaron Holiday;21:28;2;3;.667;2;2;1.000;2;2;1.000;1;0;1;4;3;1;1;2;8;+11
05/04/2023;WAS;10;fernabr01;Bruno Fernando;3:01;0;2;.000;0;1;.000;0;0;;1;0;1;0;0;0;0;2;0;-3
05/04/2023;WAS;11;forretr01;Trent Forrest;3:01;0;2;.000;0;0;;0;0;;0;1;1;1;0;0;1;0;0;-3
05/04/2023;WAS;12;krejcvi01;Vit Krejci;3:01;0;2;.000;0;1;.000;0;0;;1;2;3;0;1;0;0;0;0;-3
05/04/2023;WAS;13;martity01;Tyrese Martin;2:27;1;1;1.000;0;0;;0;0;;0;0;0;0;0;0;0;0;2;-2
05/04/2023;WAS;14;mathega01;Garrison Mathews;2:27;0;1;.000;0;1;.000;0;0;;0;1;1;0;0;0;0;0;0;-2
