dateId;teamId;order;playerId;Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;+/-
22/04/2023;MIL;0;holidjr01;Jrue Holiday;35:54;8;18;.444;2;6;.333;1;3;.333;1;4;5;3;0;1;5;1;19;-15
22/04/2023;MIL;1;middlkh01;Khris Middleton;33:59;8;14;.571;3;5;.600;4;5;.800;1;4;5;6;2;0;5;3;23;-10
22/04/2023;MIL;2;lopezbr01;Brook Lopez;29:55;3;9;.333;0;1;.000;0;0;;0;3;3;2;1;1;2;1;6;-17
22/04/2023;MIL;3;allengr01;Grayson Allen;27:06;5;10;.500;4;7;.571;0;0;;1;3;4;2;0;0;1;1;14;-9
22/04/2023;MIL;4;portibo01;Bobby Portis;23:10;4;9;.444;1;4;.250;0;0;;4;6;10;1;2;0;1;6;9;-14
22/04/2023;MIL;5;Reserves;Reserves
22/04/2023;MIL;6;connapa01;Pat Connaughton;25:58;4;7;.571;3;6;.500;0;0;;1;6;7;3;1;0;1;2;11;-24
22/04/2023;MIL;7;inglejo01;Joe Ingles;22:23;2;7;.286;1;6;.167;0;0;;0;0;0;1;0;1;3;1;5;-12
22/04/2023;MIL;8;crowdja01;Jae Crowder;13:27;2;4;.500;0;0;;1;2;.500;0;1;1;1;1;0;0;0;5;-10
22/04/2023;MIL;9;carteje01;Jevon Carter;12:24;0;2;.000;0;2;.000;0;0;;0;0;0;2;0;0;0;0;0;-15
22/04/2023;MIL;10;beaucma01;MarJon Beauchamp;3:56;2;3;.667;1;1;1.000;0;0;;0;1;1;0;0;0;0;0;5;+4
22/04/2023;MIL;11;dragigo01;Goran Dragić;3:56;0;2;.000;0;1;.000;2;2;1.000;0;0;0;1;0;0;0;0;2;+4
22/04/2023;MIL;12;antetth01;Thanasis Antetokounmpo;3:56;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;+4
22/04/2023;MIL;13;leoname01;Meyers Leonard;3:56;0;0;;0;0;;0;0;;0;1;1;0;0;0;0;0;0;+4
22/04/2023;MIL;0;adebaba01;Bam Adebayo;30:08;4;10;.400;0;0;;4;4;1.000;2;9;11;5;2;1;3;4;12;+23
22/04/2023;MIL;1;butleji01;Jimmy Butler;28:11;12;19;.632;4;4;1.000;2;3;.667;3;2;5;4;2;0;2;2;30;+15
22/04/2023;MIL;2;strusma01;Max Strus;23:17;5;8;.625;2;4;.500;0;0;;0;0;0;0;1;0;0;0;12;-1
22/04/2023;MIL;3;loveke01;Kevin Love;20:34;2;6;.333;2;6;.333;0;0;;0;7;7;2;1;1;0;0;6;+3
22/04/2023;MIL;4;vincega01;Gabe Vincent;17:47;1;5;.200;0;1;.000;0;0;;1;0;1;2;1;0;3;2;2;0
22/04/2023;MIL;5;Reserves;Reserves
22/04/2023;MIL;6;martica02;Caleb Martin;32:36;4;8;.500;1;5;.200;3;4;.750;2;9;11;2;2;0;2;4;12;+31
22/04/2023;MIL;7;lowryky01;Kyle Lowry;27:34;5;10;.500;2;5;.400;3;3;1.000;0;1;1;3;1;1;1;2;15;+27
22/04/2023;MIL;8;robindu01;Duncan Robinson;23:33;7;9;.778;5;6;.833;1;1;1.000;0;3;3;2;0;0;2;0;20;+24
22/04/2023;MIL;9;oladivi01;Victor Oladipo;19:06;4;6;.667;0;1;.000;0;0;;0;2;2;1;2;1;0;3;8;+11
22/04/2023;MIL;10;zelleco01;Cody Zeller;7:25;0;0;;0;0;;0;0;;0;1;1;0;1;0;0;0;0;-7
22/04/2023;MIL;11;highsha01;Haywood Highsmith;3:56;1;1;1.000;0;0;;2;2;1.000;0;1;1;0;0;0;0;1;4;-4
22/04/2023;MIL;12;yurtsom01;Omer Yurtseven;3:25;0;0;;0;0;;0;0;;0;0;0;1;0;0;0;0;0;-7
22/04/2023;MIL;13;hasleud01;Udonis Haslem;2:28;0;2;.000;0;1;.000;0;0;;0;1;1;0;0;0;0;0;0;-5
