1,LeBron James,/stats/player/2544/,1421,54092,38652,14152,28044,50.5,2261,6563,34.5,8087,11000,73.5,1666,9001,10667,10420,2186,1073,4966,54.5,58.8
2,Kareem Abdul-Jabbar,/stats/player/76003/,1560,57446,38387,15837,28307,55.9,1,18,5.6,6712,9304,72.1,2975,9394,17440,5660,1160,3189,2527,55.9,59.2
3,Karl Malone,/stats/player/252/,1476,54852,36928,13528,26210,51.6,85,310,27.4,9787,13188,74.2,3562,11406,14968,5248,2085,1145,4524,51.8,57.7
4,Kobe Bryant,/stats/player/977/,1346,48643,33643,11719,26200,44.7,1827,5546,32.9,8378,10011,83.7,1499,5548,7047,6306,1944,640,4010,48.2,55.0
5,Michael Jordan,/stats/player/893/,1072,41010,32292,12192,24537,49.7,581,1778,32.7,7327,8772,83.5,1668,5004,6672,5633,2514,893,2924,50.9,56.9
6,Dirk Nowitzki,/stats/player/1717/,1522,51367,31560,11169,23734,47.1,1982,5210,38.0,7240,8239,87.9,1468,10021,11489,3651,1210,1281,2494,51.2,57.7
7,Wilt Chamberlain,/stats/player/76375/,1045,47859,31419,12681,23497,54.0,-,-,-,6057,11862,51.1,-,-,23924,4643,-,-,-,54.0,54.7
8,Shaquille O'Neal,/stats/player/406/,1207,41917,28596,11330,19457,58.2,1,22,4.5,5935,11252,52.7,4209,8890,13099,3026,739,2732,3310,58.2,58.6
9,Carmelo Anthony,/stats/player/2546/,1260,43513,28289,10119,22643,44.7,1731,4873,35.5,6320,7764,81.4,1983,5825,7808,3422,1223,644,3052,48.5,54.3
10,Moses Malone,/stats/player/77449/,1329,45071,27409,9435,19225,49.1,8,80,10.0,8531,11090,76.9,6731,9481,16212,1796,1089,1733,3804,49.1,56.9
11,Elvin Hayes,/stats/player/76979/,1303,50000,27313,10976,24272,45.2,5,34,14.7,5356,7999,67.0,2778,6973,16279,2398,864,1771,1358,45.2,49.1
12,Hakeem Olajuwon,/stats/player/165/,1238,44218,26946,10749,20991,51.2,25,124,20.2,5423,7621,71.2,4034,9714,13748,3058,2162,3830,3667,51.3,55.3
13,Kevin Durant,/stats/player/201142/,986,36181,26892,9199,18439,49.9,1863,4841,38.5,6631,7487,88.6,676,6283,6959,4267,1055,1105,3120,54.9,61.9
14,Oscar Robertson,/stats/player/600015/,1040,43886,26710,9508,19620,48.5,-,-,-,7694,9185,83.8,71,208,7804,9887,77,4,-,48.5,56.4
15,Dominique Wilkins,/stats/player/1122/,1074,38115,26668,9963,21589,46.1,711,2231,31.9,6031,7438,81.1,2950,4219,7169,2677,1378,642,2669,47.8,53.6
16,Tim Duncan,/stats/player/1495/,1392,47367,26496,10285,20334,50.6,30,168,17.9,5896,8468,69.6,3859,11232,15091,4225,1025,3020,3381,50.7,55.1
17,Paul Pierce,/stats/player/1718/,1343,45879,26397,8668,19465,44.5,2143,5816,36.8,6918,8578,80.6,1092,6435,7527,4708,1752,745,3532,50.0,56.8
18,John Havlicek,/stats/player/76970/,1270,46471,26395,10513,23930,43.9,-,-,-,5369,6589,81.5,610,1389,8007,6114,476,117,204,43.9,49.2
19,Kevin Garnett,/stats/player/708/,1462,50412,26071,10505,21142,49.7,174,632,27.5,4887,6190,78.9,3209,11453,14662,5445,1859,2037,3179,50.1,54.6
20,Vince Carter,/stats/player/1713/,1541,46370,25728,9293,21339,43.5,2290,6168,37.1,4852,6082,79.8,1658,4948,6606,4714,1530,888,2590,48.9,53.6
21,Alex English,/stats/player/76673/,1193,38063,25613,10659,21036,50.7,18,83,21.7,4277,5141,83.2,2778,3760,6538,4351,1067,833,2821,50.7,55.0
22,Reggie Miller,/stats/player/397/,1389,47620,25279,8241,17499,47.1,2560,6486,39.5,6237,7026,88.8,883,3299,4182,4141,1505,299,2409,54.4,61.4
23,Jerry West,/stats/player/78497/,932,36571,25192,9016,19032,47.4,-,-,-,7160,8801,81.4,30,86,5376,6238,81,23,-,47.4,55.0
24,Patrick Ewing,/stats/player/121/,1183,40594,24815,9702,19241,50.4,19,125,15.2,5392,7289,74.0,2752,8855,11607,2215,1136,2894,3537,50.5,55.3
