date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:15	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Jan%202021%2018:17:51%20GMT	http://www.beisbolcubano.cu/robots.txt		(from )
15:18:28	1743815/1743815	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:17:52%20GMT	http://www.beisbolcubano.cu/general/calendario	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/calendario.html	(from )
15:18:29	135669/135669	---M-Z	200	added ('OK')	text/css	etag:%220f2697b5ebd61:0%22	http://www.beisbolcubano.cu/css/style33db.css?t=637470910717662253	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/css/style33db6ed4.css	(from http://www.beisbolcubano.cu/general/calendario)
15:18:30	8604/8604	U--M-Z	200	updated ('OK')	text/css	etag:%2216faba5bfccd61:0%22	http://www.beisbolcubano.cu/css/assets33db.css?1179755130097188778	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/css/assets33db33db.css	(from http://www.beisbolcubano.cu/general/calendario)
15:18:30	127310/127310	U--M-Z	200	updated ('OK')	text/css	etag:%22ebaac7a5bfccd61:0%22	http://www.beisbolcubano.cu/css/bootstrap33db.css?1179755130097188778	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/css/bootstrap33db33db.css	(from http://www.beisbolcubano.cu/general/calendario)
15:18:30	21583/21583	U--M-Z	200	updated ('OK')	text/css	etag:%2245aae6a5bfccd61:0%22	http://www.beisbolcubano.cu/css/font-awesome33db.css?1179755130097188778	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/css/font-awesome33db33db.css	(from http://www.beisbolcubano.cu/general/calendario)
15:18:31	25959/25959	U--M-Z	200	updated ('OK')	text/css	etag:%22f76948a6bfccd61:0%22	http://www.beisbolcubano.cu/css/responsive33db.css?1179755130097188778	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/css/responsive33db33db.css	(from http://www.beisbolcubano.cu/general/calendario)
15:18:32	136/136	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:18:07%20GMT	http://www.beisbolcubano.cu/general/ScoreBoard.aspx	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/ScoreBoard.5.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:18:32	251944/251944	U-----	200	untouched ('')	image/png	etag:%22fcd7d6c0ccd61:0%22	http://www.beisbolcubano.cu/images/estilos/snb60_c.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/estilos/snb60_c.png	(from http://www.beisbolcubano.cu/general/calendario)
15:18:34	136/136	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:18:09%20GMT	http://www.beisbolcubano.cu/general/calendario.aspx	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/calendario.6.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:18:34	242434/242434	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:18:07%20GMT	http://www.beisbolcubano.cu/general/ScoreBoard	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/ScoreBoard.html	(from http://www.beisbolcubano.cu/general/calendario)
15:18:35	139/139	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:18:10%20GMT	http://www.beisbolcubano.cu/general/todos_equipos.aspx	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/todos_equipos.7.delayed	(from http://www.beisbolcubano.cu/general/calendario)
