date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:05	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Jan%202021%2018:08:41%20GMT	http://www.beisbolcubano.cu/robots.txt		(from )
15:09:18	1743815/1743815	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:08:42%20GMT	http://www.beisbolcubano.cu/general/calendario	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/calendario.html	(from )
15:09:19	127310/127310	---M-Z	200	added ('OK')	text/css	etag:%220c369a5bfccd61:0%22	http://www.beisbolcubano.cu/css/bootstrap33db.css?1179755130097188778	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/css/bootstrap33db33db.css	(from http://www.beisbolcubano.cu/general/calendario)
15:09:19	21583/21583	---M-Z	200	added ('OK')	text/css	etag:%220c369a5bfccd61:0%22	http://www.beisbolcubano.cu/css/font-awesome33db.css?1179755130097188778	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/css/font-awesome33db33db.css	(from http://www.beisbolcubano.cu/general/calendario)
15:09:20	8604/8604	---M-Z	200	added ('OK')	text/css	etag:%220c369a5bfccd61:0%22	http://www.beisbolcubano.cu/css/assets33db.css?1179755130097188778	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/css/assets33db33db.css	(from http://www.beisbolcubano.cu/general/calendario)
15:09:20	135669/135669	---M-Z	200	added ('OK')	text/css	etag:%220f2697b5ebd61:0%22	http://www.beisbolcubano.cu/css/style33db.css?t=637470905217360017	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/css/style33db99f3.css	(from http://www.beisbolcubano.cu/general/calendario)
15:09:21	25959/25959	---M-Z	200	added ('OK')	text/css	etag:%2280592a6bfccd61:0%22	http://www.beisbolcubano.cu/css/responsive33db.css?1179755130097188778	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/css/responsive33db33db.css	(from http://www.beisbolcubano.cu/general/calendario)
15:09:23	136/136	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:08:59%20GMT	http://www.beisbolcubano.cu/general/ScoreBoard.aspx	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/ScoreBoard.6.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:09:25	136/136	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:01%20GMT	http://www.beisbolcubano.cu/general/calendario.aspx	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/calendario.8.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:09:26	139/139	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:02%20GMT	http://www.beisbolcubano.cu/general/todos_equipos.aspx	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/todos_equipos.9.delayed	(from http://www.beisbolcubano.cu/general/calendario)
